ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.255826615528779e-07,,,1.2297554177787206e+20,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.01379152531373729,,1433.3992211541547,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,8.131698267337398e-21,,72.50829601885532,9.166187739335267e+20,,13179685963.444689,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.0909660901976246e-21,0.000697642349208766,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,8.439872636371386e-11,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,7.58743419815624e-11,,,,,0.0013226501504906528,,11848520032.050354,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,100113629546.49283,,,,,1.2272509115002794e-05,,,,,,,,756.0578280122209,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,6.188009358522712e-16,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1616028583768551.5,,5.537430427380435e-32,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.2487075797474915e-12,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.8058917635432308e+31,,444699884060.6436,6273479513.521053,,,4.7224408367095787e-60,,,1.5364114995792212e-54,,,,,,5.017895547435628e-10,,,
"$\hat{S}_{x,y,z}$",,,,1.594011740764799e-10,,,,,5.908059589042861e-63,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.2157341019682784e-26,,1.2427018416080716e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,2.1175490272457556e+59,,1.6926031041640284e+62,2.1793430392014717e+33,8.046982522420564e+21,,2.217875336222882e+34,,1.5010470579325727e+18,,,,,,1.3594377742851017e+37,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,8.22548284514678e+25,4.588538756920103e-34,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,4.508819696345216e-35,,2.8939625090124615e+30,7.589960107888752e-06,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,3.455469781953882e-31,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,6.508672971231152e+53,,,,,6.662016321975432e-19,131752.9981429854,,,,,9388456764537734.0,,,601.6406386063089,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,1.0651377804467503e-16,41.759370528249804,111290680114.78731,,,17479304.80372657,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.828731028904102e-11,,8.985478379398716e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,54682727213.266945,0.023946721115528067,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,1.1633544083403491e-14,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,5.721051330295476e-08,85958328161287.34,,18612.803643267216,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1992867309.7052515,,,,,7.355982148766448e-38,,,0.001662121764773876,,,,,5.372645729069025e-05,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.8125254656768706e-71,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.555523362201227e+70,,5.998011547345608e-39,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,9.738166085061317e-22,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.6672191977398665e+38,,1.0268873946748912e+21,561432208309.4977,,,,1.8074588998808184e-53,,,1.8963866172020975e-59,,,,,9.581202719428543e-14,,,
"$\hat{S}_{x,y,z}$",,,,1.7811589452821976e-12,,,,,1.0081846728798798e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,9.918817721593602e+46,2.3812147704813466e+19,6.873777500312336e+22,,2.342275004623705e-19,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.1626649852873775e-05,,1.4548041451073463e-23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,31618.90382484297,4.1995371958735863e-20,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,5.532629262363524e+52,,,,,4.26935350471647e+18,,4068540056476510.5,1.1850531624952069e+20,4.389784154198238e+16,,,,,3.653467328956795e+29,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.4578841208854483e-16,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,8.438439992805341e-21,,,0.0023149893453504123,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,5.273186337263791e+58,,,,,,2.2780163326336546e-17,,431.96743086894566,,1.762274559361916e+24,146288.84307040565,,7144086168.386662,234719449754023.2,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.674484686211891e-25,,7195.620975760203,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,6.835791294888576e-06,0.00013897341221399617,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,2.275386601996476e-16,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,1.3997591524373067e-10,,,,,829.6070627398869,,4394857555733945.0,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,10437103036889.336,,,,,,2.7371258860703657e-30,,,4.260405352210739e-15,,,,0.001205389930863616,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,7687556003094545.0,,,,,,,,,,,,,,,,,,7.147109843552163e-112
$\hat{S}_{z}$,1e+160,1.3008035318343834e-16,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,1.3991669666335967e+111,,,9.660456982732274e+37,3.0134726348409726e+69,,,3.1780544565519153e-20,2.087374964183217e-43,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.0351477179469508e-38
"$\hat{S}_{x,y,z}$",,,,,,,,,4.362683627106353e-68,,,,,,,,,,,,3.318430665134519e-70
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.292167128019027e+67,1.7705759151625551e+65,470563713060809.0,,0.3765425913827509,,,,,,,,,,,3.1465791844390457e+19
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.1596580071922438e-35,5.647879830717063e-66,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.6232319683731e+34,,2.1251107389803643e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,1.486389360768143e-13,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,2.6557420671265106,,6727712310072.076,9434057.76819375,,,,,,,,,4.7907061125038296e+42
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.059989269274382e-07,,,,,51321826.977064244,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,1.9484887013997e-08,1.3254457330231253e+17,3.5884655194624077e+18,,4128129132.1303763,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,45896.22178702348,7.544631779976109e-18,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.178828585586834e-05,,2.7867064475787725e-19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,2.422404842466584e-10,,619057875.4622597,15887397435.388006,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,1.6153578520478157e-09,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,6.294297124918482e-11,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.279679354636861e-39,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.386581814525815e+38,,5.0716701229969666e-108,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,4.5087064622174936e-11,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.971737072302086e+107,,22179310371.608784,7.230619480133268e-19,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.3830073657555674e+18,,,,,5.753661635658997e-67,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1546384.1257888414,1.0608619805384254e-17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.46669856035854e-07,,1.2187422643005942e-36,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.7380236505434767e+66,9.426296901435418e+16,8.205180285381135e+35,,1522276.3088402008,,,,,4.732508014686615e+29,,3.318799302491088e+26,2.3963704906332572e+33,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,6.56910965632701e-07,,2539146295.303707,5.765077497802325e+35,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,3.9383315638392157e-10,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.7345820596188077e-36,,,,,0.007199454307541884,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,3827034.3575517,0.00108943919662086,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.612989345200805e-07,,1.7320507276310791e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,2.113044493314439e-30,,,138.8994161616439,917.9034526219767,577350.2958355597,,,76.3174844489718,9050.274066709319,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,5.508052201899776e-12,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,3.0131379118026235e-27,,,,,,0.013103157254464154,181552382465.6366,,0.03822002205267299,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,4.172977441963672e-34,,,,,,0.00011049389141467184,,26.164296781981136,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.0782885082059024e-82,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.27395583269118e+81,,,6.427697620818265e-11,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,15557670242.00334,313370525900.35223,,9551085.073751204,,,2.2288822555766464e-68,,,,,,1.651339867330734e-37,,7.485291489534809e-47,,,,
"$\hat{S}_{x,z}$",,,,,3.191110577891384e-12,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.0470014582408577e-07,,,,2.745383192148597e-72,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.057236969946995e-16,,6.156771477523913e-49,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,4.4865537311269253e+67,3.642478772580297e+71,5446240997826058.0,1.6242278987463297e+48,,10159964771995.68,,,,,1640619645288509.8,,1.0784280197022715e+27,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1416985151920597.5,1.8361288095755656e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,3.4864607797794847e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,9.842553812355141e-14,,286823820247663.6,17936911018220.535,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,5.5750959514945894e-14,,,,,1.6997924692164457e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,0.0001437650980429358,1.3967784233033243e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6955.791173330175,,3.3737929204158906e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,6.055688594355954e+36,,,,6.095257989088299e-16,,,5883071.128447643,715933.1668619569,2.9640230553235292e+16,,,21.740346850430438,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,0.023661418943090883,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,1.3359533177807446e+46,,,,9.27275610175704e-28,,,,,,0.045997426208506005,42.262892280684596,,494152621736471.8,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.023666284489113e-15,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.520044582097454e-146,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.8115795717360485e+145,,5.9432874544958686e-46,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,4.331406790215301e-05,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.6825704757785836e+45,,23087.18733735681,2460305580331600.5,,,,,2.654011467574107e-37,,,,,,7.255684031026024e-35,,,,
"$\hat{S}_{x,y,z}$",,,,4.0645357552098053e-16,,,,,7.75518995838229e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.7695563823689783e-09,,4.909406348932103e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,565113386.5885972,3.5429462570119473e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.2894590659499423e+34,282250965004.30145,2.036906153057631e+17,,,2.4643105189226913e-07,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.0559658844394283e-11,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,3.767881232683774e+36,,,,,4057930.168788811,94700029114.18503,,113733816603.81084,,,,,466.42304733087815,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,8.792459708650042e-12,,1950.70704300388,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.2438277862667e-13,,294999617167.2992,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.6188007764937935,3.389834907592044e-12,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,0.0005126346385975554,,3082777711670.364,1.6160289999410333,,1.8757567868098662e-11,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,1.4640219780040937e-15,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,1.3782298067610178e+34,,,,,,,0.0021439763873645056,,53311815637.92811,,,,,1.0138702366765535e+28,,683049855141726.5,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,9.863195148897754e-29,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,3.1273766438871184e-60,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.096943268839206e-05,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,3.197568166132581e+59,,47688.46228985321,1.1377712531059567e+21,,,7.243439063941361e-47,,,,1.4526655313614541e-24,,,,,3.198701500406883e-26,,,
"$\hat{S}_{x,y,z}$",,,,8.789112901825737e-22,,,,,1.322394210729444e-76,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.5517531574882373e+20,,6.344443086525965e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.3805596915671044e+46,,7.562041574943008e+75,9.99630714772789e+29,1.576182473957019e+21,,,1.6649184292886166e+17,,7.676139991334226e+16,,,,,35658895945775.35,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,6.444323925969394e-21,1.0003694216491687e-30,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.851213019927976e-29,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,6.006300263174324e-18,2.5965844912382997e+28,,0.04317980394424857,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,23.158974998847746,,2.1439132502381984e-08,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.0011881804838984058,8477528.391032735,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.4508613052747667e-12,,1.1795890899731682e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,6.883897073421912e+23,,,,,1.302738096398611e-17,,,46643678.3246195,,689245757926.2673,841.6229803059987,,,73.68495788506867,,56.72418959996931,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,0.017629163273238567,,,,8006363240.608983,1.728455429332473e-11,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.2490065338628547e-10,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,3.1262685807750345e+25,,,,,2.8043493032444093e-14,,,,0.013571290921544212,,,,,,,57855122152.97322,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,1.0980792795799285e-111,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,9.106810579128231e+110,,6.776145025432305e+32,4.121938736700558e+49,,,,1.435605836356518e-54,,,,,,,,3.544121947077917e-20,,4.135611288328731e-19,
"$\hat{S}_{y,z}$",,,,1.4757653448189032e-33,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.4260428499246903e-50,,,,,5.885637621430184e-62,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,3.290833466413611e-09,7.891753578483534e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.6990512571805336e+61,126714549568.10225,5.207841474825707e+20,,8.677417380540575e-11,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,303874386.2933337,,1.9201813358450344e-21,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,6.965700296523873e+53,,,,,11524166190.76704,,2.858810918913295e+30,1.0835612145461981e+24,,,,,,7294107509.456107,,3.529702752075997e+23,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,3.497957816602033e-31,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,9.228827929382891e-25,,,,0.44650481945446063,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,2.23961748323747,735383597782626.6,,1.205575967851024,,,,,8.795506641382767e-06,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.0003457186407843872,0.8294790429362411,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,1.3598345176792913e-15,2892.5255454294856,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,3.1845056939026507e-25,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,2.4180222227899873e+18,,,,,,2.833099754396739e-24,,,,113694.41702141528,,3.1402047793938397e+24,,82.71333437676151,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,2.821573340117394e+19,,,,,,1.3709696473538352e-10,,,,,,,,,,0.012089949069698637,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.1024629136572402e-37,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.070599905103962e+36,,,4.4667734239382835e-08,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,3.2703249420534907e-24,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,22387524.619914923,3.057800119923507e+23,,3.1927446306343734e-08,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,31321014.22722643,,,,5.168122931256959e-63,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,9.55033218297741e-27,,6.881356152262033e-45,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.0470839975413716e+26,3.6303481441641695e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.9349384937265531e+62,2754556754033391.0,1.4532019239714558e+44,,23186741716.079685,,,,,,6.6281413702860785,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.0003424272909506541,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,4.312809502279114e-11,,2920.3279832742833,48669741910803.11,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,2.054664686393236e-14,,,,,3.3197917331512584e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,18117.0447363006,4.187546211013655e-10,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,30122.371533552985,2388033348.4318395,256428874672232.38,,1.137984093806784e-23,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.5196640211211096e-05,,3.8997168367961716e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,3.891704545830302e-29,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,0.15087185745358336,,,,,,8.787469046731578e+22,,2.5695681371069968e+28,262911.07406452886,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.8035674364730644e-06,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.115442551648041e-28,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,8.965051570988778e+27,,5.176488976770531e-69,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.9318113193855817e+68,,5.519020324856594e+40,2.5608906115489974e+22,,,,,1.7676878769280429e-62,,,,,,,,,1.0182156719367367e-39,
"$\hat{S}_{y,z}$",,,,1.811915776965333e-41,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.904891507236747e-23,,,,,5.429746992588568e-46,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.8417064392962843e+45,2541667305651.8823,206702204.1344578,,,9.342313786675177e-09,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6530.713644765082,,4.837877777778846e-09,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,0.00015312262248729652,3.934425240377878e-13,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,4.150993206928266e-08,,,,,,,,,,
