HahnEcho Time,Normalised - LP1P0/LP1P1,Normalised - LP1P0/LP0P0,
950.0,0.844905225678,0.805953748564,
960.0,0.851973856209,0.803729097815,
970.0,0.863079381993,0.806050353269,
980.0,0.842489087618,0.786317567568,
990.0,0.848927982408,0.806286549708,
1000.0,0.847492703635,0.813311605642,
1010.0,0.851682614773,0.796611021722,
1020.0,0.873626668096,0.81245015949,
1030.0,0.855878432418,0.808339208379,
1040.0,0.887411628152,0.828367397193,
1050.0,0.891271534898,0.834828393136,
1060.0,0.901997022434,0.845646628483,
1070.0,0.918338399189,0.867202449292,
1080.0,0.936223833771,0.880009668842,
1090.0,0.913520490481,0.875702428211,
1100.0,0.973575276439,0.908220482438,
1110.0,0.955317404544,0.918369644767,
1120.0,0.968382398705,0.92272565532,
1130.0,0.971099728072,0.932418483211,
1140.0,0.986946813992,0.919168221808,
1150.0,1.00609131276,0.944827586207,
1160.0,1.01935137072,0.969605726622,
1170.0,1.01342933882,0.958283799849,
1180.0,1.02034013221,0.982054489097,
1190.0,1.03355002204,0.968559628291,
1200.0,1.03301936159,0.991262867186,
1210.0,1.04305864885,0.967012437933,
1220.0,1.03525608129,0.984240827479,
1230.0,1.01396949309,0.954090755328,
1240.0,1.01857489294,0.960679351793,
1250.0,1.01931172385,0.961817279047,
1260.0,1.00832330001,0.95370599594,
1270.0,0.989291598023,0.937457312909,
1280.0,0.986083394601,0.917203985932,
1290.0,0.972373997855,0.902250651504,
1300.0,0.960222915282,0.900594610147,
1310.0,0.945370464478,0.880615384615,
1320.0,0.932294302196,0.871935636536,
1330.0,0.908395771323,0.854996860358,
1340.0,0.901430188291,0.85460664293,
1350.0,0.892775940471,0.84380952381,
1360.0,0.885550039195,0.828363316386,
1370.0,0.884650124861,0.829555079468,
1380.0,0.864270152505,0.812160917187,
1390.0,0.860548534849,0.811891497891,
1400.0,0.852322548421,0.812334708558,
1410.0,0.845105468529,0.804522207268,
1420.0,0.864070085375,0.815858798736,
1430.0,0.830438606134,0.80529794265,
1440.0,0.842751141553,0.79326277333,
