ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,20.42205979891329,,0.1268718290534993,,0.012893556666897458,0.0022908536518249823,,,0.17135407431912303,,,,,34.26649866233676,,,30.907458800990764,13.945016926791725,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,0.003626903194792058,,0.007681172347219279,,0.006739157744305594,0.2815479861250039,,,0.07302652375865598,,0.029183022457416326,67.89928372521703,1.1473964141239814,,,,0.14250553583950018,1.2102275608036799,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.012508319901175088,0.014727695862697463,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,79.94678804993269,,0.8715383695559863,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.3763271944757974,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,0.0014697050686991776,,0.008975317112015749,,0.009760615939491542,0.0274833035498961,,,0.46881094139966795,,0.07171020338302783,,,0.8262908831260846,2.6572621237031346,,0.8511350442329592,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,0.667627183384926,,0.07389881491814675,,0.06279476897335083,0.007886147681158305,,,0.16096500538105984,,0.03235464961512605,,,7.0172712527201115,,,,1.1749016877823395,,
$\hat{S}_{x}$,,1.865191135020728,982.6086095543375,,40.97073100940327,0.0014024635850785198,,,0.0020536813165812915,,,0.6645622655376425,2.2062455336593967,,,169.20730961344066,,3.7298557080558874,,,1.7047599075922923
$\hat{S}_{y}$,0.5361380832366475,,0.007619389856860608,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,0.0010176992042167739,131.2441046837347,,,,,,,,,,,,,,,,,,,
