ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}$",,,,,,,5.0370422852116624e-67,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,5.827781543413991e-10,,16.509532183887607,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,2.924797078647216e+70,,1.985292049137481e+66,,1715918814.9907672,2.563427927370672e+20,,,3686154537348.196,3.818598733071344e+42,,,,,6.9736779046839624e+16,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.901026392521626e-21,0.06057106820845868,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,804.2783034008276,2.3680005030924425e-17,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,0.0012433507105333796,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.305923056031404e+51,,,2.7128542492399024e-13,,,,,,1.0664383958459754e+29,,,,,6.565615299624618e-09,,4.222972075783219e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.966272503534244e-10,,4.5950357469950986e+23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,6.931584764413713e+46,,,2.6187616712366325e-43,,,,,9.377006715955011e-30,,2013582620.1408617,1.6385540354806247e+44,9.08008962283682e+19,,1.072418879372728e-21,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.102941852062129e-45,2.176261633337554e-24,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.7548921648100293e-22,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.101310715573728e-20,,,,,,5.698355830930797e+21,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.4763554302683282e+61,,,1.4339635607895468e-17,,,,,152308649.58797905,9.324714616968635e+20,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.770134018295216e-13,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1733061999650.8325,,,8.980731132937534e-114,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,6.368847840217716e-27,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.1134950876465077e+113,1.570142708835411e+26,,,,4.6045135838920974e-52,,1.039124188193424e-37,,,,1.4186850612468823e-44,,,,6.089065676287532e-29,,,
"$S_{x,y,z}$",,,,,,,,1.7742340204768603e-36,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.1717820607550935e+51,5.6362350651535264e+35,1.7025066854494214e+22,,1.2943451299109204e+31,1.013037433762198e+27,,,,5.061079863460314e+22,,,,4.8967050234735513e+23,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,5.87369205975261e-23,1.5261601769152546e+31,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,6.552392174334192e-32,7.725914648968642e-32,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,7.882919981185013e-35,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,9.623488812617829e+36,,,9.871303534028552e-28,,,1.2685654584681872e+34,132853380891981.56,,0.00014670299773529905,,,,1878.4826846179392,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,7.5270948566455e-15,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.106079643493325e+45,7.758245082929815e-15,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.6067952934979838e-64,3.219492462451242e-46,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,7.048780785223043e+43,,,1.9758629126162207e-23,,6816.493292143438,,,6.223568142417233e+63,,128895128899738.38,659781871659.8855,,1.6182379187717462e+17,,,
