ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.5595689834759896e-23,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.676424487305702e-21,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,3466172696080180.0,,,1.8133892358906845e-13,,,,6218238751644.71,,1.9295359853215328e+57,7.495961122364211e+33,,,709707102837.4766,1070130238243.3247,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.1232725706545007e-31,5.182593160258489e-58,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.902558703248018e+30,,1.3340517428999179e-34,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.5950639109536958e-12,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.4090319738972667e-12,,,,626934126672.138,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,9.590540715393287e-19,,,4.2279394486256336e-32,,,,0.0002511013658064458,,,,9.344656979710739e-13,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.0593030527423286e-29,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.440169150945005e+28,,,6.805339077152228e-58,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,2.191476218860703e-31,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.4694344964490167e+57,4.563134162230957e+30,,,6.992413454775942e-38,,,,,,8.455505704179873e-11,,,,,8.94448362477052e-16,,1.0787306804208483e-38,
"$S_{x,y,z}$",,,,,,,3.103469611123525e-24,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.7061484713461213e-20,,1.3432959848263632e+35,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.2996773157380962e-25,7.44437570941792e-36,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1.4301213829353616e+37,3.222200070578354e+23,,5.8611546227921035e+19,7.694217540698497e+24,,,,7.078701721392204e+24,,,,,8.398414476711116e+24,,0.0025545385088747816,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,1.9397299147535734e-11,
"$S_{x,y,z}HF_{x,z}$",,,,,9.27015443381908e+37,,391.46013909200303,,,,51553568999.16872,1.814677010841956e+24,1.275162103634712e+18,,,,,2.4728668145012825e+44,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,5.510622518637792e-25,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.5094391973883915e-18,,62860943.42850968,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.2251407060639066e-25,1.5908129045776685e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,11826613747.131205,,1.4126884270006012e-25,,,,,,,2.8494581149722352e+17,3.100639913538659e+24,,,27034693.93314737,301411526098.73315,7.842140204367804e-19,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,3.3177231572505647e-12,,,4.043222801677759e+17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,2.4732745363056525e-18,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1118007525029882.5,,1.1907009385795494e-25,,,,,,3.6989506982133614e-08,,,,,,,4.0438894409348765e-45,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,7.525251752796809e-12,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,132885919680.80583,,,1e-160,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,1.0936391157936777e-08,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,91437841.38282931,,,,1.8511914834224104e+28,,,33738238734.180744,,,9.838120366012258e+45,,,,1.0018722413760515e+20,,,
"$S_{x,y,z}$",,,,,,,,3.4189109071328623e-68,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,3.993776362151615e-22,1.4380966665992385e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,5.401926321264395e-29,2.924908039907397e+67,2.5038958352221256e+21,,1.8965696951888464,,3.9730509253744935e-05,,,1.306877263328793e+32,,,,1.1407394200524024,,,
"$S_{x,y,z}HF_{x}$",,,,,,,6953635476847085.0,0.5272677310708729,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,2.963995862021345e-11,,,25169.57418323908,,1.2004086338267412e+38,,1.1672222364518173e+34,,1.4362314170186473e+23,,,,5.836050584790354e+22,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,8.330496564425187e-39,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.567348777040539e-35,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,51361429.5813426,1.0555707645747707e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.0164543254163659e-46,,,7.651827972374887e-33,,,6.962666239928217e-24,,3519725967245.127,,947354.7710492371,0.00012831456862097952,,1.3996482299919457,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.8411302735101716e-13,1.9469863049981324e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.01623738286572024,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,7793.347324058254,,,61.5862795297611,3.099914803288656e-13,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,9.98131257361238e-21,,,0.8766243915319967,,,1.7134875468799976e-23,,,0.7144652338864849,,3225895108275.602,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.362353510472532e-39,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.8648528077215104e+38,,2.583100821864223e-112,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,4.575129099513502e-13,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.8713161775787767e+111,,2185730671745.056,,,,9.60012161578625e-55,6.498260779843594e-29,,9.918062190744313e-44,,,,,7.632415220365179e-40,,,,
"$S_{x,y,z}$",,,,,,,,,2.987543561166206e-50,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,1.0416534706764753e+54,,3.3472315282647923e+49,4.435767758763521e+20,2022168170481575.2,,7.32991521452893e+38,,2221906.5082316324,,,,,1.287933710074353e+21,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.053974786019237206,2.254401164317836e-21,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,18.527169327611396,,4.945187124381708e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.5388732983782607e+28,,,,,1.364272260636601e-39,,,2.8741822576824987,,,,,2119.8422869761353,,,144001364166081.53,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,6.944378657737346e-15,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0082614736306204e+43,,,,,4.500639411672989e-07,0.34792504801220114,,,,,6814558.57801968,,1.6825605925136789e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.4674464802833953e-07,497061847737.9292,2.3632538474324773e+23,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.197405735196757e-09,,4.2314540229626004e-24,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,455082092.4795936,2.0118220791856868e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,3.3963738018810406e-23,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.3102012549471257e+39,,,,,7.764374766945649e-22,0.0004717332068257103,,594332.2365027221,,,,,,1.2284803490608426e+31,2.9443166692846414e+22,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,8.140138348688175e-32,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.132713195761903e-74,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.2296019494713243e+73,,,1.1840944052526957e-59,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,7.239249711211347e-35,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,8.445272569179918e+58,1.3813586212550603e+34,,,,9.893921530512722e-68,,2.748730142217434e-81,,,,,,,1.6851238400881377e-57,5.534403685170627e-18,,,
"$S_{x,y,z}$",,,,,,,,3.226098710418617e-71,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.00035619479529848836,2.4903730016285067e+30,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.015462741308548e-31,1.114386999710527e-34,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.0107215798265766e+67,3.099719164731449e+70,2807.4525883007586,,8.973543304612849e+33,3.0609544878108966e-07,,,,,,,0.012532093018043498,2.288165690537683e+67,,,
"$S_{x,y,z}HF_{x,y}$",,,,,3.638043562884234e+80,,,3266954.8141997047,,,1.1703730636810152e+16,1.5224979764311386e+34,,,,,8.63015466387522e+17,7.497090029890541e+50,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,8.544284134964932e-17,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,6.568153228972316e-35,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1174137850777.991,,88733.0779994147,,6.894569122877244e-34,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.516887513143315e-13,0.24766695916697315,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.0376802919674715,1.1269754442718601e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,5.934281957269661e+56,,,79.79513067451835,,1.158727785245702e-18,,,,1.450416961782058e+33,,6.1642592694545664e+26,,1.2491470375576815e+36,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.6222549316756486e-27,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.8068793981897072e+17,,,4.3703128848375294e-68,,1.3338508621519117e-51,,,,,,,8.005462687204454e-37,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.2963053229255907e+143,5.164467401870734e-59,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.033699557638258e-144,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.936308087911966e+58,,,,,,3.700311271998568e-37,,4.007163809539519e-72,,,2.091331562669939e-54,,,,,3.827706336249074e-61,1.1900703473025553e-44,,4.926371537054662e+29
"$S_{x,y}$",,,,2.029891559088277e-30,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,5.207821282757661e-14,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,180.94592297529132,2.2879665958935447e-12,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,9.093089296449232e-05,0.0055265130242064245,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.7024753500261397e+36,,19201887808839.65,10997.362583808463,,437069318142.49634,3.4158164529655404e-22,,,0.025219247909844034,,,,,2.4076015871589656,9.469173996257808e+22,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,5.0374887900546684e-30,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,2.495530623478341e+71,,,,2.9275577706519357e+21,,,1.985116080008483e+29,8.055451065342103e+36,5.375539063671491e+36,,,,,2.3950849776793544e+39,5.630327961596858e+26,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.2413954127316538e-37,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,4.78164255658883e+53,,,,39.652253055875704,,1.8602785472402472e-37,,,,1.2779177937927772e+18,1.6875708374265302e+22,,,0.01686528904807419,510492063.51213795,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.925677179424095e-23,6.542949304478536e-19,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.825229485474686e-19,,1.5283627512068864e+18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.5414009456615387e-30,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,8.402864606001033e+43,,,,1.0560583218717887e-23,,1.7760954722722454e-27,,,1.9588943129107493e-09,,,6.48760468724651e+29,,70252559.05709204,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.6125306179573347e+60,,,,0.415351113462268,,4.175217202393044e-40,,,59.293380454347314,,,,,,1.4234356917693653e-08,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5272820012.421421,2.996015328160418e-79,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.8965183671057512e-10,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,2.4746544403615715e-37,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.337766634905735e+78,,,,,,7.102830929395184e-49,,3.05061452153355e-31,,,,1.6105685931657995e-50,,,,1.2137219770843936e-43,,,4.040968240615809e+36
"$S_{x,y,z}$",,,,,,,,1.3593337571265724e-35,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.407889347135497e+48,,7.356545033604183e+34,1.5997735848342656e+38,,5.428292213582125e+27,0.001109071383464738,,,,0.00030747207220172603,,,,1.554400309415485e+17,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,6.250884559414692e-39,1.2846634088097239e-33,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,7.78414013462505e+32,1.8422000155000886e-28,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.649155843169816e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,3.278028059399973e+30,,,,901.6552179680274,,,606370.8315630838,9.556530692765957e+24,,597656731756.6123,,,,1.6817248930420257e+39,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.0464048430849218e-25,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.5501194735696085e-27,9.142663730849635e+33,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,6.208987336791158e+49,,,,3252.327903601992,,1.6732012656509934e-12,,,3.921384901234526e+26,,2.739834264477737e+47,,316066330410.0716,3.430991791727479e+34,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.0937731381563884e-34,3.6498558068461066e-48,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,3.163892840792556e-12,,9.382980881153595e+23,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.0657593921016862e-24,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.23911916304097e+42,,,,6.433349208326128e-18,,5.946275779929306e-40,,,,2.914609129672407e-35,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,44113874.100014344,2.7514036171131226e-99,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.2668605294851553e-08,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,4.418787420558837e-63,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.6345085605769396e+98,,,,,,4.081484984873014e-38,,,,9.679270301432707e-61,,,,,3.5582889258848084e-36,4.433664970123073e-68,,,2.263064286250574e+62
"$S_{x,y,z}$",,,,,,,,3.5005112962345477e-38,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.852113083286437e-18,1.195288270123959e-21,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,4.7547113231027485e-21,3.506172338888185e+17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.4500886410368914e+37,,2.856725533426178e+37,2.1031771059182558e+20,,8.366182660658868e+20,,,0.003801681709332045,,,,,5343504428803.061,3.287814600335194e-16,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,12816499.144460585,2.824340682922053e-35,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,7.802442685233664e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0331357311635174e+60,,,,263.0414843897334,,3.540649348878845e+34,,,,,,,1.526948997124483e+18,113.61744018303777,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.6055673485288253e+34,,4.422264857203378e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.027839056574242e+46,22612847314450.45,,,9.547399135283419e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,6.228327954702715e-35,9.729149652407364e-47,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,8.866817739097006e-10,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,2.8103395222503997e+35,,,,1.871431030560592e-13,,,,6.54900721558597e-19,,,1.0474056712517598e+17,,,2.1403948568247864e+16,1127800333.134895,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.2554703766266786e+67,,,,3041534032661238.0,,,,0.008801465676299337,,,,,4.672035147213309e-17,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.458475755042509e-94,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.182246103151447e+93,,,1.5319914535080228e-100,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,1.451458616336186e-60,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.5274515579715215e+99,6.8896211627736865e+59,,,,43425989.77000123,,1.2631573042263475e-30,,,,3.1498876428157854e-11,,,,4.3997247770647167e+33,,,
"$S_{x,y,z}$",,,,,,,,3.541258831141948e-61,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,8.231710648762362e-13,6.673927849923871e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,14983680.11292491,1.1570718643534652e-09,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.3027684695186894e-08,2.8238545886732898e+60,1214814323132.6409,,864250554.1855588,8.704475367310328e-35,,,,1.981275668126104e-17,,,,6.301059495836184e+43,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.11566324451915991,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,7.916670367610906e+29,,,1.1488343154551298e+34,,,8.64578893802644,4.0606997793445024e+34,,5.607233304228944e+18,,,,1.7531394561978742e+81,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.4626297297e-35,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,31747164133.958378,,,5.047253222191957e+16,,1.783410722799434e-19,,,6.023783678077275e+39,,5.0010561867768936e+63,,5.866095115417075e+16,3.847758943618785e+52,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2578728162644368e-37,1.9995776145128357e-64,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.6600861741422777e-40,7.949929333632842e+36,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.7575579438897277e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.704711533523951e-17,,5.689712839776176e+17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,2.2728694422271375e-34,,,1.5870346894213775e-44,,5.70405278635821e-82,,,,2.5989154067419524e-53,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.8532019150324814e+47,9.026074698942499e-117,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.5048343222096e-48,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.1079013118705529e+116,,,,,,7.967956256197245e-53,,7.082751766726774e-27,,,,1.1081755097786373e-54,,,9.100459301937074e-46,,,,2.095787741203947e+75
"$S_{x,y}$",,,,4.771475566631283e-76,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,9.172553297289563e-61,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,3.013644139660985e-37,0.00011958156868253365,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,8362.492740455764,0.0019515622319445588,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.2550269703378818e+52,,1.0902089828090661e+60,3.318241815082033e+36,,512.4099983240548,6.795569855190522e+20,,,,133.82668463913902,,,1024854.6922543702,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.9006617925686273e-46,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.4118806262528957e+26,,,,1.4715469361795912e-21,,,3.447489130108025e+45,3.36812899154354e+55,,5110.627561475231,,,8.866835908546188e-11,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.9690074296760286e-56,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.85383184838043e-30,2.263122670489688e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,9.023841360650121e+53,,,,0.00747235129299123,,0.0001956706858347824,,,2.594820011205858e+29,,3.6250842821647174e+17,,0.034945147379781494,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4418673424.289558,2.758556552519244e-18,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.1224323131159566e-48,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.0988456371505836e+45,,,,9.757480817112742e-07,,11277980221.063555,,,,28.616276507065997,,8.909223196042216e+47,,1692933.0828660103,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,5.906908017339197e-07,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.2673351874517425e+18,2.6095776720996725e-97,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.890572359240818e-19,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.8320376921197273e+96,,,,,,2.462320749427657e-46,,6.274311940101883e-54,,,,,2.135965714724749e-64,,9.700906360809613e-24,9.043196970336213e-61,,,3.718886928632736e+17
"$S_{x,y}$",,,,2.6889766190542773e-18,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.832945069243055e-55,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.980687930785541e-06,1.1039633211798473e-14,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,5.972462704383245e-16,335493.0214839554,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,4.061209329582429e+45,,1.1321252336121406e+54,1674351183919643.0,,90582719626161.33,7.177140407753867e-11,,,,,4.3076446916129406e-21,,8.059017562026302e+16,5.421240893781992e+34,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.5938002597680248e+53,,,,13933125774.15434,,,1.7707531201986397e+25,8601.148724462513,,,3.6312698825873094e-06,,7.466892971778649e+29,4.790313664944117e+43,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,5.647314628974489e-26,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,0.00011626354014271392,,,,,5.440919619600174e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,4.6817230871557544e+63,,,,2.3214542321631527e+20,,275385.7554887911,,1.8379245971538264e+24,7.60641598855254e+60,6253522786200.901,,,9.5712848191431e+21,3.890021170854305e+30,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.2832585667831637e+51,,1.5990986747607478e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.792661789952214e-52,1.3146796092995363e-61,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.3659916531999987e-17,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.030831514918924e+23,,,,1.2408460365094018e-17,,1.3392451234797801e-30,,,,,1.0447918110220109e-22,,,4797030933489600.0,7.320688948994531e+16,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.1058036259524506e+60,,,,1.8445961350785412e-35,,2.0875459728620212e-44,,,,,2.570680096788228e-31,,2.084622788272391e-16,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.072099641134408e-20,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.826022745955075e+19,,1.2223950322060495e-91,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,3.1322374731888735e-16,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,8.180661518194373e+90,,3192605952006309.0,,,1.0073951316174455e-41,,6.04603116189287e-39,,,,0.0022468003517796663,,,,3.7080052595014383e-50,,,
"$S_{x,y,z}$",,,,,,,,1.9163957671453667e-56,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.9062641442705234e-20,2.9310066483397106e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,9.926591548982652e+40,,5.218128828835728e+55,55766538812882.38,,341179710583890.06,10598246924.592047,,,,4.039013163735412e+48,,,,1.3939827192801064e+36,,,
