ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,59798863.77630763,2.345081741691609e-16,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.6846837833162565e+46,,,,,0.042894815671897006,,3.45940945336025e-09,,185673.3519646559,,4264243681666536.0,,211940.08379195668,2.5851064058832396e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,5.385802482794388e-06,1.6722725765170828e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,7.859990765089043e-17,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,4.718314639252543e-06,,,,,1.2722661258606088e+16,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5.862554637948942e+46,,,,,0.00304144345574116,,3.4773289841263248e-12,,,3.8683127229276864e-20,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,4.2257598579109864e-52,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.110727768089486e-57,
"$S_{x,z}$",,,2.3664383060668102e+51,9.00310615012404e+56,,,,,2.739424922839268e-50,,,,,,3.5349802189597355e-52,4.3867357240912366e-29,,3.6406624015943095e-30,,,5.822147632642427e-35
"$S_{x,y,z}$",,,,,,,,,5.797905901477609e-21,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.621629070581524e-73,7.799670288691644e-98,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.1598736060359769e+72,,4.41536444136395e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.7247606584045247e+20,1.2821054775223648e+97,2.2648187103918655e+23,,,,,,,2.1750771857825015e+26,6.559447396182908e+19,,1.5336422735129922e+25,,3.650401190639506e+49,2936536.7029483644
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,3.405372045906909e-07,,3.0233484618383787e+22,56910279508.30126,,,85737.12795108862,4.257449287034679,,313999894.0246497,,1.7175792561380692e+34,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,3.307590946337491e-23
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,1.757151798655521e-11
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.004258004786477135,0.014909737835663921,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,234.85177921261828,,2.1474682192138785e-15,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,4.5975379933022556e-27,,,,67.07026045810218,465664632916462.44,,1.1003553085391059e-10,,49351.06846716342,,2.828870143704163e+51,1.166355841276233e-05
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,1.5245186668955114e-20,,,,,,9087973604.886377,,106188584.26152402,13691246.28938771,,2.2795993715968873e+28,0.23488242198100304
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,9.417208139221198e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,6.520425377355957e-26,,,,,,2.0262985808815205e-05,7.303936974496726e-08,,,,2.7467528973905477e+29,3.1847144506408586e-09
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.225821428710598e+68,7.85337678456687e-117,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.4927233923670713e-69,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.2733376067797468e+116,,,3.8113021323582524e+35,,,1.4783500333778186e-31,,,1.5343026496121293e-28,2.8230877037413844e-57,,,,,,3.412787412922093e-29,4.933151310025125e-29,,
"$S_{x,y}$",,,,2.623775196172253e-36,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.738999898314332e-68,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,6.764297882248785e+30,,1.1442956993201136e+67,4.3106852599117014e+35,,1.1873019347091518,,1.1328133140678244e-10,8.906055713949524,,,,,,10416079.027248485,4.3758663878835826e-05,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.3198167801758824e-36,2.3577462500793177e-54,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.2413385238821125e+53,0.8422457428614952,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,6.517618934261759e+27,,,,8827579863.173532,,3.405678083100301,,0.007719886248841304,,,,,,175346.0544269589,5975389674737366.0,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.2936272823207257,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.5422208055198535e+56,,,,0.11228315116350591,,,129.5355874123265,,,96400612.14393747,,,,47271003995.5373,0.07582185351055733,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.01000150104149698,101585381.13687986,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.843936094038603e-09,2.2756988622767634e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.0373378112027776e-08,99.98499183781762,,4.394254514850582e+20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,9.218421116704408e-09,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,2.0271018202255524e+28,,,,22852.617318685014,,,1.6735310238054936e-16,13.18880973888038,,,,,108478446.29140794,2.5022807189774544e-22,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.9301561422010202e+28,,,,9.600541599041231e-08,,,5.70300827850423e-06,2.1154617323008554e-11,,,,,,,3.996354175676362e+21,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.3897084962457793e-110,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.195753661299796e+109,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.5757221936179607e-19,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,,,,,8.101233851778861e-59,,,9.485984714453176e-70,,,,7.48136500232484e-42,,4.9533881212120395e-24,,3.8824062722205327e+18,6.561256152745871e-63
"$S_{x,y,z}$",,,,,,,,,1.569804475231132e-67,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.2343798713827042e+58,,6.370220086503218e+66,9.958741908284299e+35,234671632735366.62,,,,774509827230.0148,,,,3124.399781437327,,2.914599841945893e+30,,,3876090.229266277
"$S_{x,y,z}HF_{y}$",,,,,,,1.284242693296951e+55,,4.261273458337741e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.786690204425197e-56,1.0041429019946164e-36,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,1.5240983993308998e+62,,,,,2.5799193023153504e-07,,1049547.6857800244,6.684373472587713e-11,,,,0.04140267434451785,,17589668.664715707,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,9.527913915190995e-07
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0541868136012966e+69,,,,,1.2911392016502058e-12,,,,,,16.692158951522206,1.1276507100721676e-09,,2612718743160567.0,,,14960265223.075144
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,0.05990836792917115,14551.01879131626,3064399.195466765,,1.9641436137103954e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,162.70630986206245,,3.2632824126808366e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.006146043142689243,6.872371030108069e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.11356879121050496,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.3366544737347386e+41,,,,,0.00032006147418816135,,,886799423.8535103,,,5091277.404664595,,8.805235922133345,3.4367565400380703e-10,,,24.15302914200301
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.0188202004960416e+23,,,,,3.4310027249996814e-31,,,3.8274307275428924e-16,,,,2909720221.2319717,,,,,5.685155411744434e-08
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.978086390746671e-55,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.433057637873408e+54,,,,,,,,,,,,,,,,,,9.262270809777313e-12,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,0.02843427543393113,
"$S_{x,z}$",,,107964884695.92073,35.168823004601066,,,,,1.1492141958327311e-48,,,5.884698252584983e-34,,,0.0025224516847232605,,,3.9138327982769314e-43,,,
"$S_{x,y,z}$",,,,,,,,,2.3864342884052052e-48,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,4.190352128523409e+47,4.983200691691541e+35,1847861656756860.0,,,,624379168410944.1,,,40280.81842188826,,,3.581540489443054e-06,,8.701598045222464e+47,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.653470601606313e-23,2.006742376776624e-36,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.0358968719846752e+22,,5.411660533911815e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,27175650.95222731,3.450401422245631e-10,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,3.6797646604967166e-08
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,1.6015909091666486e-15,,,,,,2218906.5241609765,,,3.2877939542182377e-10,,1.6993224751340955e+33,2898213505.109119
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,2.4825712067871203e-05,,,4.5067243216932033e-07,2992761363.0613384,2373473156376373.0,,4586649154.560959,,1.1225770368470989e-08,,396.4397042989192,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.0547407484201477e-11,,4.213234926687434e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,94810028103.8595,3.3413957168208216e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,2.1802408824001746e-10,,14.597867061964116,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.06850315842412198,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,279209.46390180406,,,3041553132.3579464,,,89080746.10261296,,,,,2.5550401653342243e+42,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,315294771724.1604,,5.331149602862224e-74,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.171635211493017e-12,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.8757680322141274e+73,,1.3716612142471327e+18,,,,,1.237285235773253e-77,,,2.0359393497629347e-62,,,,7.756066942060088e-54,,1.5423345625948964e-41,,,3.978378227548774e-31
"$S_{y,z}$",,,,,7.29042995174922e-19,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.2106148144355932e-71,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.613108638164874e+43,,1.5201532996066163e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.767699784714771e-44,2.2862294162184325e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,8.082210723019261e+76,3.114668242056916e+70,4.3740142301819517e+24,657828391.5568115,,,,468481666196.6663,,,,369261450193.4579,,2327757036104548.0,,,3.753156255033379e+35
"$S_{x,y,z}HF_{x,z}$",,,,,2.5135870518176875e+30,,,,2.6644241061343883e-36,,1.4480516871973792,3.7707840750767248,,,,6.323721104293281e-09,,0.0002027436059258273,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.6905830840440803
"$S_{x,y,z}HF_{x,y,z}$",,,,,4.911737670949973e+61,,,,2.1345552497676715e-12,,,,0.00011065859903046677,,,0.0001916292057948109,,1.3720377112737207e-09,,,0.26519683442220243
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,9036.80336423451,,312366786.1085587,15412038527381.84,3.852770031082101e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.201364691995339e-09,,36947796.29468102,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.488434338023145e-14,2.706521363343013e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1.2893132659507322e+53,,,,2.708108305039952e-12,,,5218.411232527682,259553513947.76523,,,,,3071.4857650926187,9.59079258808727,,158134741.16071993
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.10426666939311155,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,6.48367756420859e+40,,,,4.2959810001196635e-16,,,728842940.5279667,,,,0.0003255753327477478,,,,,4932.338040617887
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.560457141173049e-87,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.1927626311224982e+86,,,,,,,,,,,,,,,,,,2.189075316156412e-47,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,6.935212584660635e-75,
"$S_{x,z}$",,,4.568138851228766e+46,1.4419168667039982e+74,,,,,6.495842722953467e-38,,7.725388295486402e-33,,1.6472645194624318e-15,,,,,143469.65858175914,,,
"$S_{x,y,z}$",,,,,,,,,7.72972188989987e-44,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.039025311326852e-12,2.6359832151359528e-30,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.2937076058411125e+43,3.793650863396807e+29,37526434.80699396,,,2.0924320193904823e-07,,6982.0848981687695,,,,,28603956.769920044,,1.5394461390920648e+37,
"$S_{x,y,z}HF_{y}$",,,,,,,124393189630.96393,,2.6647881823658497e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,4779127.783999866,,,4.840326160419897e+16,14966933.323125971,,,,,219667739949215.62,,1.2944333174608908e+32,2.627312538746676
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.38061706982034066,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.0659764793892532e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,0.00014322369529798693,,6.681395436263903e-08,,,2369101616860680.0,1.78410592285832e+17,149959.49370491918,,26488620.528582804,,607067042472535.0,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.221009317975604e-16,,1358.6695956449034,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.605048372900964e-18,0.0007360141149882301,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.9935832915249196e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,6.668467432730447e-06,,,,,,334047829178.85803,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,3.496019827059735e-08,,4.552329806057035e-15,,3.775206032042855e-08,,,,,,,6.970114865298361e-06,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,1.020965819768154e-84,
"$S_{x,z}$",,,9.794647192274124e+83,4.343785154441789e+31,,,,0.0004218604722990422,,,,3.0889061868248754e-36,,,,2.3388156961375956e-06,,4.8962709311051145e-20,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.3021396419144672e-32,
"$S_{x,y,z}$",,,,,,,,1.1730099250430033e-78,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,8.525077057326171e+77,9865839594.266989,,6806.904711286211,,,1.7890422106318357e-15,,,,83669523.07242978,,31469540.056182507,,2370.451999331037,
"$S_{x,y,z}HF_{z}$",,,,,,,3800495402458372.0,0.0001469096516573747,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.0135984783100438e-10,2.6312359155944363e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,63206808700.41552,5.183377765384947e-16,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.582108036398025e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,558958304089890.75,,1929243912489049.2,,,,,,6.183966220749163e+29,,12342995.334815403,,3.2373919423817537e+35,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1872156202.3560216,,0.00010192141292773294,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,5.341434644937994e-10,1.0607848162128455e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9426982595.491365,9811.480936876796,,9.969416217900306e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.0032996858874433373,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,1.1951783197501137e-08,,,,1.6170851591082172e-30,,,10030677.60582087,,303.0591499043626,8.776938625381957e-08,,427566.8243767288,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,3.177675931121656e-08,,,,8.10176114366129e-08,,,,11393494.27724273,,,,2.042370640985536e+19,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.3404945865394395e-47,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.9935686889884847e+46,,,,,,,,,,,,,,,,,,1.1034118401568865e-83,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.825507721529181e-30,
"$S_{x,z}$",,,9.062799252342779e+82,3.5391869304777345e+29,,,,,1.9877879534152865e-55,,,,7.576297766886488e-16,,,,,4.381805862681042e-56,,,5.447905544093506e-39
"$S_{x,y,z}$",,,,,,,,,1.9058790179042836e-76,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,5.246922761653603e+75,1.4200661281851636e+83,4.666548439017718e+24,,,,,1462082997678121.0,,,,,6.713150883026874e+27,,5.030717679327243e+54,3.448939342799515e+21
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1380164961423727e-44,7.04192558467678e-84,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,8.7872188442767e+43,,2.142911432438692e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,2.8994421200469614e-22,,47589.331577386336,2.1502100667975795e+18,160235.15840162005,,,,,24.944083533444225,,1.8355678010683886e+38,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.1013112957341546e-05
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,4.650708390968295e-19
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0002525212214684076,1.658962989445425e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.320180197238399e-06,,60278.620220110526,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,6.839556999076402e-16,,,,,187963.55817404087,3960.0632144301103,146415233.4677574,,0.01439350435171127,,1319905883808675.0,6.240827605971209e-06
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,6.829890417244141e-09,,,,,,8764.620001971849,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.00011409507768448852,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.4896134727559e-28,,,,69.4757840456767,,,,,,,2.2821640924733763e+55,0.04008966690073949
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.853514848266592e+116,2.5234277082671797e-105,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.060362502768782e-117,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.9628636743736676e+104,,,4.9560076062863684e+86,,,,1.2451784456008953e-65,,,1.0062835651520158e-07,3.855277351910892e-35,,,,,1.0259263290475984e-24,,,
"$S_{x,y}$",,,,2.0177531582711174e-87,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.1451101437722277e-45,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,8.030977435667241e+64,,4.661765284655621e+44,1.3890581805711702e+38,1.73644107624656e+18,,,,2.3083250112123546e+18,1.5575718201395095e+31,,,,,8.00257877801745e+22,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.095842012546436e-28,7.199122498877675e-39,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.2352019696657392e+27,,5.7589054628998445e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,3.000980851814187e-26,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.224379184780013e-07,,,,,,,,,3.3322438541901014e+25
"$S_{x,y,z}HF_{x,y,z}$",,,,9937556.714929886,,,,,4.3321455823709606e-19,,4495636.3862886,,1.646872400368208,,,,,7.966360335246349e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,2.5938471054601136e+34,,,,,6.420249692951118e-32,,,0.607211584684047,,15.29372129128042,4.2617060643018465e+19,72302477.3763363,,1.966902210616795e-09,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.3464781120793232e-20,7.359543249464957e+18,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.06538630990811511,,1.3587799760164473e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.715709018640045e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.383078472947716e-08,,,,,,582849416267.9456,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,9.747288588726769e+23,,,,,1.2495971957776076e-23,,,1255278.393039293,508413684.5249734,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.9929633828925547e-109,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.017653653769675e+108,,7.432487194956392e-90,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.3454446321530018e+89,,,,,,2.5083164204285546e-70,,,1.2713266480380206e-26,,,,8.518290954770001e-30,,,,58238466.078311175,3.150843389089963e-41
"$S_{x,z}$",,,,1.71707819133721e-08,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,6.161457388566843e-76,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.5430653171868302e+110,,0.1324875757036091,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.9322623498566374e-111,1.7740515415133946e-132,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,3.986737844777759e+69,,1.6229926410845475e+75,5.636814808361923e+131,7.547877562777073,,,,1.0509508989932906e+30,,,,3276490966.519072,,,,,105.51764191585251
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.001298931038986061
"$S_{x,y,z}HF_{x,z}$",,,,3.1737534257100075e+40,,,,,0.009477088208599972,,769.8638110769875,5414654930.050546,,,,7856.328615010831,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,7.865799096898138e+25,,,,,9.515192393459136e-31,,,,,,8409825603877896.0,1.8918807468268443e-09,,,,,1.8468397578766206e-10
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.647148759953616e+16,,1.144174211782297e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.189085299865059e-16,272362.21563694335,8739927.798602324,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,6.07109706368088e-17,3.6715812347957693e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.1739444042352514e+29,,,,,3.052045649502874e-10,,,528574542.38447607,,,,,6.830892136250129e+22,42654286649.25495,,,0.00012728591801637888
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.463937623452151e-23,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.344430252047052e-11,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,2.0655465280702668e-128,
"$S_{x,z}$",,,4.841333692609908e+127,1.9553379923757146e+74,,,,,5.839795671833144e-36,,,,,6.324093307177573e-13,,,1.0716063294132739e-08,7.908143439639534e-20,,,1.4454912955875473e-15
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,5.114205338919492e-75,
"$S_{x,y,z}$",,,,,,,,,2.504796693423419e-66,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.673411214544977e-90,7.365907585232678e-88,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,3.992339987614942e+65,1.3576059547703537e+87,8735292646471.868,,,,,,579441962.7502583,,,7.1296338172148875e+19,2.2768746134530646e+31,,1.7123886796643596e+35,2.722168582724379e-07
"$S_{x,y,z}HF_{y}$",,,,,,,2.1397646260780931e+89,,1.1447813375821977e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.2775524301743953e-12
