ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,z}$",,,5.265045451050306e+86,3.541412588975868e+21,,,,1.559607765700685e-36,,,,4.178183140470712e-30,0.0003000343184077987,,,2.259712500067814e-22,,,,,
"$S_{x,y,z}$",,,,,,,,6.436010861270731e-40,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.6555404033661048e-105,9.370113230682144e-94,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.0672229623923122e+93,0.2436386254716505,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.5537574773491903e+39,6.040323739407165e+104,,4.104439507751034,,,23014237340.00421,3.2856667667341056e+17,,,1.578776752407626e+16,,,,6.4118685607514254e+35,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,760242.1863011017,,2.239674662609549e-07,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.3153703096449054e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,4.345136383302011e-11,,,4464934.200911366,,3.634822422596016e+17,,,0.2273373812382313,,,,2.393384795208714e+29,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.794194515291215e-07,,0.1338485070515852,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,3.043522277196668e-18,,,,2.75116603711769e-18,,2635605.51777153,35405.309520325536,3.424576644960914e-11,,,,3332.9520613066215,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.8244351300640886e-05,7.471133014689512,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,6.334017767078247e-17,,,,4.398748655207216,29200689710.696,,,,,227984.12188461068,6385506.326957143,4.425341719223086e+21,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.5660465259871187e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.3862703759085865e-06,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.59216255753845e+68,1.0926485675246968e-81,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.1776232602184552e-69,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,7.274785547333383e-43,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,9.152073500315071e+80,,,1.3746109675584268e+42,,,,2.3763365611997545e-80,,,,,,1.6318751587275798e-24,,1.1780722082965185e-12,,,,1.953667069056867e-35
"$S_{x,y,z}$",,,,,,,,,3.481454537143687e-38,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,4.2081581217398105e+79,,2.8723626556974564e+37,2.3533207852680172e+47,3267.100316416259,,,,,,,4537844166549.629,,3.5354826744512604e+20,,,,9397087.085150005
"$S_{x,y,z}HF_{x}$",,,,,,,,7.369097286937795e-45,4.249314442213245e-48,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.3570183172538177e+44,,0.0003060818166418955,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,5.118579392765985e+34,,,,,1.0641595538475709e-07,,1395201830085.9407,134175.61942914198,,,4.306815023621422e-06,,1.308647198887496e+27,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,7.167421791142595e-13
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,7.452918825749108e-06
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,14048.653776295308,,7.274225354431144e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,7.1181197566939e-05,1.3867030928847797e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,6.12791974099127e+23,,,,,2.2036896008272463e-13,,,,7211349027279406.0,1374716827257548.5,,,34059947187.80409,,,,232190.1438801849
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,848844402709.3982,,,,,2.8284681105252745e-21,,,,,,2.935999854861994e-11,,,99868345.18651147,3914465.5567889763,,7.641478932214257e-28
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.554627152781226e-07,,,,
