HahnEcho Time,Normalised - LP1P0/LP1P1,Normalised - LP1P0/LP0P0,
3275.0,0.942576870124,0.807876687071,
3285.0,0.971000560763,0.810660781166,
3295.0,0.963663338949,0.820599571734,
3305.0,0.967671574355,0.81709349237,
3315.0,0.890795197494,0.796075138396,
3325.0,0.95008948101,0.805207389775,
3335.0,0.946787615651,0.804122127351,
3345.0,0.960604250659,0.814943839203,
3355.0,0.922852399314,0.802809355199,
3365.0,0.926794357987,0.799447774261,
3375.0,0.939390195691,0.80786638618,
3385.0,0.923944100992,0.802137831499,
3395.0,0.960543694916,0.809725286961,
3405.0,0.969536330223,0.821590432647,
3415.0,0.956059839561,0.818288659794,
3425.0,0.954768260131,0.811810097592,
3435.0,0.97807525839,0.817353493428,
3445.0,0.973209555182,0.819204219344,
3455.0,0.944967109346,0.814898854758,
3465.0,0.948074448074,0.816341317876,
3475.0,0.946560135404,0.822124219037,
3485.0,0.99638921011,0.825544562199,
3495.0,0.97919556172,0.832669910069,
3505.0,0.968674698795,0.815873564211,
3515.0,0.955252823969,0.817203409162,
3525.0,0.953703936296,0.813150567573,
3535.0,0.962252219385,0.810235720576,
3545.0,0.942012522125,0.808516427454,
3555.0,0.981533630722,0.826447321485,
3565.0,0.965323606345,0.822583943397,
3575.0,0.978601423219,0.822912481763,
3585.0,0.967366923133,0.814772681103,
3595.0,0.910477434747,0.806648046098,
3605.0,0.939304792134,0.813167418793,
3615.0,0.972068131277,0.817451347075,
3625.0,0.940511122815,0.813647211977,
3635.0,0.958809622462,0.810545184819,
3645.0,0.946722113503,0.808312447786,
3655.0,0.954140789194,0.817054921945,
3665.0,0.963519977155,0.805979656429,
3675.0,0.965933028256,0.81484507445,
3685.0,0.947654753175,0.801584602149,
3695.0,0.961355349637,0.808717227367,
3705.0,0.967653972732,0.819526568317,
3715.0,0.953638041578,0.808395437889,
