ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,2.356058021791606e-08,1.0207556827928093e+29,,1.6827556906920264e-14,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,9.796663558746776e-30,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,1.7594781823966488e-13,,,,,,,,1406309919731.6616,,59426332980562.02,,5.488625012107339e-07,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,6.340099660173539e-76,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.5772622728340968e+75,,,,,,,,,,,,,,,,,1.5659510772713658e-72,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.0057616678716498e-34,,
"$\hat{S}_{x,z}$",,,6.385895539868828e+71,9.942713387716968e+33,,1212.4495604800074,,1.6938310393747792e-39,,,,,,,5.243802135617431e-09,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,1.2717915786400893e-48,,,,,,,,,,,0.0008247765784203849,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,2.8441800392411737e-22,5.398088208244203e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1852507.705362716,3.823585128203609e-26,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,7.862923585869998e+47,3.5159518251411377e+21,,2.615346504577023e+25,,,,,,0.03986054069888281,,,,5.9037765677568175e+38,449256808947.9178,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.2558514215324668e-18,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,2.2258983727855526e-12,,7.962725389757801e+17,,3.342467896781974e+34,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,,6.293532236773114e-13,,,,,2.9918013601948706e-35,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,25.087467015419268,,,,1588932831958.815,1.668437382904003e+17,105134007230223.31,,,507252311141.9921,,190701322.0822557,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,239175759265900.25,,9.511670165964392e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.181025715437426e-15,5.993632186899621e-18,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,1.8688109654776965e-13,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,1.9714055077416413e-12,5350995999450.297,,7.721727439845559e+44,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.295047005725445e-45,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.8328010113540548e-114,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.530074989354824e+113,,,,,,,,,,,,,,,,,2.5511401364935393e-94,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,2.3875768598201922e-11,,
"$\hat{S}_{x,z}$",,,3.919816029292958e+93,41883468416.39727,,8.79201934425982e+46,5.875426453133228e-25,,,,,,,,,,0.6180529626603547,,,,
"$\hat{S}_{x,y,z}$",,,,,,,7.320523778905468e-59,,,,,,,,,,,,1.1373951317030317e-47,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.00811953048210319,8.81631893187031e-25,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.366022473530597e+58,,4276.8304558210875,123.15983075673748,,3.1805763765698534e+23,,,,,,187.04212275166486,,1.7020041148957338e+24,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.0002338180132062343,,1.1342602368717373e+24,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,3.144084221233093e-24,,,72630.40082429827,,60643658.106418274,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.3768339271858365e-05,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.6489770426533096e-08,,,51.971624472218465,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,0.019241268868448628,4.58732281590104e+16,,3629.507403996494,,1.259908536434969e-13,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.1004513863570507e+30,0.00027551948203739384,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.1799207078553516e-17,4.760881430035689e-31,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,0.00534638928006445,,,,,,,7937084090481.64,,,,7.568846287155163e+24,1.6179843159323883,,2.6306026685939547e+46
