ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,3.6026111342955475e-08,,,0.007588744189353046,,,,1.5837403554792397e+21,1.6304806681451998e+23,,2.8907849096802226e+44
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.459268092383323e-45,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,6.314166312301868e-22,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.4131165988926823e+37,2.2550980262183007e-110,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.144018571083032e-38,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.434397034513642e+109,,,8.150134681748683e+72,5.1557980823935764e+39,3.0801052065168665e-32,,,,,345241488.91425914,,,,,1.0527578539643814e-32,,,,
"$\hat{S}_{x,y}$",,,,1.2269735888406708e-73,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.939563931750699e-40,,,5.696844888508119e-58,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.9964198801386166e-22,6.729163416209512e-09,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,3.2466423480737167e+31,,1.755357605079324e+57,,3.955439322177218e+23,5.008966349957242e+21,2.8118773321348447e+23,,1.2531209722583457e+22,,,,,3148275.325138815,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.5281641773474698e-24,,148606882.92859036,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,3.556342905046914e-24,,,,4923336346.405229,6.129494516397467e-19,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.031142968182845e-10,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,2.8965232514344487e-09,,,7.980075524534739e-23,,,1.6314559011755791e+18,,,,37009312814835.62,,,0.0001587272449697189,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,5.815924804811119e-07,8.30701891072584e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,2.7020226098311618e-14,1719417.0034192465,,835.9521078526076,,1.3066401827458839e-24,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1203801.2802749516,0.0011962407781574932,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,9.49886050466676e+31,,,3.1763422722754005e-07,,,,,6300.115649274794,,7.653216342226026e+23,,,,2.3284803532317554e+24,,,5.887874936748687e+17
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,1.6984056399679657e-18,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.2946465002896645e-25,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,56627977.195500135,5.6100845025373356e-105,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.7659115679651428e-08,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,4.202839126161342e-39,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.7825043447165882e+104,,,2.37934398624805e+38,3.127651017034492e-26,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.1972876595041547e+25,,,3.837369397981717e-24,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.063489190855003e-11,3.951807912188278e+53,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.094755853015383e-71,,2.530487367353488e-54,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.6059518808013504e+23,,1.0995347386576058e+70,12401579221.239908,,1.09863843306866e-13,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,9102175655796.527,,,1.7868127679367323e+30,,671.4994197893233,,,5.789467798852061e+30,8.27475538071906e+30,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,5.596557277541282e-31,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,0.0014892045629968538,,,,2358.986521870552,5.5797148667712904e+20,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,134.01744961404808,,1.669578046776652e-46,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,1.7272744831541866e-31,0.0004239108577894937,2.2152921475714666e+27,5.989537308127861e+45,,0.04103594693490162,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.007461714895186136,4.514077301706047e-28,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,1.2084949391133565e-31,1.7922062755487206e-21,,,24.36887837842208,,8.022208239223303,267650453431.2568,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.12465395688816204,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.736216349272277e-12,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,9.12612177319503e-115,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,2.71913814105483e-15,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,1.0957557052735916e+114,,,3.6783603282768444e+46,,,,,4.300358685981682e-23,,1.3105425534663935,,,,,,367763588359682.25,,
"$\hat{S}_{x,y,z}$",,,,2.7186026129975624e-47,,,5.295308727659654e-08,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,18884640.18682374,,1.577644179446627e+44,6969.751872970347,,2.5936582091989367e-55,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.00014347713063906007,1.5411400010218176e+33,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.338564886987122e-45,,6.4887031634827005e-34,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,2.3253874223557256e+22,,,3.855558131959317e+54,,,2.512032504755744e+48,,1.0236400764735534e+47,1.9541761294719094e+39,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.980840208503729e-49,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,9.769058705135953e-48,,3.397300599354151e-36,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,0.7630427545866356,,,,,,,5.117246009295165e-40,2.9435134476769777e+35,,1.1553416913862903e+38,1.8758853698160695e+50,4.776616246241048e+29,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.3308161366920303e-51,1.8986447293313736e+16,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,8.655448058834471e-39,,5.2669147869078164e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,2.093532217052079e-30,,,,,1089053105920.5643,,,1254600117236.5461
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,7.970667197151688e-13,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.182288674111179e-13,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.0381774235438726e+17,5.970737911036984e-107,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.984844748275253e-18,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,6.930687408324202e-19,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.6748348611173964e+106,,,1.4428583213822853e+18,2.0229614804963004e-38,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,4.943247855390042e+37,,,,1.4068206661315101e-47,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,9.866897050020642e-19,2.7054012530512235e-18,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,7.108226542831577e+46,4434780.859719097,,3.696309369533164e+17,,,,,,,,,,,0.018369354631205554,2529383891.3858805
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,2.2549028500662847e-07,1.0134898488658173e+18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,54.43849389794112,,,2.088051561227164e+21,2.2546113965283133e+33,,,,,,,,,5832132063.0393715
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,,,,,,,,,,4.789153766932327e-22,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,337507252269.17377,,,,,,,4.435354143688868e-34,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,2.962899295575626e-12,,8888038320537.031,3071742.9181158515,,,,,,2.6679481127671787
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.1251076603589376e-13,,1462028.7465460782,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.2554807698991323e-07,6.839810792793351e-07,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,3.9535319387682495e-10,,,,,0.37481988319585663,,,731234503034.8619,,59598560379.70528,,1.7146388133722363e-10,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,,1.3675503492377254e-12
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,,1.6778928779973076e-11
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.0868779856608644e+29,,4.592614058075241e-62,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.791846992833766e-30,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,2.3902283493426937e-16,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,2.1774091777681374e+61,,4183700692341789.5,,3.312965611326621e-58,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.0184436463243786e+57,,4.0714307323849946e-11,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,24561390472.538193,,7.387668459652033e+24,1.7797785776969635,,1.6033343990732534e+62,6.169635718915384e+27,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.353607035103875e-25,,1.3390242584978093e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.561867646083257,7.468124596352383e+17,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,6.237002091254401e-63,,,6.809489296642587e+37,,7.022223011279112e-51,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.4685389115642624e-38,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,1.6208412385420368e-28,,,,1.4240504728969694e+50,,,2776840699296919.0,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,3.6012148635432873e-16,1.7801634410473887e+35,,3.928562482543129e+25,,10885936.177216427,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.5990949988740864e-10,2.5454603419026105e-26,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,5.6174617281862245e-36,6253537161.357482,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,9.186164457705865e-08,,,,2916635450.3981643,,,115611692166289.92
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,8.649644177525327e-15,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.4286081240063275e-10,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5627931.838072769,,3.3584393959634936e-74,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.7768516548744134e-07,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,2.9775734562960985e+73,,32.79070538378571,,5441241591.4966545,,1.0099323515026143e-82,,,,,,,1.01017564194204e-80,,5.02153076324518e-90,,,,
"$\hat{S}_{y,z}$",,,,,0.030496446730739684,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.8378158425510058e-10,,,2.8318343541923104e-56,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3199801848.776888,0.0008427500585723621,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,1.3856140029441663e-06,3.125193519036956e-10,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,9.901653298977535e+81,3.531279993547567e+55,721701.713374136,,1186.591433400815,,,,,,9.242499326669997e-11,,0.00041375735746019247,,,5.313337060896565e-05,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.421500630748984e-15,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,18820.56396082016,,703481924924017.2,,5.8471016047171555e-21,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,,8.053737611518128e-08,,,,,1.7102490560335892e+20,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,9.899268587366872e+79,,,10819584234.260284,,,,12416595.2286531,1.2315910801348315e+47,1.4333834343747618e+68,,,5.017092547485692e-05,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.372880556874836e-38,,6.976500327954448e-69,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.3563219860757826e+37,8.119578130514899e-48,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,6.213391014708064e-24,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,1.991424621590383e+89,,,2416.8754512026044,,,,,,,19931.86273793471,1.6094271189964453e+23,,910258993.9882253,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.0985884309899336e-09,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1.996024988739867e-121,,
"$\hat{S}_{x,z}$",,,5.009957318376666e+120,5.438052257964346e+65,,5.469019641894529e+28,,,,,,3.4124201596472478e-49,,,,,,6.388481112382956e-08,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.8388936931149227e-66,,
"$\hat{S}_{x,y,z}$",,,,,,,,1.7625934547470217e-34,,,,,,,,,,,1.828481273571709e-29,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.0030989931756872824,1.1330354509459823e+21,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,5.673458035979864e+33,322.68544759806514,,2.9190107001916734e+36,1.679293069288462e-19,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.82584917501999e-22,3.4258182059227676e-37,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,5.95488672161145e+18,,,,2.705677873798345e-26,,,,,,,,3.6818590798723045e+36,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,2.7160192128664584e-37,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.6959314694626143e+25,,,2.173667578971556e+51,,,,,3.428883304159486e+52,2.9304714930044634e+48,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,4.600519461550499e-52,,3.2141326842168455e+28,9.390902064009052e+20,,,,,,6.743461776827544e+32
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.111259236155833e-29,,16.253340301732038,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.0648604289384867e-21,0.06152581447479045,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,,5.663356464922934e-27
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,1.4829178737785464e-33,,,1.7657373435588743e+26,,2.1922386236403185e-18,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,2.9164013799680117e-53,,,,,,,15653172.990707831,,4.561547220345254e+17
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,24442313426.113758,5.34767666504477e-135,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.091265759368001e-11,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.869970947451865e+134,,,1.3496119637712072e+41,296849062.9342016,,,,,,1.0532944192765322e-64,,,,,,,,2.812473539216905e-61,
"$\hat{S}_{x,y}$",,,,7.409537162116658e-42,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.368715367047179e-09,,,,3.5021356796089773e-53,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,7.186660835873793e-18,6.603287372359379e-29,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,2.855400508388221e+52,1.3914668061254272e+17,,57.10262217955614,,,,,,,,,,,1.9580930616627285e-24,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.5143972140087191e+28,0.01751233063966053,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,3.709674648954263e-06,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,3.555589007526935e+60,,,,5.107009567516893e+23,,269565.4187037385,,161.44428344997857,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,9.494021630598422e+63,,,,,,,,,,6.042209781865534e+16,,,,,,0.006194087388110197,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.438583438467943e-16,4.2668739928251243e-26,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.735544570916385e-11,2908174304607099.5,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.6550236355601173e-17,57618802579.75685,,2.3436361178734825e+25,,1.8493837845020048e+22,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,4.0589425990895226e-30,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,5.407206488886114e-23,,,,1.1750919204600246e+17,,,2.463695840942205e+29
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,8.509972561197768e-18,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,9.145410855977571e-05,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,10934.445873980454,,3.0596763287991226e-95,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,3.2683195623913758e+94,,,9.013275394982905e+60,,6.417163604730182e-26,,,,,,,,,,9499709750813.496,1.4024954423763786e+25,,1.1896403296480382e-08
"$\hat{S}_{x,z}$",,,,7.130147947615479e-26,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.1094745874031919e-61,,,,1.8281484896665154e-82,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.509073857890217,1.1853629053600094e-25,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,1.558320874448153e+25,,5.470015185595873e+81,7.843364453286178e+33,,8.436234974775827e+24,,,,,,,,,3.2939669761270436e+18,,3946029457.7745323,3.261583915096149e+20
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,1.2749630671325294e-34,0.39855343311450436,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,2.534192941793132e-10,,128786900543.60939,,6.748121917885569e+65,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,7.764764861791074e-12,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,1.205127573464016e-47,,,,,,1.481893795293693e-66,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,8.297876689731713e+46,7846511.038256276,,8116889476082348.0,,,,,,5.1949557803674896e-15
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.274451785162121e-07,4.799831367332595e-11,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,20834065271.666595,1.231999034786235e-16,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,84059019.77918449,,,,3.065995007430372e-21,,,,,,192494420025507.97,,,73452434.68039158,0.09346813150082785,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,,,1.3614252602398134e-08
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.0526637405046678e-13,,,,3.035853143785226e-19,,,,,,,,,,,,,10.698833751599528
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.789576060771568e-05,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,26388.175984951657,,,,,,,,,,,,,,,,,1.7872937034963563e-115,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.7135483249686538e-65,,
"$\hat{S}_{x,z}$",,,5.595051322811526e+114,5.835843585084145e+64,,4.2871055919362376e+125,,,,,,,,,,,,1.6950579693751157e-06,,8.611304959653817e-15,
"$\hat{S}_{x,y,z}$",,,,,,,,2.1323866990857774e-119,,,,,,,,,,,2.33257609022025e-126,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,3.1660069296011895e-32,9.82026825576328e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,4.689580930272788e+118,3.158552783477219e+31,,10229673230739.22,,,,,,,,,,,1.0939255720517487e-15,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.0183021216483816e+17,9.775483316466968e-14,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,6.634818451024573e-22,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,914138973938068.2,,1.507200245766448e+21,,41139612.8098384,,,,,,10.08627445899013,116126418084745.31,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,4.417988599603688e-05,,,,,,2.4307472328977616e-08,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,6.12900008906834e-11,14269344321.68865,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,22634.734731766945,16315875109.605497,,2.325990818497894e+39,,,,,,9.015549696155107e-07
