ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{y,z}$",,,,2.1672150600628378e-104,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.0768212161908766e-39,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.1320269098469533e-11,,48070900479.45478,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.6414985576665954e+27,,4.815050964445135e+38,,88337122669.21263,3.212371363778416e+16,,,4.3281008238798034e-10,,,,,,4.166645217559802e+21,,1.8752357421183642e-27,
"$S_{x,y,z}HF_{x}$",,,,,,,3.112965117531717e-17,2.0802605943015237e-11,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.4542222636709286e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,2.001155290365139e-06,,,,,,,687652792.1362418,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1121684.6296105543,,,2310482220.013485,,,499711.34414937673,,,,,,,,8.508094171831312,,1.0902873859906931e-05,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7114.6868285811015,,140307.77627045472,,,,,3.3157347451370567e-06,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3545.0743029812043,7.127188717412343e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.00014055432432848666,0.0002820815346970464,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,4.569866731270058e+40,,,5.332662862272173e+26,,,,,91718.93693802084,,301592.27949902386,,,1648472882256600.5,1.0119914722720342,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,6.066220504829272e-16,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.68241915089296e+43,,,2.400012354749153e-22,,,,,0.1175351353433311,,,,,,,,0.988150619248686,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,7.200189213794551e-135,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.3888523902734956e+134,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,1.7103770394098655e+70,,143755197.73406795,,,,,8.3887658378885e-40,1.0334560466827768e-30,,,,,1.7273938521994412e-17,,,
"$S_{y,z}$",,,,5.8466640802488295e-71,,,,,,,,,,,,,,,,,
