ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,697.9832056472934,7.882783608240687e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,3.037970993111919e-15,3.849820227290845e+23,,126858740.47774151,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.5975238867288864e-24,0.001432699228160688,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,2.2348201069089464e-10,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1.760506986212439e+30,,44029.749063046365,,,,3.409089263501356e-08,,8.075646845338352e-27,,,,,4474633089.744002,240563.39763333066,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,4.156908365270975e-06,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,4.7335737729038e+84,,4.033572023450278e-15,,,,,1.9951041209857557e-18,,3.0541872310240333e-45,,,1.9328740446141242e-10,,,,
"$S_{y,z}$",,,,2.11256874398844e-85,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.2845530190231508e-15,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.010972184458652504,1.1117164930982546e+16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.3975076045208185e-10,,8.99509907614206e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,247919212595244.5,,778480907514785.8,,7155596125.309693,91.1395541852575,,,5.1791845887666316e-14,,3.981376730832468e-34,,,7.904214434716407e-24,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.4122182801644008e-15,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,2.5207289926046068e-08,,,,,,,708105831829047.6,,
"$S_{x,y,z}HF_{x,y,z}$",,,,5.012269733100008e+17,,,19308058688793.32,,,,39671063.52701267,,,1.9296481666509198e-29,,,1.0385337562269708e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.328094397640751e-07,1903245532.747921,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3.274193506678737e+44,,,2.5116939883026573e+33,,,,,5.182291866892974e+28,3004722.464329404,,2211230042931004.0,,10096747776.28284,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.254182830295111e-10,4.522369814922068e-16,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,5173642859.8979845,,,1.2651478629019235e+23,,,,,96289.60002542763,,9.904179267991521e-11,,,,63482893.88516446,,495524.6279839475,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,2.018063166847067e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.5752274964164692e-08,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,1.176811704614722e+140,,,14.853167896401253,,,,2.6209412910341177e-35,,2.444972268986332e-64,,,,3.2646332175218e-09,,,
"$S_{y,z}$",,,,8.497536148549705e-141,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.3325019899692234e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,67.25731872476966,1.3698088246039995e-17,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,0.0673257049926897,,7504679.223954454,335007.82197325205,,7.30028878510906e+16,,,1.8540760813219446e-28,,5.617246775256867e-40,,,,3.859844644300049e-15,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,2.985004929466521e-06,0.014868270382472413,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,,,,,,,3.2359360544897275e-05,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,30902.959241501118,,3.1827029763310965e-13,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.81542312077292e+34,,,,5.393521927573793e+27,,,,,,1.1930827129625306e-30,,,,57.31080657570564,3141983425524.562,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,4.090025938881476e+63,,,,1.7802315618477908e+39,,,,8.381648557432458e+29,3677114316090537.5,,1.305039291571317e+28,,,1.5074234575751176e+30,,1.883927028745321e+26,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,9.079026442890546e-17,7.662604539637745e-29,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.7195238277584684e-16,1.1014396822063046e+16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,4.088782480932645e-07,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,5.308061218623692e-27,,,2445715.8204510342,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,306313124.13071173,,,,259077784769584.1,,,,0.01744871621513534,,6.633835999929489e-31,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.041297606012287e-42,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.1060359293283517e+41,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,2.931388550933074e+43,,,,0.033501708238228504,,,3.2078256113847745e-58,7.14617622164472e-47,,,,,2.127969320445032e-12,,,
"$S_{y,z}$",,,,3.411352615407109e-44,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.780356083576007e-51,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,5251613516.838126,,6.7868338204902526e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,29.849224191467012,,2.6452534573252564e+50,327567573974312.5,147344111621074.56,,,,1.940737636246799e-47,2.122775499880889e-56,,,,,8.570853392235645e-09,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.9041766816878724e-10,3.052805220819625e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.03291564241397421,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,30.380692177390216,9.178638489114993e-16,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.1173764448133873e+57,,,,,5.152679998177932e+46,1089486203412310.8,,,26244429.01295716,,,,,3.7205708351944606e+23,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.287175404698383e-18,,5497157521.109675,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.3444502590619642e-07,1.8191219665070403e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.399349762704069e+46,,,,,4.7108137438749923e+55,,,3.8103324690595826e-08,,1.8913690646831245e+17,4265392.26470989,1.4525534231812692e+18,,8.558041550210274e+25,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.02992452168354054,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,6.884428373105052e-19,,,,33.417409660720914,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,469931587073.288,,,,,116674496.01995318,,,2.6877596054362807e-24,1.1684916392763128e-26,,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,1.9304518517465997e-96,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,5.180134376805295e+95,,1.486739486902899e-153,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.726127938413403e+152,,1.295875406278003e+45,,,,4.444543371434489e-19,,,6.36401893768784e-94,,1.5704876463070304e-27,,,,7.867752312076382e-17,,1.0995232342597923e-31,
"$S_{y,z}$",,,,7.716791252888944e-46,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.914748814133011e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,141780424805.85168,,1.2402013546142866e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,2.2499499193260137e+18,,3.4308273671858376e+16,4.800934619305876e+25,80632068033.09842,,,,6.287977662557538e-69,,1.3420763869204382e-10,,,,3.853615861760855e-07,,1.8060798393080969e-10,
"$S_{x,y,z}HF_{z}$",,,,,,,,7.0531598517169e-12,2.08292776156277e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.5090561278143771e-28,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.62665875422631e+27,2.856464849525867e-82,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.57133410473998e+93,,,,,1.590336438302908e+68,3.5008307564715383e+81,,,,4.3756174612661884e+73,,,,1.5946909623961184e+51,,4.718864097945654e+62,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.0943905654420863e-15,1.650634861351156e-26,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,6.367449004463546e+26,,,,,7451140708.127834,,,2.285391739228105e-74,7641116165616765.0,,6.058275051706058e+25,,,17673192.47554898,,0.0002185713825016574,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.3087093277023663e-16,477465863578753.7,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.850809211904314e-15,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,9.09485101215899e+30,,,,,5536853788.164186,,,2.119154057510043e-63,,4575.164363030996,,,540304205083943.3,13412510.599960662,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.2710110338184876e+16,,,,,2594965.445110724,,,6.270807470416964e-52,,5.6582872697364035e-08,,,,,,7.45572570136819e-08,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,2.488334176395403e-104,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,4.018752824625021e+103,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,1.372778288910668e+93,,1.6443403788515624e-17,,,,,9.994250039822135e-43,,1.8825476488212535e-23,,,,1.5828216054234796e-26,,1.1142532742417652e-13,
"$S_{y,z}$",,,,7.284497490075571e-94,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.1019501322569287e-16,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.855725877278192e-21,,1390894.7436202809,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,6.08146593528536e+16,,4757486795970126.0,,2.5935453707770148e+20,2253411626480.655,,,1.1572173055994312e-26,,0.013077717832151364,,,,104600917.32278948,,2018931787.9253345,
"$S_{x,y,z}HF_{x}$",,,,,,,4.4377156319273335e-13,7.189616644873909e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,3.4771347927601135e-24,,,,,,,26363.667002098216,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.7930990401313015e-05,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0005753268284215e+42,,,8.641419335515435e+25,,,,2.8759310742918023e+23,,,2.1163860271906737e+18,,,,91.82499317743904,,9.603328821688858e+16,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,5.311950540142472e+22,,,76.46594098715876,,,,,4.725035920443193e-19,82080.20071840093,,265087766631754.28,,,13293578.634804696,,10.467224787635109,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.2183206074638872e-05,27756652616903.19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.6027399045626346e-14,3.772335527610923e-15,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,8974620251221.49,,,4.953114344826903e-10,,,,,1.0413055916002033e-17,,0.09553630692839384,,,285990432.7465932,125842599.45162044,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,3.49662046522398e-09,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,6.3178313751438385e+25,,,9.560145604785524e-09,,,,,0.0108902812338645,,7.522428891960227e-08,,,,,,7.946434707783075e-09,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,1.262792716398533e-145,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,7.918956033037516e+144,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.0427940786336942e-102,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,3.2864530893560494e+101,446336739.2627667,,,,6.374907478079752e-36,,,,,3.106326330665927e-46,8.543232040374518e-33,,,,,
"$S_{x,y,z}$",,,,2.2404608718783538e-09,,,,1179205838327.6543,,1.704630826729875e-24,,,,,1.2379765718283702e-66,3.90305628182625e-34,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.601122640742546e-05,4.940392073560332e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,9.10544762311759e-15,21733.826243732037,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,8.480283657840404e-13,109824364643109.4,,2024130.848544865,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,9.784045196455681e-92,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.5686502171812221e+35,,5.8663728492953356e+23,,,,,,8.941280202723878e+27,,,37490.15399539667,9.248603413756658e-23,,,1.022072138794141e+91,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.1184080772855758e-28,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3349.5968313229555,,7.908398059695339e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.00029854339204310763,2.306101018879873e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,3.219236788253417e+45,,8.077697290531902e+65,,,,2.6673670108764763e-05,,,4.336323481985725e+18,1264478586499632.8,,2.2837112931906642e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.1705171945161891e+32,,2.5620947477910759e+33,,,,1.0812443298331605e+22,,,,,43788372.154645704,,,4.49740555234781e+30,,506863860.2892813,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.972916355546186e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.223504170038576e-31,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,1.3238165975995226e+118,,,76710469.43554454,,7.45015491874566e-07,,4.4090676807379976e-52,,,,,,,,2.7950098089926287e-31,
"$S_{y,z}$",,,,7.553916470100923e-119,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,7.477469287772679e-18,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.5595540764118294e-05,2.2755071291018056e+16,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.303603024930311e-08,,1.3373508623234626e+17,64120.892960683166,,279939.7859496325,1.0450246780528316e-14,,6.72557546536492e-35,,,,,,,,2.2409112448205444e-07,
"$S_{x,y,z}HF_{x}$",,,,,,,4.3946247726972516e-17,3.5721967729871826e-06,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1342253.967744827,,,,95691520114460.38,,,,7.522957696877634e-11,,,,,,,6531.610247245687,261243866.61629775,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.00015310160314934435,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.2680531858667643e+51,,,,1.4868616152621546e+34,,13292644200.499027,,,49176557757062.56,,,,,,,3.267468460758685e+16,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.00032119480743872375,,806.0104119141489,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.9619548924665635e-11,0.0012406787619841735,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,2.033489218460769e-14,,3113.375362367201,50969571412.66399,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,0.0997366720616386,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,3.5778049750759835e+30,,,,4462470.355804215,,3.827841062652587e-09,,3.060473305281137e-17,,,,,10.02640231851717,78229575249.28058,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,1.278288929491786e-11,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.6123558192268938e+45,,,,,,,,,,,,,,,,,,4.332031792875718e-93
$S_{z}$,1e+160,6.20210494529358e-46,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,2.3083856439940238e+92,,,293.85788733778867,,,,4.8465182607043335e-88,,,1.1697923395088984e-96,1.531223374020675e-145,,,,,5.297145358792457e-97,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.0034030054767613003
"$S_{x,y,z}$",,,,,,,,,3.7289789741842253e-101,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.281557672186048e+25,,0.0001426643185359954,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,2.3355985754815887e-26,8.239985082560626e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,2.6816992182659498e+100,1.2135944300632689e+21,7009.461162131382,,,,1.0023002993332113e-13,7.348535698397451e-49,,,,,8.60736661049108e-08,,,2.063336907462043e+87
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3743732206139.0146,2.875357358703154e-09,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.6711312266411273e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,9977049798999.943,347782858.00656825,,,4.635233382073323e-12,,,,,0.21897349887547699,,,8.548525804330532e+95
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.150176490770738e-13,,222591367.35013172,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,1.3608153257227522e+48,,,215738867403.63083,,3174425315310.9365,744745477598334.0,328543.494545899,,1.1714201238030845e+17,,,6.530725803735658e+144
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.3427406141824647e-15,4.4925372079997165e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,3.0437370290413574e-06,,,,64642537105.06899,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.546968984794974e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,11617955.238262432,,,4.566762668247207,8.536646926923545e-18,,,,,,,,1.8878092486930755e+96
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.2082098673024645e+153,,,,,,1e-160,,,1e-160,1e-160,,,,,1e-160,,,2.8115642979167266e-25
$S_{z}$,1e+160,4.528555074439522e-154,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.00045312032912579796
"$S_{x,y}$",,3.556738861497729e+24,,,2206.9193009488085,3.2920680127766e+23,,,4.684666511463435e-72,,,3.767536697696492e-132,6.850197313867496e-82,,,,,1.6932549037078752e-84,,,
"$S_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,3.0376043147315746e-24
"$S_{x,y,z}HF_{x}$",,1e+160,,,,,76777978890.90602,1.801104455516633e+28,,8853.847743767152,,4.583151786656383e-50,3.077746395501598e-30,,,,,1.0446685403805685e-19,,,2.1346236654263178e+71
"$S_{x,y,z}HF_{z}$",,,,,,,,3.2361853750505615e+19,1.302456790925562e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.0900578431307455e-20,,5.552148832551512e-29,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,0.00011294524470493302,,27813547.48309479,6.432614071445382e-48,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,3.595370208017531e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,1e+160,,,,,,,2.1819046074612887e+49,1.5545779505707297e+47,,,2.0473662607164154e+34,,,,,1.5046747946254404e+24,,,2.6542541725244765e+131
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0009142109077235422,191.60018124630196,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,1e+160,,,,,,,3.2491306023835804e+29,,,4.884323919893452e-35,,444110247839527.5,1093.839497594794,0.023812758999903996,,1.7026238996414016,,,1.45981196479641e+81
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.251693143458682e-15,,0.005219201743418501,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,41.99429389950285,,,,460517521512313.44,2.5670474846117913e-11,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.1714700381346115e-15,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,1e+160,,,,,,,9.572414228494946e+18,,,6.645954352208915e-25,0.5873287695600979,,,38955259144.77689,,,,,5.905785347558767e+83
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1.7518986605423354e-57,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.1157943054800704e-32,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,5.708092725468664e+56,,3.2094544824130282e+31,,1.2080998066741723e-05,,,,,5.785724773395893e-25,2.6693554858248885e-35,,,1.4766928104569742e-10,,4.906029171781155e-22,,,
"$S_{x,y,z}$",,,,,,,3.8003305558525776e-21,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.6462940008611957e-50,1.1741792223314949e-12,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.1178786763577933e-20,,851658742533.6671,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,82774.61799724487,,2.6313500504843767e+20,,3.207308891082857e+19,6.074249189251059e+49,,,1.3146007891251782e-13,6.850743329121626e-31,,,3.739588537089634e-17,,1.3033442923629526e-26,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.1985291074669596e-10,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,1.9077072975077825e-32,,,,,,,8343560400.576817,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.728391928697045e+24,,,7606872050224.964,,,,5.241894295348108e+31,,4.557992877975825,,,2.4193819834013386,,34.097512643519735,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.500497825985731e-07,827717636.6135786,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,3.746222656781056e+34,,,1.4596956154365453e+30,,,,,0.21939481407090164,,8.781808620960402e+17,1818017.2625025853,47.941660750399116,,6394.184436479434,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.1387175958414786e-18,,1.208141467289831e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.3291524681132865e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,6771889135.767798,,,2.674090986433118e+16,,,,,0.41332869586559834,0.020858685000637468,,,,752359.1341025655,0.8604249710253035,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.0383083038965008e+21,,,7.67256975658372e+25,,,,,0.02932765244358817,0.00015639211066463836,,,1.1622163857103955,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,3.182056948764693e+73,,1.1418610030869885e-17,,,,,2.3013927697549927e-35,1.540869910263977e-35,,,8.027853091553602e-35,,,,,
"$S_{y,z}$",,,,3.1426213172841237e-74,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,5.272732021548952e-19,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,8.757633348512022e+16,,1.8965500160317903e+18,,42040251688.179184,6.073475202620953e+22,,,2.9216146511694962e-33,0.006311560174663049,,,2.40791788204657e-09,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.378672723981761e-11,,20934553.05515806,,,,,,,,,,,,
