HahnEcho Time,Normalised - LP1P0/LP1P1,Normalised - LP1P0/LP0P0,
3950.0,0.891374772221,0.832387975043,
3960.0,0.897098445596,0.833285205506,
3970.0,0.889167843506,0.838636475754,
3980.0,0.897347411795,0.827687776141,
3990.0,0.875984251969,0.827299412916,
4000.0,0.906924247992,0.840967726233,
4010.0,0.885183801953,0.835692338689,
4020.0,0.862777104944,0.813797556372,
4030.0,0.896873643074,0.829351535836,
4040.0,0.895229287929,0.825119077463,
4050.0,0.89494709566,0.843063466233,
4060.0,0.895431582378,0.840848806366,
4070.0,0.891419810546,0.835128757566,
4080.0,0.885596663236,0.83171389327,
4090.0,0.887400793651,0.841090738129,
4100.0,0.892438033087,0.83440376793,
4110.0,0.918024411013,0.850747053872,
4120.0,0.91403978795,0.83882611425,
4130.0,0.885234823741,0.840192410476,
4140.0,0.897335783188,0.840486178337,
4150.0,0.876381617219,0.840399419837,
4160.0,0.903349807798,0.852906102556,
4170.0,0.912176059235,0.833489945499,
4180.0,0.900433555152,0.841150984271,
4190.0,0.907440922488,0.847941631233,
4200.0,0.877742421705,0.835840731487,
4210.0,0.911807992754,0.846186173566,
4220.0,0.920660335689,0.859093250902,
4230.0,0.880821078431,0.833212577887,
4240.0,0.911802506158,0.843672579526,
4250.0,0.882743704619,0.827915962328,
4260.0,0.899187573451,0.856267029973,
4270.0,0.920066524609,0.833592315299,
4280.0,0.898460913293,0.84461847006,
4290.0,0.90508720178,0.848486318649,
4300.0,0.906092018588,0.85678416224,
4310.0,0.912899275436,0.851384791092,
4320.0,0.919201917066,0.851181862036,
4330.0,0.899135596751,0.833631052962,
4340.0,0.896114646386,0.833461649504,
4350.0,0.894973022063,0.840212648578,
4360.0,0.884494930729,0.8266607134,
4370.0,0.888720150817,0.826966182633,
4380.0,0.879051971517,0.8217585693,
4390.0,0.88498963152,0.825554287982,
4400.0,0.884751203852,0.832921976527,
4410.0,0.877803599416,0.827913140993,
4420.0,0.891414789347,0.837600655769,
4430.0,0.902802593292,0.837159763314,
4440.0,0.886061946903,0.838659819514,
