ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,7.479348879193096e+51,,1.4780971597653342e+65,,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,6.807841009906966e-24,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.4688944682238778e+23,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,1.1382299376514806e+82,1.0043092634606137e+62,,,,,2.3754028286576382e-136,,,,,,,,,
"$R_{y,z}$",,,,,8.785571060126116e-83,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,9.957092266123634e-63,,,1e-160,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1e+160,,1.3383221482931944e+16,263.4881765435314,,8.681653744167793e-38,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.472042521864653e-17,,2101864112902.8843,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,0.0037952367089791905,4.757681497396614e-13,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,5.511837468577532e-21,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,4.2098122808294756e+135,,,1.1518542773855561e+37,,,1.81427700961958e+20,,,645117663138.6132,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.5501048213977286e-12,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,2.9023976493077626e+106,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,3.445427266792699e-107,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,5.612466663856235e-106,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.7817477766770665e+105,,,2.2024130436294902e+49,,,,,,,8.739290434416719e-126,,,,,,,
"$R_{x,y,z}$",,,,,,4.540474380555063e-50,,,,3.7082434467118235e-140,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,99031843.43073884,1.5731936308106228e-101,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0097762147580164e-08,,3.4183997232216824e-45,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,2.6966945789029053e+139,6.35649662200023e+100,2.92534542758957e+44,,,,1.6655820742446034e-10,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,5.5306959733796296e-05,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,6003907075.269966,,18080.90708318093,,5.611782044910534e-150,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1.14425765742015e+125,,,,,,,1.7819651440435487e+149,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,6.014176195472562e-56,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.6627381165732963e+55,,,5.202723049400695e-137,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1.9220704052567062e+136,,,2.680277305748626e+57,4.469915521606639e-20,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,3.7309572328774045e-58,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,2.2371787456971137e+19,,,,,4.997020868979623e-137,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,592788.6382814293,7.97496525420241e-18,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.6869419138989048e-06,,0.00314670050290152,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,2.001192362849181e+136,1.253923958443643e+17,317.79319292634193,,,8.372287090155618,,2.7820598803038865e-51,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,0.1194416757609554,,,10517593.557241563,6.0280226580962056e-86,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,9.507878342679263e-08,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.5944589369901313e+50,,1.6589187810316293e+85,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.0148945386112917e-96,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,9.853240528501884e+95,,,,4.767592582886272e-139,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.9571494441588575e-18,,,,,,,,,,,,,,,
"$R_{y,z}$",,,2.0974946634273977e+138,,5.109471854510218e+17,,1.3814273346877947e+71,,,,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,7.23888962444776e-72,,,,3.616196375644193e-144,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,4.3216344773239365e-29,2.2999742045767915e-151,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.313939333016486e+28,,5.975927814927353e-14,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,2.7653365473600945e+143,4.347874850118181e+150,16733803201271.71,,,,7.676863846002112e-08,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,0.7677202507051978,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,13026152.60684571,,1.302557798991806,,3.043969699657842e-42,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1e+160,,,,,,,3.2851838180662745e+41,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,4.468166088179758e+45,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,2.2380546744791666e-46,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,9.91826112938066e-52,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.0082412501095788e+51,,,82287825.29174511,,,1.838372447809805e-111,,,,7.920730961934514e-132,,,,,,,
"$R_{x,y,z}$",,,,,,1.2152466011279038e-08,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,5.45440174893679e-44,5.46060108644869e-34,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.833381635657709e+43,,6.231879201990606e-16,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,5.439594143131209e+110,1e+160,1.8313002253207102e+33,1604652413160667.2,,,6012671.881167283,,7.799949990515608e-14,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6631541181087414e-07,,,2.3001682064225327e+53,5.808954045116174e-65,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,4.347508139656042e-54,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1.2625097415955734e+131,,,,12820595019403.398,,1.7214803082161427e+64,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,inf,,,4.791191093255391e-71,,,,,,,,,,,,,,,
$R_{z}$,1e+160,0.0,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.0638935658951435e-68,,,,,,,,,,,,,,,
"$R_{y,z}$",,2.0871636729491136e+70,,9.399436485534298e+67,,,9106625062.0822,,,,,,,1.0730553639688707e-160,,,,,,,
"$R_{x,y,z}$",,,,,,1.098101649274834e-10,,,,1.0296672015511477e-103,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,4.805691022968955e+22,1.3364386101705773e-27,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.0808661963918773e-23,,3.983915198651859e-20,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,9.71187582253319e+102,7.482573403595129e+26,2.5100935891868283e+19,,,,7.189551771230052e-13,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,1e-160,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1390907294112.0376,,1e+160,,1.3517657090826034e-151,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,9.31918364679094e+159,,,,,,,7.397731672588923e+150,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,5.865982510001372e+18,1.8031048047503741e+81,,,,,,1.1646441050541858e-133,,,,,,,,
"$R_{y,z}$",,,,,1.7047442577522552e-19,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,5.54598932555361e-82,,,,,2.0099857453930042e-78,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,8.386280316777073e+36,1.0987767189575152e-95,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.1924237710006686e-37,,1.5674432438682978e-48,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,4.975159661167021e+77,9.101030106906238e+94,6.379816327716576e+47,,,,3.548600975522581e-06,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,0.19880840324450608,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,8.586314013528402e+132,,,,,281801.19627362053,,5.029968470548713,,10748018.583684541,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,9.304040481638141e-08,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1.4581805574283182e-144,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.9674735379454681e-69,,,,,,,,,,,,,,,
"$R_{y,z}$",,,6.857861290947561e+143,,5.082660481646166e+68,,6554526510.586558,,,,,,,4.2079762528465974e-126,,,,,,,
"$R_{x,y,z}$",,,,,,1.5256632166867397e-10,,,1.0128046545969859e-17,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.1822265601919005e-138,0.11754495432889459,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,9.873572316844445e+16,8.458615579045007e+137,,28281.50166625495,3.441057317193639e-22,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,8.507383457753258,3.535880137486421e-05,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,2.906083531370968e+21,,,,4.371714996618347e+31,1.797746895733638e-32,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.2874318220047055e-32,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,2.3764392665560396e+125,,,,,5.562518296503093e+31,,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,20900.053401387548,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,4.784676769934044e-05,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1e+160,,,3.117065497788352e+77,,,,,,,1.00359822626405e-132,,,,,,,
"$R_{x,y,z}$",,,,,,3.208145612305962e-78,,,,7.275746328428969e-89,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,5.549495553072103e+23,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.8019655848654885e-24,,0.07004650093743131,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.3744294466296038e+88,1e+160,14.276230598488354,,,,7.731588380691423e-13,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,4.0427993466876045e-07,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1293395290542.5776,,2473533.594536004,,2.798453624322374e-27,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,9.964146745481561e+131,,,,,,,3.5734020793077926e+26,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.712575815341404e-114,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,5.839157548774848e+113,,,4.866593032491365e-139,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,2.0548256106964177e+138,,,1.4266061541869803e+102,1.8467075506011042e+29,,,,,,,1e-160,,,,,,,
"$R_{y,z}$",,,,,7.009643110434343e-103,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,5.4150425695422075e-30,,,1.3011528567785225e-143,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,7.685492098721314e+142,,9895402.17273764,113843401713472.22,1.888353861478589e-110,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0105703462513665e-07,,2.4475267059339907e-25,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,8.783996129322092e-15,4.085757256807517e+24,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,5.295617629722195e+109,,,,1.572670976859899e+44,,5.271943801916669e-19,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,6.358609109685915e-45,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,,1.8968335732949957e+18,,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,5.95873008451262e-73,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.678209930332484e+72,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,33076774835.97105,5.781040456212452e+21,,,,,3.242568641553587e-143,,,,,,,,,
"$R_{y,z}$",,,,,3.023269363349471e-11,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,1.7297924267687398e-22,,,,,6.709901917360237e-156,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.393539898997428e-45,1.247563169840481e-125,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.175969634736993e+44,,1.7683146348860146e-17,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.490334750516611e+155,8.01562617568988e+124,5.6551022101587704e+16,,,9.142906714115122e-14,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,3.0839748068397953e+142,,,,,10937440698767.79,,,409.30298294915764,9.042267383677828e+75,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,0.002443177894269627,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.1059173076490718e-76,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,5.781893552645917e+29,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.7295372024661e-30,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,7.307526179699717e-55,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.3684521620709298e+54,,,1697.72825395414,,,8.289058669593525e-112,,,,3.4543612354104257e-140,,,,,,,
"$R_{x,y,z}$",,,,,,0.0005890224172631415,,,,8.585036023348305e-99,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,2.282186165582191e-23,1.373001529358944e-29,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,4.381763482230634e+22,,2.7776734286057717e-12,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,1.2064096055542064e+111,1.1648174769218773e+98,7.283313081718861e+28,360013524160.7366,,,,0.021287535010124363,1.983568343128447e-16,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,3.2164722625248467e-26,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,46.975847580492506,,3.1089961870680837e+25,,9.115367954151534e-20,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,2.894891216787251e+139,,,,5041419437168566.0,,,1.0970484187032259e+19,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.7143844043731224e-18,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,5.83299753222882e+17,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.1057725562251317e-10,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,9043451063.876858,,1.518454630434476e+58,,5.4503969763477215e-146,,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,6.585642929047342e-59,,,1.9450169184154304e-109,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,6.216677269757824e-39,1.3874416660226434e-38,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,1.8347287442356063e+145,5.141343453272795e+108,1.6085763448983992e+38,,33591.17964185625,,,1.9329876817498558e+28,1.8927264329049955e-47,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,7.207510229000718e+37,2.9769719630624438e-05,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,1.283409027859883e-25,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,5.173338710026027e-29,,7.791748213486742e+24,,,9.284189705456986e-61,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1e+160,,,5.283383708363915e+46,,,,1.077099921183459e+60,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,2.825398134491495e-37,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,3.5393242028170885e+36,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,6.180316763642233e-12,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,161804004267.6829,,2.0866332983507304e+16,,,,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,4.7924089047672984e-17,,,,1.3402869150973425e-117,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,6.456994079134553e+23,1.886166478391781e-16,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.5487082499137626e-24,,4.291807180250104e-17,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,7.461089030533227e+116,5301758945756681.0,2.3300208000997036e+16,,,2.5250184427626547e-09,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,396036711.28274506,,,7.351798749557147e+18,1.0737390757887814e-79,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.3602113361172155e-19,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1e+160,,,,,,9.313249583148384e+78,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,2.266260799089558e-67,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,4.412554814528573e+66,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,1.0183879835597437e+39,6.431719447602698e+22,,,2.398446555645373e-98,,,,3.823884844251487e-136,,,,,,,
"$R_{y,z}$",,,,,9.819440293320536e-40,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,1.554794185515556e-23,,,,,1.5446262085229783e-127,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.4088797314623146e-38,2.0946187545645662e-22,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.097837932284488e+37,,0.0005628632419994767,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,4.169365365453892e+97,,6.474058218630335e+126,4.774138481386233e+21,1776.6304945543588,,,,0.16262013091030428,6.198155448240263e+22,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,6.947452551490877e-14,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,6.1493001782882954,,14393765089988.37,,3.885987276561872e-13,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,2.615141513749603e+135,,,,,1.613383220783714e-23,,,2573348621163.655,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,777311372512.9684,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.2864857447886063e-12,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,8.095302315447927e-41,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.235284318031881e+40,,,4.299938358136687e+25,,,2.1433558716928371e-29,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,2.325614733773381e-26,,,,2.5934260282576124e-137,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,2.4203494804666255e+37,7.886322288312162e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,4.131634741472159e-38,,1.843537323851612e-36,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,4.665580798816172e+28,3.8559033074556125e+136,1.2680181755722044e+20,5.4243545116339116e+35,,,,0.0005199553827423389,1.0589623538014046e-43,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,3.683524799112981e-21,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1923.2419418870495,,2.714791007354714e+20,,2.8387340644462454e-33,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,1e+160,,,,9.443206327498377e+42,,,3.52269700964423e+32,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.3305070500282791e+38,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,7.515931614032001e-39,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,9.604989338608616e-61,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.0411255699997066e+60,,,5.812102371515614e+60,,,,,,,3.309543249429596e-66,,,,,,,
"$R_{x,y,z}$",,,,,,1.7205478088288237e-61,,,,1.4444970776838085e-130,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,2.6255057110318765e-50,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.808790039184413e+49,,3.289488913852187e-08,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,6.922824666446946e+129,1e+160,30399859.254395258,,,,2.3611482649437818e-09,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,3.370231264714356e-08,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,423522747.32049054,,29671554.307557438,,3.600569559082476e-25,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,3.0215649853566693e+65,,,,,,,2.777338372695756e+24,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,228142.4452512522,,,6.683485866058529e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,4.383226448277543e-06,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,6.277954357477708e-66,,,,,,,,,,,,,,,
"$R_{y,z}$",,1.496225203495093e+159,,1.5928755499932779e+65,,,1.479587339737163e-53,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,6.758641231531774e+52,,1.0504365673081547e-59,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,9.519851375343841e+58,,2801.2515402304894,29195086.847765025,,1.9825923277490595e-36,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.00035698329323103885,,12976529.031076182,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,3.425233859431225e-08,7.706220959435306e-08,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,0.011585976198154884,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,5.0439012902635015e+35,,,86.31124239313164,,,129508497239.5033,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,7.721501069931149e-12,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.4268168094437402e-51,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,7.008608206612457e+50,,,,2.1712397693607876e-122,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,4.161790251421715e-21,,,,,,,,,,,,,,,
"$R_{y,z}$",,,4.605663612611516e+121,,2.4028121063006208e+20,,2.1576822111060283e+48,,,5.918601121955904e-102,,5.760152549824707e-88,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.6346027920738144e-49,,,,3.9089955330070754e-144,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1576823552843.6067,9.91948408848678e-29,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,6.341863667603287e-13,,1.844490528807106e-23,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,1.689588433811422e+101,2.558201951258638e+143,1.008116945477706e+28,5.421551286830047e+22,,,2117556811970.4475,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,1.7360651325639492e+87,,,,4.722423475710535e-13,,,2.7839940842606028e+16,7.148059822530116e+21,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,3.5919616555707896e-17,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.3989810169860072e-22,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,6.384888774979033e+62,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.566197995364898e-63,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.2222120611589499e-09,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,818188620.2724594,,,3.895420536641339e-34,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.56711692766863e+33,,5.923871666169363e-148,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.6880851854217228e+147,,7485889.936329226,5.465363212746963e+16,,4.432969342397758e-40,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.3358465172550468e-07,,2.14748033321955e-48,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.8297045613870314e-17,4.656620060872818e+47,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,5.669421483387801e-84,,,,,,,,,
