ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
$R_{z}$,1e+160,2.1784600333772687e-23,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.2574267721961697e-59,,,,,,,,,,,,,,,
"$R_{y,z}$",,5.807378020673395e+99,,7.952749393536781e+58,,,4.009443062950116e-17,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.4941119858781784e+16,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,131.7773851521101,1.1581747296751756e-109,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.007588555493385334,,4.4021458343968876e-33,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,8.634275764939737e+108,2.2716194274763373e+32,,,6.315592402034833e-07,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1583382.7396426154,,,7.218189812633659e+35,6.030201458704356e-49,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.3853888938328374e-36,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.6583193892411997e+48,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,6.784220161734755e+32,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.4740087676404294e-33,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.4724695141688998e-87,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,6.791312080674391e+86,,,10880.776663006787,,,,,,1.5459508316632575e-139,,,,,,,,
"$R_{x,y,z}$",,,,,,9.190520410182379e-05,,,,2.48032513618804e-142,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,9.227045151822711e-46,1.1968358281209701e-74,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0837705717766645e+45,,0.0002529689363629804,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,4.0317294914685224e+141,8.355364842060235e+73,3953.054530636595,,,,2.1759825588557203e-36,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,4.862767208057978e-15,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,6.46851102582687e+138,,,,4.595625070294075e+35,,205644226263376.0,,1.2704716597473706e+17,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,7.871092537387626e-18,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,3.863187989919418e+27,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,2.5885356928251866e-28,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,9.143350502758633e-68,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.0936909830792233e+67,,,41274045.730203725,,,,,,,2.5540073241626294e-109,,,,,,,
"$R_{x,y,z}$",,,,,,2.4228300916675467e-08,,,,1.7864621538294651e-143,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,7.996995646282149e-20,1.3415054546349081e-93,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.250469606626466e+19,,1.2822338407581682e-11,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,5.59765566741169e+142,7.45431184453999e+92,77988894709.61966,,,1.0926762655445817e-14,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,91518415063368.05,,,5158352250907350.0,3.073899870422207e-54,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.9386035527606724e-16,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,3.915415553194881e+108,,,,,,3.2531964024665765e+53,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,5.623881779213605e-84,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.7781312610376944e+83,,,,4.4730777419878447e-150,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.2032800256077792e-11,,,,,,,,,,,,,,,
"$R_{y,z}$",,,2.2355971831502263e+149,,83106174682.39763,,1.0914795903804122e-71,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,9.161875392021496e+70,,,,8.050042595535388e-115,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.6897504092063375e-16,6.4096197039816595e-12,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,5918033779140744.0,,1.560134377979172e-34,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.2422294517480035e+114,156015496423.1028,6.409704280058818e+33,,,4.021495717166403e-07,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2486636.9886491206,,,3.019179788236208e+49,8.426571642952393e-11,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,3.3121578380206226e-50,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,11867222428.902687,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,59201.35306246291,,,8.710827835939848e-147,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.689150582326906e-05,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.4676872025386907e-76,,,,,,,,,,,,,,,
"$R_{y,z}$",,1.1479965151809315e+146,,6.8134408903360204e+75,,,1.8359553974594055e-51,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,5.446755413469193e+50,,,,7.954525551877651e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,3.0047279776675205e-16,1.2734205928539356e-135,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3328088290961599.0,,7.232422029888604e-08,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.257146002584594e+159,7.852864996935874e+134,13826626.763032,,,,9.06568763655868e-20,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,7.20239926439807e-132,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.1030602863122674e+19,,1.3884262219994736e+131,,3055412301265635.5,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,3.272880715920966e-16,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,3.2438738070857526e-29,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,3.082733976320691e+28,,,3.693063182147367e-79,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,2.707779289653367e+78,,,1.4955172759321568e+36,1.8730375548119483e-35,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,6.686649603406951e-37,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,5.338921248166855e+34,,,,1.6604549140159583e-120,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.195936994280285e-103,7.934054014271323e-106,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,6.022445966818881e+119,8.361644507884799e+102,,2.7291974749846735,,,4.770903994206296e-30,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.2603897051888695e+105,0.366408077526752,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,0.020204700531421503,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,2.0960388245380392e+29,,49.49343339411747,,,7.098445896394851e-70,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,1.4087590644423712e+69,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
