ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{z}\hat{T}_{xz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,3.761660150927428e-24,,,2739941147994247.0,1142890937.644498,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.6497134280860095e-16,,,,,,
$\hat{S}_{x}$,,9.99999999999999e-161,2.0463335034509557e-140,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000008e+160,,3.09223368765489e+146,,2.230556769748865e-72,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,4.886788973124814e+139,3.233908239187404e-147,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.483185604429106e+71,,1244256746846.465,,1.7237824380076635e+20,,7.822773799349277e-45,,,1.8428189325668846e-57,,,1.8462389569488158e-31,,,,,,,,
"$\hat{S}_{x,y}$",,,,,8.036926482693163e-13,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,5.8011961251664295e-21,,,1.1433703198449738e-68,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,1.2783189513714216e+44,8.746072752138493e+67,9.766463837300254e+37,,3.6516326037859967e+19,,3.126213712894216,,,1.7689619343928263e+20,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.4821458656622045,2.738501126765065e-20,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.0239120490886187e-38,2.07406113215665,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,2.4278107001443437e-60,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,5.426469103001277e+56,,,0.3198757640513996,,4.118937279337903e+59,,3.0636837164858675e+61,,3.875511379788545e+37,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.2640445050477617e-62,,,2.2023782318030925e-41,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,5.416416960741898e+30,,,5.65303289210255e-21,,,2.5803046411247065e-38,4.540546149429097e+40,9.654497790850472e+50,,1.793360590127164e+34,,,,1.177001463442232e+20,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,1.035786657849459e-51,1.874504605807893e-06,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,533474.2826993534,5.576123427185892e-35,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,8.496166156628408e-21,,,392735063774.8272,3036245931823.0195,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,2.5462457830690293e-12,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.293540847659797e-13,,,
$\hat{S}_{x}$,,7.987101569160596e-90,2.2146977932401598e-45,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.2520186344707955e+89,,1.2473067633425468e-07,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,4.515288736243216e+44,8017273.932839013,,,8.438531870789609e-124,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,2.1923291234154692e-133,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,1.1850402597418032e+123,,,62152823.03039634,,3.751505283295674e-57,,,,7.28669824180382e-33,,,,,,,,4.561358918783517e+132,,
"$\hat{S}_{x,y,z}$",,,,,1.6089373760399297e-08,,,3.5051092129735907e-44,,,,,,,,,,,,,,
