ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,5.1810894225392065e-09,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,3.231327776148004e+18,,,16347.898071691121,,,193009600.57738373,2333525.9991223016,,1.4774228925203354e-23,,,,,1.9536520105950996e-07,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.285360438992861e-07,,,,2.7457213715537944e-43,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.1732790164418917e-21,1.3485205636836025e-18,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,7.415533933486428e+17,1.6742380636675187e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,1.0609114686896357e+59,,,9.587531691300035e+25,,6.768542744684971e+22,,3.642030143190033e+42,8.523121831945986e+20,,59728662.35100641,,,,1.0623368460545475,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,7.721258627413161e+30,,,105946830.35774963,,5118618.846021566,,,,0.9413210166944104,,342462175.0635012,,5770866926487629.0,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,2.920030510857366e-09,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.7328418983465252e-16,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,9.743064664298025e+20,1e-160,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.0263711003215935e-21,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1e+160,,,,3.584756709293047e-53,,,,,,,,,,,,,,,1.3559588039894266e+30
"$\hat{S}_{x,y}$",,,,7.374855320514574e-31,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.789589590299451e+52,,,1.4616344184687837e-11,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,7.581670380343614e-13,28830372.124514684,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,68416560759.94746,,1.0094766219354754e+25,1318970556399.5757,3.108085277234924e-24,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.906123413563498e-26,,3.4685643171067236e-08,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,3.2174149381436524e+23,,,,,2.853959703098438e-41,,,,,,,,15331099.59961936,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,6.522689344636623e-08,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.5039037128461805e+40,,,4.1364191151715566e+35,,,8.718797453248094e+35,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,2.4175499922921264e-36,,309915382.296062,7.023856965209433,4.9159524888805346e-11,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.14237191972347954,6.553117397838692e-07,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.2266872092353922e-09,,1525991.279096898,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,1.1469471625670817e-36,20341937849.5198,,,,204749607.9794293,394495683.36987174,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,4.884014235086924e-09,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.534881982631021e-09,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4668184055857370.0,,,,,,,,,,,,,,,,,,1e-160
$\hat{S}_{z}$,1e+160,2.1421606089958197e-16,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,3.7279235549757066e-36
"$\hat{S}_{x,y}$",,1e+160,,2.6824584390022894e+35,,3.6032869321871664e-71,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,0.0010842950665606026,,,4.025820372597737e-50,,8.35525152152797e-40,,2.1616925594527888e-14,,,,,2.7752438782137396e+70
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.3863748661410006e-49,6.084609853128348e-94,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.953010341526561e+48,,0.0003647355947194719,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,922.2581849164106,1.6434907481962199e+93,2741.7121182513797,,,15135608966.981506,2.4892995102097947e-41,,1.0826168255077286e-14,,8.507883211223474,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.6581203744504453e-08,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,6.606936015468625e-11,,,2.1680518613280117e-14,,,,,,,,37620568.63985122,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,2.4839657695773717e+49,,,4.017194378974997e+40,,46124357901081.9,,,0.15617838752689173,,228473.9813442576,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,3.018712915377495e-08,3.9650208944774925e+17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.5220548052919638e-18,3.5913080356201205e-21,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,1.1968520605554728e+39,,,92368784267787.2,,,6.40293459188016,33126700.94946569,,2.784500772647667e+20,0.002405345934848377,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,46260047277636.01,,,0.11753804973260737,,,4.376865996365821e-06,,415.74061573103245,,,,224563028308390.75,14390.74033465182,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,6.948912819947665e-05,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.453092779933068e-15,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,5.107189143778808e-108,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.9580242122383982e+107,1.531945674684451e+92,,1.0601505235887996e-08,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,6.527646616489708e-93,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,94326227.99777721,,,,2.605484958336511e-11,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.1609558600683925e-28,,2.718166234365957e-28,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,38380570833.863365,1272665.4800820083,3.678950857960537e+27,,,,6.721898741197557e-24,,1.8321568043202336e-14,,,,226225.77119240022,,5.438695523229266,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.163600012998484e+27,7.857524350668817e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,4.5417088479369614e-20,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,0.18386761967624224,,2.201814412771622e+19,2.5091789441078973e-17,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,1.4876748944031883e+23,,,,,564689161937.8698,,,,3.803336588806888e+23,,3.985367414102606e+16,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.542967822383622e-12,1.9350120643796107e-05,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,54580481192548.35,,,1.7708857676110766e-12,10.564335862735197,,51679.26435231879,947406454.6704667,,4.28212195029241e-09,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.09465810373630922,152835842563.51993,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.0555131802936964e-09,,,,0.2283559770398081,54576.992547944195,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,1.83227391857756e-05,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,4.420362873465558e-06,,,2.6292703173917653e-24,,233529080.11685976,,4.37912776780822,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.3212057993397988e-123,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,7.568843555634527e+122,,,8.188544296549354e-156,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,3.5142908643695825e-24,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.2212182822548804e+155,2.845524285251178e+23,,2.849423533189871e+73,,0.016169533656632252,,,,1.913569527984615e-65,,,,,,8.4109827599201e-15,,,
"$\hat{S}_{x,y,z}$",,,,,3.5094817893938026e-74,,,8.476734114121674e-43,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.7307248263725735e-11,649615829.4058017,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,61.84470258917024,1.1796996184344943e+42,26804442743.430946,,2.377450764878011e+32,,881.3286577437719,4.104053147892889e-52,,,,,,0.00491058892104757,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1.539371355705251e-09,4.2061859482979066e-33,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,0.0011346504975340644,,828.8551850466265,,3.953235398550314e-64,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,0.0012064833737436846,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,5.2258357241568696e+64,,,2.4366156186681502e+51,,,2.52957362560982e+63,,,84750659.33362678,,,,8.913806539728541e+30,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.1799318233778353e-08,34070814.56376161,,15212246564423.312,3.817791365636017e-05,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.9350633755132458e-08,0.0025518716323066756,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,391.8692411248307,6.573651010487086e-14,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,26193.154738653644,,,,4.398427410366986e-10,1.5571022215824537e+21,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,6.42218594347466e-22,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,118892170932175.3,,,203.64156236207023,,,,1.1218551754999763e-31,,,,2273539851.1818666,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,8.607392829644503e+55,,,,,,,,,,,,,,,,,,1e-160
$\hat{S}_{z}$,1e+160,1.1617919848573953e-56,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,1e+160,,8960996928.993587,,1.1849012507109278e-57,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.1159472633725256e-10
"$\hat{S}_{x,y,z}$",,,,,,,,1.182418019708885,,,,1.0346796438957e-65,,,,,,9.668661166292277e-18,,,8.439521853825463e+56
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.4999580028033778e-11,0.36011426439918887,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,2.776896387785111,3.923575435645669e-06,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,0.8457245942904381,66668533260.999916,,254869.57404081075,0.028626075047212943,,1.1103038110879237e-57,,,,,,4.269714579157544e-23,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,34.93318585767352,,,28990529095107.86,3.132872852758422e-67,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,3.449402377995059e-14,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,9.664827233237847e+64,,9.006543884778317e+56,,3.1919584579358945e+66,,,,2207215368.993909,,,,6.851926741998791e+26,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,4.530595491711437e-10,7.452365236406185e+23,,7.095137732484302e+18,,,,8.624458717068123e+19,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.3418558649203271e-24,1836731624.5778155,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.444453542470346e-10,1.4094159094637596e-19,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,1.1594930566726038e-20,,113965163.69447188,,2.1534006064275023e-07,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,8.774611184527321e-09,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,1.034269360360136e+17,,2.342076926831277e+22,,,,1.459443507868398e-27,,,,,,,4643817.769044855,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,1e-160,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1e+160,4.3679400400799384e+64,,647047672.2668173,,,,,,9.520187964102855e-59,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,2.289408716292037e-65,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.5454811799209114e-09,,,,2.0545486957590407e-29,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.867248958684603e+28,2192805.608253206,14924199724.942356,,,,,,,,,,,,3.4248660850821675e-10,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.1497741061790453e-14,,6.700526784888376e-11,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,86973605913184.3,4.5603677600797556e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,0.6398122645064335,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,2919822192.043484,,1.5629584730943287,4.373973862660706e-46,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.0503994288459787e+58,,,,,,,,,,4.972263753093666e+18,,,,,2.286250515890591e+45,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,55.132448582329154,,6.97883114892665e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,2.011156386017969e-19,731000752.8182906,1.432904706619533e+16,,,27014929705679.473,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.018138138713478368,1.3679876472693267e-09,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,3.7016568649066866e-14,,,117831490070878.03,1392.3920425444117,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,0.000718188534152086,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,8.486695699073988e-15,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,4.5939525476695285e+33,,,1e-160,,,,1e-160,,,,,,2.1810629814496605e-123,,,
"$\hat{S}_{y,z}$",,,,,5.674227263070841e-32,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.176774769925064e-34,1.7623545086186925e+31,,3.184178928449426e-53,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.1405270321506773e+52,,,1.8408503803627545e-17,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,6.663881321409958e-11,6.635635757217264e-24,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.589804702004921e-14,15006269646.297031,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,1e+160,,,5.432272012258497e+16,21787419398546.074,,1.5070146050622922e+23,23225.276743443465,,2.038595749518692e-52,,,,,,0.0005590051988515958,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,4.305653754081969e-05,,,2472217.9483929398,1.0539244030602299e-35,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.0449508128927223e-07,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,1e+160,,,,,4.9053374129525085e+51,,9.48834657491892e+34,,,,,206252367.12618855,,,1279852670621.8691,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,4.848429203181866e-09,6.268092688624279,495.5291864252318,,,5503896722.494125,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.007314452849759e-15,0.15953816410769767,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,249543681127609.2,,0.0020180446024058475,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,1.3391410518216865e-14,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,1.816894557474261e-10,,,0.001673148568422632,74674732631014.52,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,4.584920327863903e+122,,,,,1788.8921284710254,,,,7.813399330675372e-13,,,,,597.6755554605377,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.817891322603483e-136,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.6192468970491376e+135,,,1e-160,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,1.5386513438791092e-58,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1e+160,6.499198171035226e+57,,1.2040683127361262e+68,,,,,,7.236952172826765e-51,,,,5.312108445325253e-52,,3.7823663647168806e-19,,,
"$\hat{S}_{x,y,z}$",,,,,8.305176620150388e-69,,3.3042003573109144e-101,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,3.0264508560668475e+100,,6.039120508234525e+25,3097457685706.091,6.605918616483856e-20,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.6558702523595438e-26,,2.114789264610539e-21,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,3.2284541113014166e-13,4.728603538585489e+20,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,1.5137940051284976e+19,,,,,1.2057231377396525e-11,,,,,,,,54942746429276.43,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,1.8200764704895543e-14,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.3817971656007204e+50,,,,,82937779719.03915,,,,,74257282.9468964,1105536969490.6638,,1.7626326984566917e+24,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.9723370505082213,,0.0727286220536521,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.3466692562871305e-08,7249720.685163231,13.749744897714372,,0.3292826701354076,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.0284499592783385,1.3793634864395946e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,2.0955517420319033e-12,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,1.8824916891145496e+51,,,,,,,9.045378197173395e-13,,,3.0369044310433346,,,87630.27390795968,477201292596.27496,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,2.6438475376904755e+18,,,,,,,5.673331720644749e-25,,,,1.1411581356579184e-05,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,1e-160,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,8.987071589152536e-97,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1e+160,1.1127095072960225e+96,,1.1940901216797346e-26,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,8.374577277243473e+25,,234455276.80909142,,,,,1.1714108144661295e-45,,,,,2.3681209062149344e-23,16049636.90626227,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.1390604956371895e-21,,9.783039136875747e-13,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,4.491483873557624e-20,1022177245750.3978,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,4.265205772332709e-09,,8.779164968236396e+20,2.2264356906349478e+19,8.127368526829701e-35,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,1.2304105525655018e+34,,,,,1.0268737043352618e-35,,,,,,,,8.937295988282888e+32,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,1.1189066595881298e-33,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,8.536714768642034e+44,,,,9.738295914854902e+34,,,1.6938507802730607e+23,,,,835.5636909777998,1.07307488128132e+24,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,5.903707762491292e-24,,276520267.6744722,219854.57104361145,,4.352035023859234e-05,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.616371445066115e-09,,6.945273036821162e-08,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,4.54846126352149e-06,14398282.035830488,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,5.464536841651139e-11,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,4.2227573658742845e+22,,,,,,0.0011967968579747312,22977.756256962162,,,18299812572.91413,,0.010117490145057986,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,6.230670549374352e-08,,,,,,9.319014147511646e-25,,,,,98.83874218434129,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.4790947684652753e-19,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.0337304274134973e+18,,,1e-160,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1e+160,3.4500226343940795e+134,,8.899278960104306e+80,,,,,,,7.5866383228749285e-59,,,,5.955932544458119e-28,,,,
"$\hat{S}_{y,z}$",,,,,2.8985317082582795e-135,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.1236865418906694e-81,,,7.353720586478927e-34,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.510752089617003e-18,5948508423.587893,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1.68109369406733e-10,8.590839303739575e-28,,,,,,,,,,,,,
