ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,7.0344726578774356e-12,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,,9.999999999999997e-161,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,2.345943568006924e-18,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.0000000000000003e+160,4.262677131869732e+17,,1.2890929093212073e+67,,,,,,8.526898189263597e-45,,3.1776963935322757e-46,,,,2.5128260882628557e-38,,,
"$\hat{S}_{x,y,z}$",,,,,7.757392758653572e-68,,2.316348404492751e-73,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,5.528053979506489e-13,1.1950451061767869e+17,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.41809255426406e-25,,8.367884984686652e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,4.317139848480551e+72,,1.558095324343085e+24,1808954839636.4856,1.0656183352718986e-10,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.4077190840892717e-44,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,9384222914.52825,,,,,1.6786241117603817e-16,,,,,,,,4.1533084428670107e+43,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.1727593994954952e+44,,,,,5957259835564347.0,,,,1.7566400355187778e-05,,,,2.5494268641255374e-08,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,3.1469337411697034e+45,,,,,,,56926.85921875144,207276156.5905244,,6687.587347971747,0.0006017300071313981,,1.2463286432191405e-14,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.824481582681541e-09,2.5393263022358067e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,393805238467.9857,0.00014953075720248893,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1661.8749075972753,,,,8.316904341206488e-06,2125047.3073477503,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,4.7057775915967243e-07,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.979583006841953e+37,,,,,,,39224502.3409606,,80235658984543.7,,120237.0448155155,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,,9.476123922173827e-145,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,7.936421422081072e-32,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.0552837934717507e+144,1.2600137351801337e+31,,2.8858301965886314e+83,,,1.4599937734518644e-27,,,,,8.404624398852455e-68,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.4652073472032762e-84,,,,6.68586664798079e-65,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.9928594866364237e-10,1.084218615351551e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3341286166.173698,,0.00021935066412680614,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,6.849344279295788e+26,1.4956924100513008e+64,922323215854172.0,4558.91029088429,,,1.0073429973763798e-05,,,1.765815967795626e-38,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.548355393974745e-11,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,99271.0529188663,,,1.0334624455764653e-07,,,,,,,,28182069972.41713,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,9676210.338172477,,,8.63759875762902e-25,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,1.1898211657579096e+67,,,,5.663104299868576e+37,,,1.1577291653154945e+24,122288241900165.36,,8.561055846220528e+18,,,,1839225514462959.5,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,8.177401068668466e-15,2.2726143012054005,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.4400218723738548,1.1680802204338766e-19,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,5.437071159226456e-16,,2.82994805545548,,9134430034168854.0,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.3533633764309678,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.094759055857162e-16,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.6664192652121984e-101,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,6.000890777463869e+100,,,7.710901254746965e-125,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,1.1564137063227323e-52,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.2968652651133127e+124,8.647424313050469e+51,,8.481270451772064,,,,,,6.732164981648959e-92,,,,,,3.162254426984568e-34,,,
"$\hat{S}_{x,y,z}$",,,,,0.11790686379905052,,1.325487956829342e-40,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,4.4218563156905715e-39,1.8118235169810302e-18,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.0003113954773436439,,5.519301359253027e+17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,7.544391443525964e+39,,3211.350429783022,2.2614936547159782e+38,,,,,,,,,,,8.371917447960845e-06,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,,,,,,,,,,0.0016965697713366655,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,119446.94942537574,,,589.4246242594177,,2.563916792160068e-62,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.4854062589462307e+91,,,,,,,,,,7991080109.885001,,,2.914494815833042e+52,,3.9002825795977283e+61,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,5.781732824953855e-32,3.17297744154204e-23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.7295852822600481e+31,,5.2954418317247705e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.2513952885580456e-10,3.1516139601484484e+22,18884.165510213745,,,196489549222.35046,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,5.089329198207813e-12,,,76949.30628870853,36.35527197414299,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,0.02750632702490113,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.1623008935228856e+33,,,,,,,3.431126363881256e-53,,,,,1.2995568748184272e-05,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,,2.5809264424983464e-09,,,,,,,,,,,,,,,,
