ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,2.3821507403788404e+53,8.183156070611838e-87,,,,,,,,,,,,,,,
1,$R_{y}$,4.1978871573885666e-54,,3.7711312549004424e-124,,,,,,,,,,,,,,,
2,$R_{z}$,1.2220223974357513e+86,2.6517241973493705e+123,,,5.04950125825005e-63,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,2.0917100916536734e-44,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1.980393604944974e+62,4.780777240546828e+43,,146292.96304504588,,,,,,,,,1e-160,,,1.4084848204970794e-154
5,"$R_{x,y,z}$",,,,,6.835598781959761e-06,,1.8444908713669848e-112,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,5.421550279936502e+111,,2267474623624732.0,375486481951684.1,,1.7393801951240728e-19,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,4.41019268564701e-16,,242049.57286850404,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.6632117215039328e-15,4.1313851049151015e-06,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.0005888788619859447,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,5.749174348444668e+18,,,1698.1421215011585,,3.1083490123836255e-96,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,3.217141949041153e+95,,,,1.56882492059085e-09,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1436.1416379701636,3.838523581558025e-21,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0006963101504482495,,1.4065411811942987e-09,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,,,,,,637419757.2176381,2.605168312119912e+20,710963897.374762,,1150834202316.7983,,3.8691142050357055e+31
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,8.689348978218175e-13,,190652210256.26215,16873.28085013655
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,5.2451529340041e-12,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,7.09982802403992e+153,,,,,,,,,,2.5845709043648445e-32,5.926529694383101e-05,,
