ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.9153890024894096e-08,2.7925536924603236e-59,,,,,,,,,,,,,,,
1,$R_{y}$,20344269.792147636,,7.659440884801407e-85,,,,,,,,,,,,,,,
2,$R_{z}$,3.5809517385464126e+58,1.305578324893525e+84,,,1.7533071301175144e-112,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.1352909019675383e-55,,,,,,,,,,,,,
4,"$R_{y,z}$",,,5.703507291007113e+111,8.80831510467432e+54,,4.846976571459085e+36,1e-160,,,,,,1e-160,,,1.0877282259165011e-154,,
5,"$R_{x,y,z}$",,,,,2.063141806561219e-37,,4.7995425766488926e-151,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,1e+160,2.083531886695365e+150,,1.5157239287727556e+37,238603960.6841232,,6041659.566508477,,2.9687601236886856e-103,,,6.607984461522939e-77,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,6.597507507911915e-38,,3.171602469277684e-34,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,4.191045266527885e-09,3.152980266873562e+33,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.0854188955504134e-13,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,1.6551743589516877e-07,,,9213032904617.92,,6.653712757036752e-88,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.502920304069983e+87,,1.5205618836003482e-06,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,3.368409566069958e+102,,,,,657651.6291676502,,4980995184646292.0,29523019643.594067,0.5443537692592673,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.0076309310285179e-16,,4703.691442139674,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.387187395029834e-11,0.00021259897939757447,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,9.19347292985265e+153,,1.5133207498032318e+76,,,,,,1.8370406461238546,,,,494044094687.7939,5.823389429197695e+25
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.0241108248281763e-12,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.717212994525377e-26,,
