ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,2.612426476530986e-18,2.1494223063910116e-41,,,,,,,,,,,,,,,
1,$R_{y}$,3.827858923432324e+17,,4.219430833160399e-56,,,,,,,,,,,,,,,
2,$R_{z}$,4.652412869386521e+40,2.3699878953839593e+55,,,0.04227975097241077,,,,,,,1.2148950855664027e-146,1e-160,,,,,5.770902669332502e-128
3,"$R_{x,z}$",,,,,1.7482527105823586e-13,,,,,,,,,,,,,
4,"$R_{y,z}$",,,23.651984153183403,5719996851409.949,,1.0810408572206939e-75,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,9.2503441782113e+74,,9.56587958463632e-65,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.0453821743753619e+64,,7.3048848378949446e+22,1.0615889842789458e+39,1.1986920673686775e-17,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.368946974786492e-23,,1262478594.4756787,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,9.419841528208976e-40,7.920926377490867e-10,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,8.342426109444115e+16,,,,35.15848297214555,5.48069162479663e-83,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,0.028442637891750167,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,8.23116343032851e+145,,,,,,,1.8245872390915748e+82,,,2.39180582212122,,,,,1.575252018839309e+23
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,1e+160,,,,,,,,,0.4180941407330175,,117966.15223097727,73196.80253198835,,1.2433682544342973e+30,1.8266215986924964e+21
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,8.477007862746966e-06,,1.3282324259563231e+19,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.3661798950343243e-05,7.528802794285067e-20,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.2205069803562973e-07,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,8.042669550502365e-31,,,8193316.51596187,,0.6589648808576459
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.732831165762264e+127,,,,,,,,,6.348190562782638e-24,5.474587625131578e-22,,,,1.5175315544866295,
