ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.907578854764356e+38,3.1796713127656226e-54,,,,,,,,,,,,,,,
1,$R_{y}$,2.0376646603022668e-39,,3.547231781981961e-45,,,,,,,,,,,,,,,
2,$R_{z}$,3.144979155503395e+53,2.8190996852234604e+44,,,3.4468316235518043e+23,,,,,,,5.9173674427249916e-145,,7.2229912732083e-152,,,,
3,"$R_{x,z}$",,,,,2.7677455494035725e-07,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.9012151135179186e-24,3613048.895392469,,1.2534057533244378e-60,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,7.978262405032659e+59,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,3.4905797302035743e+19,1.363140110006255e-23,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.864853626883575e-20,,1.8191432620357867e-48,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,7.336003046637746e+22,5.4970931694566435e+47,,3.5238428332535786e-09,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,283781101.29182345,,6.843799419502786e+24,2.260424300951417e-60,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.4611766632877908e-25,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1.6899406867650803e+144,,,,,,,4.423948192288935e+59,,,,46884238335104.33,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.574410770223487e-23,6.744016530612288e-25,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,1.3844679609529987e+151,,,,,,,,,2.1329129692851495e-14,6.351582566079946e+22,,9280.847651195869,,546488713947652.4,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.4827958909365398e+24,0.00010774877873048014,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.156555758739958e-13,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,1.8298639559751072e-15,,8646362204702.331,,4.331235486551951e+31
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.3088100453205533e-32,
