ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.648365223739496e-138,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,2.7409536564297737e+137,,5.286295598254965e-48,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,1.8916838481943868e+47,,,4.684314116305246e-41,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,2.513896489657465e-26,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.1347842505249205e+40,3.9778885252998486e+25,,3.903733941175615e-61,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,2.5616499870860783e+60,,2.2476118970667875e-151,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,4.449166696906326e+150,,9.283662504804213e+34,3.2024442648432037,1.727639900455189e-23,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.0771610875368518e-35,,1550312706792.4678,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,0.3122614844473996,6.45031157661707e-13,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,5.788243254491434e+22,,,,4152921.6436331426,1.0942365791178577e-98,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.407943336790626e-07,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,9.138791547310285e+97,,,,203045642654.51,,2346166.841403412,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.000489740922238865,0.14645819479932884,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,4.9250010338884175e-12,2041.8959384248933,,5897710.637957539,2.3548149646183424e-22,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.827886970545827,1.695573183200989e-07,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,4.2622714734209935e-07,,4.2466181633174536e+21,,,9012272331495.61,803547826700.1691
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.1095980716264568e-13,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.2444809963665473e-12,,
