ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,3.3252464991880366e-13,4.589136126140628e-08,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,5301743936.280069,851794266347.5707,,21790593.53466989,7.242325207628445e+17,,,6.143569464713089e+26
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,1.1739924058046603e-12,3007295850831.454,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,0.0003582221578828589,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.3807720191116047e-18,,,,2791.5637768197657,7.68571835399983e-08
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.6277182275608908e-27,,13011145.529156378,,,
$R_{x}$,,1.568718384311072,4.907658164508161e+65,,3.290223701317961e-71,,,,,,,,,,,,,,,,
$R_{y}$,0.6374630462682862,,121907.61914726956,,,,,,,,,,,,,,,,,,
$R_{z}$,2.0376317308159923e-66,8.202932737058524e-06,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,1.7936889594704464e-14,,,,,,,,,,,,,,,,
"$R_{x,z}$",3.039307022192537e+70,,,55751026102944.38,,,4.5036824647947465e-14,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,22204052079981.055,,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.7826176278213971e-12,5.452631740388607e-82,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,560972798873.3832,,3.658761744095127e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,1.8339767796765425e+81,2.733165125097034e+20,,,514023.5219100599,,4.191385955633332e-106,,1.5677644278057862e-96,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.945436263858316e-06,,,318754208488.33887,1.7948248405437699e-90,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,3.137213481015368e-12,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.3858456619962995e+105,,5.571574325308728e+89,,,,7160576840.414166,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,6.378509310863631e+95,,,,1.3965355337799296e-10,39.585440575015035,,27535.22953905748,1.591118797077315e+18,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,2.7569643260529237e-18,3.631711145104293e-05,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,0.02526181306748334,3.6271778729602746e+17,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,2.29499949416508e-05,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,6.284885841565533e-19,,,,43572.99435326454,2.8415000214642627e+26
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,3.519267965673591e-27,,,
$R_{x}$,,3.6028220975461535e-15,1.5259687032331766e-42,,,,,,,,,,,,,,,,,,
$R_{y}$,277560193904964.12,,8.968130664322202e-29,,,,,,,,,,,,,,,,,,
$R_{z}$,6.553214347589371e+41,1.1150595786681466e+28,,,1.2474399751252706e-81,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,8.01641778314486e+80,,,3.63035113336654e+16,0.0016254196957619345,,,,,,,,1e-160,,,,,,1e-160
"$R_{y,z}$",,,,,2.754554485953176e-17,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,615.2257183836069,,,9.921724999573883e-146,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.0078892531721529e+145,,3485083023.005255,18994810370.003963,1.8891526594841023e-56,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.8693721021821756e-10,,0.009367679362258286,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,5.2645958581359156e-11,106.75002434743111,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,5.293378462453554e+55,,,,121036.92974985437,,1.4624746866185918e-78,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,8.261941227910262e-06,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.837725186971365e+77,,,,2.0245612146381183e-13,,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,1.0583435159548e-11,,6.509432350605214e-05,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1e+160,,,,,,,,,4939341881933.394,,94487279878.86197,29136.502633261825,2.1450163337014655e+24,,,5.213364420148535e+21
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,3.432120912337687e-05,15362.322644109283,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,9.639036267998302e-09,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,4.661969162138678e-25,,,,103744811.4309944,,4.9020514394162955
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,,,,,,,,1.918147129970839e-22,,,0.20399622736702117,,,
$R_{x}$,,4.93230836983946e-94,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.0274482554961354e+93,,3.762513663340368e-101,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,2.6577976573039148e+100,,,1.868194666689696e+21,,,1.6660472514028393e-80,,,,,,1e-160,,,,,,,
"$R_{x,z}$",,,5.352761239662067e-22,,,4.639108112264539e+20,3.9575337971719593e-07,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,2.1555867546097325e-21,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,2526826.178249183,,,1.1825830102757997e-131,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,6.002230723996474e+79,,,,8.456066012370514e+130,,1.829014944984724e+59,178.41519243096548,4.5495230704796264e+20,,,1.0943382684478976e-112,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,5.467423887060431e-60,,7.446436268981255e-44,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,0.005604903855858194,1.3429242712592365e+43,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,2.1980325948640074e-21,,,,620186.1655892871,,3.73941163378489e-120,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.612419069441548e-06,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,9.137942342254943e+111,,,2.674217491771127e+119,,,,4.569175547287949e+19,,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,2.5452627193892217e-07,,4.17819526591471,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,0.06043887497965919,0.23933778494219687,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.188578638860907e-20,,3928867.508969631,16.545642193646916,1749424.8937056565,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,5.716164229730297e-07,,,,100680275967343.1,,1.734212479361555e+22
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,9.932432051779065e-15,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,5.766306100900317e-23,,,
$R_{x}$,,4.9153890024894096e-08,2.7925536924603236e-59,,,,,,,,,,,,,,,,,,
$R_{y}$,20344269.792147636,,7.659440884801407e-85,,,,,,,,,,,,,,,,,,
$R_{z}$,3.5809517385464126e+58,1.305578324893525e+84,,,,1.7533071301175144e-112,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.1352909019675383e-55,,,,,,,,,,,,,,,
"$R_{y,z}$",,,5.703507291007113e+111,,8.80831510467432e+54,,4.846976571459085e+36,1e-160,,,,,,,,1e-160,,,,1.0877282259165011e-154,
"$R_{x,y,z}$",,,,,,2.063141806561219e-37,,4.7995425766488926e-151,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,1e+160,2.083531886695365e+150,,1.5157239287727556e+37,238603960.6841232,,6041659.566508477,,,,2.9687601236886856e-103,,,,6.607984461522939e-77,
"$R_{x,y,z}HF_{y}$",,,,,,,,6.597507507911915e-38,,3.171602469277684e-34,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,4.191045266527885e-09,3.152980266873562e+33,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.0854188955504134e-13,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,1.6551743589516877e-07,,,9213032904617.92,,,6.653712757036752e-88,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.502920304069983e+87,,,,1.5205618836003482e-06,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,1e+160,,3.368409566069958e+102,,,,,,657651.6291676502,4980995184646292.0,,29523019643.594067,,,0.5443537692592673,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,2.0076309310285179e-16,4703.691442139674,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,0.00021259897939757447,3.387187395029834e-11,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,9.19347292985265e+153,,1.5133207498032318e+76,,,,,,,,1.8370406461238546,,494044094687.7939,,,5.823389429197695e+25
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,2.0241108248281763e-12,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,1.717212994525377e-26,
$R_{x}$,,7.216665447057128e-75,1.3780489320865348e-112,,,,,,,,,,,,,,,,,,
$R_{y}$,1.3856815274813498e+74,,2.7550701805070806e+28,,,1.8325012247876612e-30,,,,,,,,,,,,,,,
$R_{z}$,7.256636369841219e+111,3.629671603559465e-29,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,6.148298088771976e-19,,,,,,,,,,,,,,,
"$R_{y,z}$",,5.45702227356423e+29,,1.6264663579441608e+18,,,2.422866524758243e-70,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.127342508476736e+69,,,,1.8567032072753218e-135,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,6.674187813377628e+32,1.011622875857225e-11,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.498309648996717e-33,,1.4325282583556788e-15,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,5.385890410926159e+134,98851066327.71861,698066508752745.8,,,9.366310942330156e+21,,3.0358856669485905e-122,,1.5080592773427904e-120,,,,2.9207243612969337e-59,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.067656205476368e-22,,,2855.904670450229,1.317002944521797e-98,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,0.00035015174363027724,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.2939316881623985e+121,,7.59299745045824e+97,,,,0.3818340682209619,,,,2501846481075.3823,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,6.631039077999679e+119,,,,2.6189386522244904,8645576365.875544,,111.23022365983518,,,2647989.5189671526,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,822.4062452710767,0.00899036221538316,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,1.156660883763681e-10,0.0012159440735647453,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.0007385530720246458,
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,3.423808193786403e+58,,,,3.9970478107440253e-13,,3.7764499928611864e-07,,1353.9988362090648,,,2.0437575216629304e+18
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,4.892948353219206e-19,
$R_{x}$,,3.648365223739496e-138,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.7409536564297737e+137,,5.286295598254965e-48,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.8916838481943868e+47,,,,4.684314116305246e-41,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,2.513896489657465e-26,,,,,,,,,,,,,,,
"$R_{y,z}$",,,2.1347842505249205e+40,,3.9778885252998486e+25,,3.903733941175615e-61,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.5616499870860783e+60,,2.2476118970667875e-151,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,4.449166696906326e+150,,9.283662504804213e+34,3.2024442648432037,1.727639900455189e-23,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0771610875368518e-35,,1550312706792.4678,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,0.3122614844473996,6.45031157661707e-13,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,5.788243254491434e+22,,,,4152921.6436331426,,1.0942365791178577e-98,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.407943336790626e-07,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,9.138791547310285e+97,,,,203045642654.51,,,2346166.841403412,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,0.000489740922238865,,0.14645819479932884,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.9250010338884175e-12,,2041.8959384248933,5897710.637957539,2.3548149646183424e-22,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,1.695573183200989e-07,6.827886970545827,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,4.2622714734209935e-07,4.2466181633174536e+21,,,,9012272331495.61,,803547826700.1691
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,1.1095980716264568e-13,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,1.2444809963665473e-12,,,
$R_{x}$,,2.3821507403788404e+53,8.183156070611838e-87,,,,,,,,,,,,,,,,,,
$R_{y}$,4.1978871573885666e-54,,3.7711312549004424e-124,,,,,,,,,,,,,,,,,,
$R_{z}$,1.2220223974357513e+86,2.6517241973493705e+123,,,,5.04950125825005e-63,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,2.0917100916536734e-44,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1.980393604944974e+62,,4.780777240546828e+43,,146292.96304504588,,,,,,,,,1e-160,,,,,1.4084848204970794e-154
"$R_{x,y,z}$",,,,,,6.835598781959761e-06,,1.8444908713669848e-112,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,5.421550279936502e+111,,2267474623624732.0,375486481951684.1,,1.7393801951240728e-19,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,4.41019268564701e-16,,242049.57286850404,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,2.6632117215039328e-15,4.1313851049151015e-06,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,0.0005888788619859447,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,5.749174348444668e+18,,,1698.1421215011585,,,3.1083490123836255e-96,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,3.217141949041153e+95,,,,1.56882492059085e-09,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,1436.1416379701636,3.838523581558025e-21,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,1.4065411811942987e-09,0.0006963101504482495,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,1e+160,,,,,,,,637419757.2176381,710963897.374762,,2.605168312119912e+20,1150834202316.7983,,,3.8691142050357055e+31
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,8.689348978218175e-13,,,,190652210256.26215,16873.28085013655
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,5.2451529340041e-12,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,7.09982802403992e+153,,,,,,,,,,2.5845709043648445e-32,,5.926529694383101e-05,,,
$R_{x}$,,1.472334357410295e-53,1.3246067802039227e-88,,,,,,,,,,,,,,,,,,
$R_{y}$,6.79193550681593e+52,,2.871960629599021e-62,,,,,,,,,,,,,,,,,,
$R_{z}$,7.549410247213519e+87,3.4819418821198064e+61,,,5.032615288733468e-67,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1.987038433553034e+66,,,1.6271791283144304e+29,0.00019226777360118743,,,,,,,1e-160,,,,,,,1e-160
"$R_{y,z}$",,,,,6.145604885160274e-30,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,5201.079625929699,,,7.030461397074765e-156,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.4223817520939382e+155,,404.7210988284072,5.474244988216189e+19,1.0877756401673696e-08,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.002470837331917746,,2.450290947934511e+51,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,1.8267359282468928e-20,4.081147999354757e-52,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,91930722.02335179,,,,17055967644920.207,,4.796827471338016e-103,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.863050521779284e-14,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,,2.0847112095967508e+102,,,,236432.8819846429,,,,,,3.060069555522651e+51
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,1.8413999856421412e-12,,75793959450.3591,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.229530138134311e-06,,543065063428.5063,613765571.4452908,2.2787595661626192e+17,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,1.629286565626689e-09,1.3193663548543671e-11,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,1.9512947262910413e-10,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,4.388352395088254e-18,,,,5124802453.091072,,2.252039596731216e-06
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,,,,,,,3.2678995750121205e-52,,,,444041.92601740983,,,
$R_{x}$,,2.2355307718327076e-27,1.8952760357728567e-60,,,,,,,,,,,,,,,,,,
$R_{y}$,4.473210624518451e+26,,1.6635073072672655e-55,,,,,,,,,,,,,,,,,,
$R_{z}$,5.276276284431674e+59,6.011395294937146e+54,,,,4.577450277120868e-104,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,4.123252707370972e-60,,,,,,,,,,,,,,,
"$R_{y,z}$",,,2.1846223103683424e+103,,2.425269734771144e+59,,7.64003491930912e-23,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.3088945411396483e+22,,1.915496280106454e-157,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,5.2205791803700336e+156,,8.366897085734536,4.244384636081424e+29,1.5158793027515035e-27,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.11951862079252637,,5.298014661192518e-13,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,2.356054141509752e-30,1887499495471.2192,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,6.59683127927718e+26,,,,3485635261476.2793,,1.0345821542031755e-79,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.8689174999235797e-13,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,9.665737959400524e+78,,,,,,1871122.1530337203,,,,2.2449524776649004e+16
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,3.0158307509026144e+16,,0.015604579222594155,,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.344386513615173e-07,4.22196042755636e+17,64.08375296349432,,,243092255082093.25,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,,,3.3158359423873765e-17,2.3685679133160253e-18,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,4.11366458245367e-15,,,21.041221124573898,5.62694172356283e-07
"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.047525758798861104,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,4.4544372762854894e-17,,,,,1777164.3090108752,,
$R_{x}$,,1.0976710454918251e-44,1.7932299696622787e-120,,,,,,,,,,,,,,,,,,
$R_{y}$,9.110197486824822e+43,,2.1684517057603337e-98,,,,,,,,,,,,,,,,,,
$R_{z}$,5.576529596972614e+119,4.611585295367994e+97,,,,7.81870929997458e-26,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.5075505112215486e-105,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1.2789834762155068e+25,,6.633276912159402e+104,,1.3920828824248588e+105,,,,,,,,1e-160,,,,,,
"$R_{x,y,z}$",,,,,,7.183480327393348e-106,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,26483492.2720353,1.092388043739296e-25,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.7759370619558715e-08,,4.343951034445754e-66,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,9.154256179671763e+24,2.302051731408594e+65,,,1.4830825178038955e-41,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,6.74271315314788e+40,,,1.056805014096462e+46,3.6845488779552165e-90,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,9.462483491857496e-47,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,2.714036461785145e+89,,,4.975933220639485e-06,,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,,2.4401836097784794e-16,,25.60712376419461,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,1e+160,,,,,,,,200967.32726479083,,4098052277675860.5,15.895881826484958,7.294319857891074e+29,,,
"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,,0.06290937558014856,0.03905163302245834,,,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.3709297364005626e-30,,,,7887814213890.708,,6513073228.932534
"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,1.2677783386923162e-13,,,
"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,1.535373493971748e-10,,,
$R_{x}$,,1.0965547515182316e-100,2.1248960386134394e-28,,,,,,,,,,,,,,,,,,
$R_{y}$,9.119471678139674e+99,,4.900556512195096e+47,1.9329117338499574e+76,,,,,,,,,,1e-160,,,1.7895320346833106e-146,,,,
$R_{z}$,4.706112590113025e+27,2.0405845693473536e-48,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,5.173541980668762e-77,,,,104891.8235596694,2.79111712411423e+64,,,,,,,,,,,,,,
"$R_{y,z}$",,,,9.533631565010727e-06,,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,3.5827948292114513e-65,,,,,,1e-160,,,,,,,,,,,
