ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.472334357410295e-53,1.3246067802039227e-88,,,,,,,,,,,,,,,
1,$R_{y}$,6.79193550681593e+52,,2.871960629599021e-62,,,,,,,,,,,,,,,
2,$R_{z}$,7.549410247213519e+87,3.4819418821198064e+61,,5.032615288733468e-67,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,1.987038433553034e+66,,1.6271791283144304e+29,0.00019226777360118743,,,,,,1e-160,,,,,,1e-160
4,"$R_{y,z}$",,,,6.145604885160274e-30,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,5201.079625929699,,,7.030461397074765e-156,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.4223817520939382e+155,,404.7210988284072,5.474244988216189e+19,1.0877756401673696e-08,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,0.002470837331917746,,2.450290947934511e+51,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.8267359282468928e-20,4.081147999354757e-52,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,91930722.02335179,,,,17055967644920.207,4.796827471338016e-103,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.863050521779284e-14,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,2.0847112095967508e+102,,,,236432.8819846429,,,,3.060069555522651e+51
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.8413999856421412e-12,75793959450.3591,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,4.229530138134311e-06,543065063428.5063,,613765571.4452908,,2.2787595661626192e+17,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.3193663548543671e-11,1.629286565626689e-09,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.9512947262910413e-10,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,4.388352395088254e-18,,5124802453.091072,,2.252039596731216e-06
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1e+160,,,,,,,,3.2678995750121205e-52,,,,,444041.92601740983,
