ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.93230836983946e-94,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,2.0274482554961354e+93,,3.762513663340368e-101,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,2.6577976573039148e+100,,1.868194666689696e+21,,,1.6660472514028393e-80,,,,,1e-160,,,,,,
3,"$R_{x,z}$",,,5.352761239662067e-22,,4.639108112264539e+20,3.9575337971719593e-07,,,,,,,,,,,,
4,"$R_{y,z}$",,,,2.1555867546097325e-21,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2526826.178249183,,,1.1825830102757997e-131,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,6.002230723996474e+79,,,8.456066012370514e+130,,1.829014944984724e+59,178.41519243096548,4.5495230704796264e+20,,1.0943382684478976e-112,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,5.467423887060431e-60,,7.446436268981255e-44,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,0.005604903855858194,1.3429242712592365e+43,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,2.1980325948640074e-21,,,,620186.1655892871,3.73941163378489e-120,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.612419069441548e-06,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,9.137942342254943e+111,,,2.674217491771127e+119,,,,,4.569175547287949e+19,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.17819526591471,2.5452627193892217e-07,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.23933778494219687,,0.06043887497965919,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,2.188578638860907e-20,3928867.508969631,16.545642193646916,,1749424.8937056565,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,5.716164229730297e-07,,100680275967343.1,1.734212479361555e+22
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,9.932432051779065e-15,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.766306100900317e-23,,
