ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,3.190223337635049e-22,,49.33749934649854,1702.8497792718726,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,2.1687022750570613e-25,,,,4.1489630674280295e-18,,,,3.540227648483091e-05,0.0005872508615690068,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.6196862183853316e-141,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,6.1740353696217905e+140,,,,,,,,,,,,,,,,,6.2085238619473525e-40,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,0.1002838062402625,,
"$\hat{S}_{x,z}$",,,1.6106888243260167e+39,,9.971699694008171,8.293382919171032e+36,,2.4947145073092205e-66,,,1.2610797597971174e-59,,,,,,4.281669947981985e-22,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,9.081216736367007e-83,,,,,,,,,,,1.205780571988777e-37,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.1011740265986157e+82,7.299712023709347e+38,,1.6259212633885223e+39,,0.2142748369788454,,,,,,1.5472071527470468e+27,,4.0084747055028433e+65,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2737035.0137377405,6.15035932254147e-40,,,,,,,,,,,,,
