ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,1835594626.822786,,311044818601.5112,3.775176736887803e-11,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,3.214970770116347e-12,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.1839955590391258e+35,,,,,,,1582.7951795377476,,,,,,,,26488826078.759544,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.603344399654994e+44,,9.330925563746013e-45,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.8412128650075044e-45,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.0717050448728883e+44,,8.22668505807924e+31,,4.633627360467959e+32,,9.001508483580484e-65,,2.523461253437971e-40,,,,,4.777419239299738e-31,,,,,,
"$\hat{S}_{x,y}$",,,,,1.2155564397325782e-32,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,2.158136427912943e-33,,,1.5337628710744298e-50,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.4229519403091505e-44,3.5978215325408964e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.779459711815578e+34,8.281024648046164e-18,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,1.1109249097793831e+64,6.519912685717064e+49,4.127197008589479e+43,,1.2075800308551688e+17,43343.89142710584,,,,,9.961464491695716e+20,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,3.962810994769969e+39,,,2.307130179305112e-05,,,72630455.09766,2.3937922729401836e+16,,,0.00011902474813571401,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.3768328983418662e-08,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.1774719189470293e-17,,,,,5.849148318995204e-46,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.0002503743750228593,8.581331842833216e-31,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,2.0931803342144566e+30,,,1.0038684581304695e-21,,8401.614081634378,,1.7096506114445477e+45,1.165320276986095e+30,2.872470634168406e+24,,,,,,24495781.029035408,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3994.0189562478167,,3.481323666480249e-25,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,4.082335643083506e-08,,5308497404560067.0,1369899.6097855577,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,1.8837722311797445e-16,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,7.299804984662626e-07,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,9.517804774432272e-27,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.0506624412872023e+26,,,,,,,,,,,,,,,,,3.988442037636384e-76,,
"$\hat{S}_{x,z}$",,,2.5072446598537415e+75,,2.9468929176063622e+28,1.1085310989497376e-06,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,3.3934046060019657e-29,,
"$\hat{S}_{x,y,z}$",,,,,,,,14566023.971624434,,,,196048.16872951662,,,,,,3508522358.7397046,902094.6737059845,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.222968328501656e-08,2.6312390758928543e-25,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.3282585561923118e-24,16069501.67848237,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,6.865291461472707e-08,7.528654683517922e+23,,3.8004908378029904e+24,,129497.03976590234,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,7.722184243035557e-06,,1435915104208290.5,,3.20069304552406e-16,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,6.964200021778881e-16,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,5.100787252849468e-06,,,,,3124323344278291.0,,,,8.131801321475283,,,4.530422604847815e-08,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,8.20543264632312e-12,,4.615539487946401e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,0.12297398331155716,462560.17198963754,21665.939650424953,,,1.0986845617673816e-16,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,121870478145.73227,2.1618808980000173e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.982846166381269e-06,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,9101793497410810.0,,,3.6591592634831423e-06,,251076.73212208925,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,2.8502027285333013e-10,,,,,,22072995.99224898,,,,,273286.8202757874,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.719645650374237e-14,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,21188031349783.78,,,,,,,,,,,,,,,,,2.802108032483821e-102,,
"$\hat{S}_{x,z}$",,,3.568741777288253e+101,,3.112731794475862e+36,1.497228631858083e+37,,,,,5.286066063566674e-32,,,5.867950550590488,,,,4.1500480088501913e-19,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,3.212612155582088e-37,,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.3242640896972938e-23,,,,,,,,,,6.679006657513523e-38,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,6.339185904480574e+42,,5.092256134998817e-06,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,7.551363869034495e+22,6524814688878.471,196376.6105807308,,,9.812222137041624e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.5774896257470443e-43,1.5326105762122216e-13,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,101913713940999.22,,,1.4729639578960504e+18,,2.196660591935228e+27,,,,4.945966280625832e+23,1.8917659900097216e+31,,8.434778949463513e+18
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,1.185567524639877e-19,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.789032376789302e-19,,,3.255504975021024e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,2.2485798549084452e-26,3.508447762600622e-25,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,2.850263329156009e+24,0.0008312644903836247,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,4.552364637811495e-28,30717200.79289825,4.447251441024391e+25,,1202.986548286821,452110247.441466,,1.4402832234574944e-16,0.17041725068718763,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,5.290874966442589e-07,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,2.211849887630491e-09,,,,0.09302923677500836,,1890046.5543837398,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,2.0218496108984114e-24,,,6943078859166563.0,,10.749308869624553,,,2.409610678882385e+18,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,8.615996924601693e-98,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.1606317977489632e+97,,,,,,,,,,,,,,,,,2.5911821549996207e-66,,
"$\hat{S}_{x,z}$",,,3.8592423850655394e+65,,1.5028173433411555e+19,146357.27840453107,,4.895627004293787e-54,,,4.488020902128562e-57,,,1.990999131668456e-12,,,,4.627749742130344e-18,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,6.654168614907909e-20,,
"$\hat{S}_{x,y,z}$",,,,,,,,3.583626627365912e-32,,,,,,,,,,,6.832594940963599e-06,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,7.878096523849582e-21,7.297457055026952e+16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.7904692759106835e+31,1.269342152603325e+20,,1.1711952343795361e+44,,0.06806814965457116,,,3071279653789620.5,,,,1.3626754891053714e+23,2.0426392760782923e+53,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.3703403698842413e-17,8.538286108462266e-45,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,14.691158861740035,,4.499918225411172e+26,,9.8606307377773e+30,,2.3654355114359703e+31,,,,2.042526660718113e+25,2.228153615607547e+56,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.2222626054690734e-27,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.0141339094758674e-31,,,0.0011068502125155043,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,37157225.85172715,3.097318550918096e-05,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,9.343237072173406e-07,2.6912665762250865e-08,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,3.255971818672097e-16,,,4.227551312075028e-32,903.4646139944546,1070292.8677452276,,32285.99136835905,,,2.1357941249729507e+19,502260389818.45294,1.233688082295092e+17,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,8.10577660878145e-18,,20672.96744129538,,1.5873332456923039e-09,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,,4.837234919658634e-05,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,7.338504346743065e-24,,,4.8958969262531895e-26,,,4.682099216902119e-20,,,,,2.1608774365997994e+17,629987435.0353302,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.677112192704608e-49,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.761458935557154e+48,,,,,,,,,,,,,,,,,2.0804500396538248e-59,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,6.60666655450455e-65,,
"$\hat{S}_{x,z}$",,,4.806652315315365e+58,,1.513622629127818e+64,6.377271060936026e+67,,9.114051366986418e-31,,,,,,,7.613256188960953e-16,,4.8696161520643856e-17,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,4.528707709787955e-75,,,,,,,,,,,1.5680688345293963e-68,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.2081354419025253e+74,4.395236777266992e+33,,9.004650011484392e+23,1.5349645253204797e+18,,,,,1.5794237930429563e+19,,2.521276239052171e+16,,1.0972068948637627e+30,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.2751902813795876e-34,2.264995089379619e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,4415020609487941.5,1.1105373320724463e-24,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,6.514808541202043e-19,,,1.1320824683230238e+17,51.222238153821266,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,8.833278740561364e-18,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,0.019522770500519378,,,,,1.0947884795227506e-13,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,6.33142291767921e-20,,,,9134184536139.148,499608362721306.2,414384493.1728308,,,2126.444732344893,,1313498423250195.0,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,82907448.51481688,2.001567777114701e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.2061642444843591e-08,,2.413217715613025e-09,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,7.081608440643171e-19,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,3.966245286854931e-17,,,,,,,0.00047026851193883164,,,2.053463313364741e+18,2.053549948851858e+16,1.412108574459925e+18,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.869821600861381e-19,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,3.48754561687157e-75,,
"$\hat{S}_{x,z}$",,,2.86734600735353e+74,,3.069306383911492e+33,2.0992112561470006e+35,,,,,4.0796181199600106e-30,,,,1.4987128182134542e-15,,,3.0694052806081396e+21,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,3.2580650965369265e-34,,
"$\hat{S}_{x,y,z}$",,,,,,,,2.4314723138790895e-39,,,,,,,,,,,4.763693968731146e-36,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.112734470764479e+38,3315.20467592766,,4221563420938528.5,,2.3751470391950423e-24,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.00030164050119173416,1.7388452741653545e-11,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,57509429669.065865,2.368790659498566e-16,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,4.210265653022091e+23,,1.9149306229311308e+36,,2.6995761380276907e+39,,,8.951962649452906e+21,,,3.5429263074804244e+23,2.4512098206138037e+29,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,5.222121303117123e-37,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.704285224311546e-40,,,,3.370797490748135e-29,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.030907546216934405,0.005373919696474569,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,1.1170734722190942e-22,2.96665700845189e+28,186.08391201975456,7.662133085797325e+21,,,,566250371.2877682,667239238796965.4,77491281.19853331,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,32.35455810633375,,1.3051195911144103e-22,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,0.05492115013009489,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,1.2904677591250448e-08,,18.207921677372788,57611.301217119,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,2.822525543047935e-24,,,,1.766003257050052e-09,,,,3.2579601211928275e-22,1.735770550002529e-05,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.0632155277656526e-46,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.4611049873347387e+45,,,3.176316650738396e-49,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,3.1483007204824204e+48,,,1.4631697411850219e+26,,,,,1.4910381918662565e-55,,,,2.2007075138506786e-34,,,3.5984156144024566e-17,16912.262889220332,,
"$\hat{S}_{x,z}$",,,,,5.912869298155173e-05,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,6.834477038802753e-27,,,1.2398743874656517e-68,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.7041849469120793e-14,4.562573052648618e+53,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.1917457286946676e-54,1.0781036404349724e-52,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,8.065333150755991e+67,36979719199380.37,,9.275546083830487e+51,,1.2070094025384466e-25,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.1689550221265083e-05,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,6.706736322752075e+54,,,8.284939602764588e+24,,85546.49076068358,,1.5865554488713404e+26,,,1.430978835115891e+17,,,263586806318111.72,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.302962816152375e-27,,,,21.52547867287501,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,4.5439932099393537e+33,,,,,,6.988223553418334e-18,0.04645657433207904,5.379293510357753e+19,8019610.308351331,,,27606742.18878801,5356409519251.455,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.0001836325733041043,1.8589801766245218e-20,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5445.656955119571,,1.2469433819728575e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,3.622303541509988e-08,,,0.004568589658076632,,9177180.909965595,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,1.0896592426483494e-07,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,2.779000835805503e+16,,,,,,3.793816594875931e-15,,,,1.86692222916471e-13,,218.88593085442437,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,7.252718811357261e+26,,1.15525067442115e-67,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.3787932856766327e-27,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,4.16143941764326e-06,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,8.656129982361275e+66,,240301.4677470249,,1.1589769718989564e-17,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,8.62829913144455e+16,,,5.418804479284067e-64,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.981334492147496e-05,9.22465017462363e+27,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.0840519489301939e-28,1.8945981438357468e-41,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.8454255063510248e+63,33542.026318545904,,5.278164149234464e+40,,0.011270158151798323,,5.892096119478416e+16,,,,3.1179431686775715e+22,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,88.7298994859655,,1036977432.9846216,,1.2543147776168305e+26,4358524842.214111,,,,1.2505181084669036e+18,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,9.643411401170096e-10,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,7.972480415960475e-27,,0.14430198576437858,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.8519957018360413e-16,1.358449185443942e-05,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,1.6971888776460127e-17,,,2.2943542510405984e-10,6.929911564992845,,75281850.48968993,5399580566027311.0,,67039.9938281652,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.3283414176129384e-08,,73613.3534264809,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,1.754953296053281e-09,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,3.2072425503000263e-23,,,7.996685479636668e-19,,1.4916469153669204e-05,,,569815733.7000948,,262206552411.6883,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.8137872253852316e-12,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e+160,,4.057594126355715e-93,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,1.7992046785062997e-59,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,2.4645146085573112e+92,,5.558011336599015e+58,,35320754104112.16,,6.144649309566366e-11,,9.135784285998053e-16,,,138.450659195235,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,2.8311966303221617e-14,,,2.9793134632265096e-48,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.816233302253405e-24,3.910083201189532e-25,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,16274321765.493416,3.3564779683069306e+47,2.556981080240988e+16,,2.557490336000468e+24,0.0008520653992411593,,,25888071933720.117,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.910861944687338e-17,1.13427125362529e+23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,1094596773188535.9,,,1173.6188335902266,,,2.626883503312337e+33,2.2710777248547793e+35,250394541931345.7,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,3.8067923405779587e-34,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.403195844228288e-36,,,4.872161974413415e-31,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,3.348056480689108e-12,8.48127427400906e+41,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,0.007222789734715951,,,3.8627828389856456e-14,,3.9936972758542976e-15,,2.052476919387302e+30,,554671686554820.2,298680743818.92645,4139726215516.841,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.802868298923288e-15,,1.1790681066222665e-42,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,1.8545635113997263e-12,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,2.41561868572787e-13,,,,539210436231.0315,5.831847010120543e+20,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.7147226226350033e-21,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.4588172069773956e+149,3.858295957418953e-96,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.854868418175267e-150,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.495307720122802e-63,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,2.5918177636869528e+95,,,4.0075217654950666e+62,1e+160,,1.074700741463827e-20,,,,1.4126137281591011e-43,,,,0.0013587434200868752,,,,,
"$\hat{S}_{x,y,z}$",,,,1e-160,,,,5.623823684086101e-146,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,9.304915884192295e+19,,1.77814962945892e+145,6.12732655696282e+37,,5.050857362598336e+35,32.16455924822844,,1.3068388887667164e-13,,,,489259612537.9439,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.340937456491753e-06,1.979861889201253e-36,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.6320331399077214e-38,157705.38770670505,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,0.031090119789378985,,,3490444.3757880363,2.2173264401711114e-12,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,2.864964721789129e-07,,,,,,,,,,,
