ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,4.2323594539931746e-85,1e-160,,,,,,,,,
1,$R_{y}$,2.3627482752121004e+84,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1.6111507351949202e-138,,,,,,,
3,"$R_{x,z}$",,,,,1e-160,,,,,,,
4,"$R_{y,z}$",,,6.2067439014576005e+137,1e+160,,1.265502849632248e-136,,,,,,
5,"$R_{x,y,z}$",,,,,7.90199722024014e+135,,,,7.759105234316233e-49,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,3.167385514276817e+42,2.305496830028693e-39,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.1571780431922624e-43,,2.0802844899590784e-36,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1.2888083996815704e+48,4.3374598783879246e+38,4.807034830220126e+35,,,7.890839570478579e-15,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,9.93834211696217e-19,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,126729227108003.42,1.0062040411078822e+18,,1.7181583574016456e-41
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.820185291373784e+40,
