ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.3663775140513823e-120,1e-160,,,,,,,,,
1,$R_{y}$,4.225868417283678e+119,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,8.154457389482762e+84,,,,,,,1e-160
3,"$R_{x,z}$",,,,,1e-160,,,,,,,
4,"$R_{y,z}$",,,1.2263231656465006e-85,1e+160,,5.969550655378986e-76,,,,,,
5,"$R_{x,y,z}$",,,,,1.6751679610908895e+75,,1.0435621925461068e-96,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,9.582562564480965e+95,,2.0104846359875913e+60,4.395861881048972e+33,,1.6704565734107645e-72,
7,"$R_{x,y,z}HF_{y}$",,,,,,,4.973925102933102e-61,,0.6892505904390619,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.274866742995512e-34,1.4508511329137732,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.3625849972773695e-14,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,5.986387290261514e+71,,,73389917105952.02,,4.092430527033682e-12
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,,244353567737.85733,
