ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,6.045036515812764e-82,1e-160,,,,,,,,,
1,$R_{y}$,1.6542497260093862e+81,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,1.6916716194337322e-158,,,,,,,,
3,"$R_{x,z}$",,,5.911312742450208e+157,,2.4811619975804868e+79,2.7470242215485738e-58,,,,,,
4,"$R_{y,z}$",,,,4.030369645251512e-80,,,,,,,,
5,"$R_{x,y,z}$",,,,3.6403028126059704e+57,,,,,3.297581684800962e-86,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,1.9833676893293357e+24,1.1809985530381037e-20,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,5.041929468651091e-25,,2.8346483219134223e-30,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,3.0325253339717007e+85,8.467410882320836e+19,3.527774476535374e+29,,2.026131312861416e-07,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,4935514.266287826,,247327374.19566086,4.174541669060753e-08
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,4.04322410025224e-09,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,23954725.554937247,,
