ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
$R_{x}$,,6.535410155985782e+120,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1.5301258469357122e-121,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,8.279972174584847e-104,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.2077335272568588e+103,,,,9.5569094726192e-50,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,8.188580322435654e-18,1.2781802900393448e-08,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.221212909471168e+17,,8.66848451623124e-07,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.0463633697326805e+49,78236224.4037747,1153604.183208215,,,7.1296377301904535e-81,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.4025958089925098e+80,,,1.0852484585787499e+35,1.3913567464329368e-26,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,9.214479800410018e-36,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,7.187229318172569e+25,,,,,,,,,
$R_{x}$,,7.998228806453525e-54,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1.250276810277209e+53,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.1964376616280384e-44,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,8.358145451884738e+43,,3.603381295160846e-83,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.775171201956751e+82,,,,3.9431071510396427e-72,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,11889990647137.066,0.05978154934233083,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,8.41043554765777e-14,,7.539445851683787e-19,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,2.5360710771867795e+71,16.727569141335522,1.3263574268879053e+18,,,2.795142002181585e-72,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.5776357666963193e+71,,,2.83092792155299e+38,93008129.0630774,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,3.53241067137951e-39,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.0751748369454971e-08,,,,,,,,,
$R_{x}$,,4.2323594539931746e-85,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.3627482752121004e+84,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1.6111507351949202e-138,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,6.2067439014576005e+137,,1e+160,,1.265502849632248e-136,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,7.90199722024014e+135,,,,7.759105234316233e-49,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,3.167385514276817e+42,2.305496830028693e-39,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.1571780431922624e-43,,2.0802844899590784e-36,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.2888083996815704e+48,4.3374598783879246e+38,4.807034830220126e+35,,,,7.890839570478579e-15,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,9.93834211696217e-19,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,126729227108003.42,,1.0062040411078822e+18,,1.7181583574016456e-41,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,5.820185291373784e+40,,,,,,,,
$R_{x}$,,3.168919564217074e+46,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.155649677233332e-47,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,2.726190704171996e-125,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,3.668121963990491e+124,,1.4544465461673516e-113,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,6.875467528422581e+112,,,,1.4364997692524941e-65,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,5.105179520432099e+24,1.3908572807627095e-54,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.9587949767442471e-25,,3.3361794891024825e-77,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,6.961365545644091e+64,7.189810297801557e+53,2.997440645104576e+76,,,,2.9176871456230114e-19,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,5.809799301002622e-16,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,3.4273722647068483e+18,,1721229853546620.2,,1.1695538076952444e-47,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,8.55026928577684e+46,,,,,,,,
$R_{x}$,,2.9843231957251726e+232,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.3508435059326946e-233,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,2.282429771222137e-114,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.381295812946506e+113,,,,1.5021635109462447e-73,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,3.252081030201363e+59,0.17408574033802862,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.0749541315644335e-60,,9.698291379428278e-63,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,6.657064911462792e+72,5.744295874310346,1.0311094613234345e+62,,,4.3909901620072465e-16,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2277390663847153.0,,,1.1109269758629251e+17,8.906656478842386e-57,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,9.001491742724482e-18,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.122755775273789e+56,,,,,,,,,
$R_{x}$,,2.1283359185097716e+249,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,4.6985064307902337e-250,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,6.080991961671711e-94,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1.6444685444463114e+93,,1.7300773633862838e-30,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,5.780088342654794e+29,,,,2.555788734042538e-36,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1229.9289849433083,9.549664050143124e-19,,,,,,,,,,,
