ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.552352777421431e-83,1e-160,,,,,,,,,
1,$R_{y}$,3.917953696864237e+82,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1.2806597071697685e-66,,,,,,,
3,"$R_{x,z}$",,,,,2.346546723916837e-83,,,,,,,
4,"$R_{y,z}$",,,7.808475541172287e+65,4.261581454175385e+82,,2.0178127324982023e-56,,,,,,
5,"$R_{x,y,z}$",,,,,4.955861284322087e+55,,3.5474362281245226e-82,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.818937214633694e+81,,6.2486117181921734e+38,8.310594798324689e+51,,7.891026183205667,4.722799093305476e-23
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.6003554791036312e-39,,427522979.50218666,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.2032833079547897e-52,2.339055554778396e-09,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.0002876892780778731,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,0.12672623012305834,,,3475.9724334575835,,9.246232848825253e-28
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,2.1173883966766463e+22,,,,1.0815215410966547e+27,
