ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.432530840219427e-111,1e-160,,,,,,,,,
1,$R_{y}$,4.1109447965304926e+110,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,6.107843010653657e-134,,,,,,,
3,"$R_{x,z}$",,,,,1e-160,,,,,,,
4,"$R_{y,z}$",,,1.6372391992651767e+133,1e+160,,1.845929766423098e-76,,,,,,
5,"$R_{x,y,z}$",,,,,5.417324202630547e+75,,,,9.873770643518353e-27,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,0.00047782095571426554,3.3816603291429985e-82,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2092.834121318854,,4.198210457242287e-46,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1.0127843111855661e+26,2.957127276746409e+81,2.3819672934092926e+45,,3.87955119760611e-46,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,2.5776177425292217e+45,,43165933564283.04,3.000366578675414e+22
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,2.31664166028239e-14,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.3329260734582467e-23,,
