ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,1.8410177511473848e-105,1e-160,,,,,,,,,
1,$R_{y}$,5.431778153017623e+104,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1.6320979915238027e-159,,,,,,,
3,"$R_{x,z}$",,,,,9.712741667893557e-07,,,,,,,
4,"$R_{y,z}$",,,6.127083086882261e+158,1029575.4115499647,,7.93476074425524e-64,,,,,,
5,"$R_{x,y,z}$",,,,,1.2602774453205777e+63,,,,1.52018040663393e-85,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,4.480850417488863e-53,2.462653901605769e-77,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.231719220300184e+52,,2.1529672476334584e-15,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,6.578166615199685e+84,4.0606599219969635e+76,464475249727649.1,,,3.745324475818245e-30,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,3.694285443047878e-30,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,2.669995634441069e+29,2.7068834160659086e+29,,1.2794920349680616e-06
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,781560.1603373496,
