ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,9.591144801901607e-11,1e-160,,,,,,,,,
1,$R_{y}$,10426284042.773842,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,7.11995295047451e-153,,,,,,,
3,"$R_{x,z}$",,,,,1.4736300932126702e-93,,,,,,,
4,"$R_{y,z}$",,,1.4045036630942273e+152,6.785963483006062e+92,,2.538734880844252e-91,,,,,,
5,"$R_{x,y,z}$",,,,,3.938969789816933e+90,,,,1.3788700514808816e-117,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,4.662383428030606e+18,1.482416087655429e-21,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.1448257429621155e-19,,3.3806986197321167e-62,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,7.252315030890823e+116,6.74574438531349e+20,2.957968492557432e+61,,4.454897206526374e-47,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,2.244720705418323e+46,,4.3869761382470164e+19,9075269215260.352
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,2.2794744454652723e-20,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.1018956862662195e-13,,
