ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.124026659715315e-133,1e-160,,,,,,,,,
1,$R_{y}$,4.7080388347575204e+132,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1.2215470984440277e-130,,,,,,,
3,"$R_{x,z}$",,,,,1e-160,,,,,,,
4,"$R_{y,z}$",,,8.186340103249166e+129,1e+160,,2.1480664572989965e-73,,,,,,
5,"$R_{x,y,z}$",,,,,4.655349449743801e+72,,,9517552968453.695,,,,2.9403402944033865e-104
6,"$R_{x,y,z}HF_{x}$",,,,,,,,2.4465354271128544e-17,4.928692214319128e-10,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,1.0506902386722085e-13,4.087412709899302e+16,,2.255424567436319e+29,5.333915122679018e-21,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2028935783.6034899,4.433755020841478e-30,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,1.874795486992562e+20,,,17.15127319649553,5.181802903381015e-46
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,0.05830470942555606,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,3.400966894557714e+103,,,,1.9298302514507478e+45,,
