ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,3.6585022893683593e+43,1e-160,,,,,,,,,
1,$R_{y}$,2.733358956494326e-44,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1.9845931532633816e-115,,,,,,,
3,"$R_{x,z}$",,,,,3.152615480107513e-91,,,,,,,
4,"$R_{y,z}$",,,5.038816133954921e+114,3.171969453013969e+90,,8.892005739066026e-122,,,,,,
5,"$R_{x,y,z}$",,,,,1.1246056619223857e+121,,,,2.4860863786780105e-18,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,7.151111428986376e+25,1.4410851910250368e-39,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.3983840273367738e-26,,3.468304694954465e-20,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,4.022386384385225e+17,6.939215018153819e+38,2.8832530240343515e+19,,,3.4151260134932067e-25,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.806281526561457e-23,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,2.9281496379606115e+24,1.7222726721489353e+22,,2.215766388231216e-46
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4.5131111533751164e+45,
