ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.2374960659543858e+55,1e-160,,,,,,,,,
1,$R_{y}$,4.469281601053712e-56,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,8.289784248910146e-117,,,,,,,
3,"$R_{x,z}$",,,,,1e-160,,,,,,,
4,"$R_{y,z}$",,,1.206304012232248e+116,1e+160,,1.4499862893863035e-76,,,,,,
5,"$R_{x,y,z}$",,,,,6.8966169357590476e+75,,,,9.701560003519497e-55,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,1.3445950218546782e+17,0.007905449268936257,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,7.43718356639936e-18,,9.361379309405115e-18,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1.0307620626344872e+54,126.49502463185856,1.0682186534150242e+17,,,4.27223909996681e-25,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,9.105816625621589e-15,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,2.340692963574461e+24,109819914139961.84,,2.4052211900699924e-10
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4157621777.691472,
