ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,1.1969763380794755e-105,1e-160,,,,,,,,,
1,$R_{y}$,8.354384027377516e+104,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,9.132489743453902e-150,,,,,,,,
3,"$R_{x,z}$",,,1.0949916485992139e+149,,8.517847114395244e+56,1e-160,,,,,,
4,"$R_{y,z}$",,,,1.1740055750824529e-57,,,,,,,,
5,"$R_{x,y,z}$",,,,1e+160,,,,3.8016573037959154e-73,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,5.3360084595920906e-17,2.1783617057449883e+22,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,2.6304317303969253e+72,1.8740599974169544e+16,,6.809464081167478e+30,1.1216127133291763e-27,,1.1914855302656858e-49
8,"$R_{x,y,z}HF_{z}$",,,,,,,4.5906058546783223e-23,1.4685443495702392e-31,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,8.915733462326716e+26,,,34342627513.995087,221494488447.70474
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,2.911833113504453e-11,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,8.392884131601775e+48,,4.514785026969652e-12,,
