ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,2.56675267742231e-71,1e-160,,,,,,,,,
1,$R_{y}$,3.895973339372382e+70,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,7.708058664713132e-138,,,,,,,
3,"$R_{x,z}$",,,,,8.590882178010014e-98,,,,,,,
4,"$R_{y,z}$",,,1.297343525131586e+137,1.1640248105831191e+97,,1.1353548613261443e-89,,,,,,
5,"$R_{x,y,z}$",,,,,8.80781889489561e+88,,,1.5736327088657163e-50,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,4.718204483001766e-41,5.942686944365507e-26,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,6.354723019965732e+49,2.1194503197194848e+40,,1.2945770960419158e+19,,8.035019789539216e-111,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.682740499982317e+25,7.724530296862459e-20,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.6790883632393227e-62,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,1.2445520063334491e+110,,5.955612711595385e+61,,3.7356948107679515e-06
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,267687.8199786424,
