ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,7.069743790739795e-11,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,14144784161.907482,,4.7272574523922735e-23,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,5.919063291995895e+88,,1.2618435758268151e+63,,,,,,1.8787732719725948e+32,,,,5.979833911800193e-27,,2.115391450689745e+22,,,,
$S_{x}$,,5.32685452598801e-55,9.476728324928778e-95,,,,,,,,,,,,,,,,,,
$S_{y}$,1.8772804759756844e+54,,2.654095350986447e-43,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0552164900300818e+94,3.767762147762816e+42,,,165407899.81185222,,,5.703791273154087e-90,,,,3.250713814215857e-38,,,,4.915346231837147e-97,,2.732009868788138e-64,,,
"$S_{x,z}$",,,,,5.741096445648038e-43,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,6.0456604620303975e-09,1.7418275576227894e+42,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,4.851098591373987e-56,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,5.31578732567358e-19,2.4634888406851193e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,1.753219835912787e+89,,,2.0613887373432417e+55,1.8811888789649556e+18,,7.280217865006779e+16,,,3.3130125901365446e-23,,,,1.966253263274998e-37,,1.6966524944558967e-30,,,
"$S_{x,y,z}HF_{y}$",,,,,,,405928366098013.6,1.373585267010507e-17,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.6497693406073903e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,60614534.12825779,,3.325638345097851e-14,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,3.076247424878962e+37,,,,,3.0184008445279873e+22,,,30069415138722.09,,,,,2.747629664537954e+28,,2.288935487395424e+35,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2.75716558726069,7.562074203930573e+24,2.0885423886518077e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.362691310460437,,0.0019334635991257734,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.3223885048367098e-25,517.2065305248859,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,2.0344446816846973e+96,,,,,5.0858148269994285e+36,,,,3.639500668181065e-29,478802827.0020024,,,,19537.121920256857,182443502.48451468,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,5.118461173972409e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,3.66030888623246e+63,,,,,5.893958858797966e+29,,,,4.368843095433408e-36,,,,5.4811488838024105e-09,,,,,
$S_{x}$,,8.608249502050757e-91,2.3899762326846597e-119,,,,,,,,,,,,,,,,,,
$S_{y}$,1.1616763660971591e+90,,2.791108945585362e-84,,,,,,,,,,,,,,,,,,
$S_{z}$,4.1841420275410025e+118,3.582805327544375e+83,,2.244550837213106e-22,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,4.455234354333567e+21,,9.224808726049976e+96,,1.1815821678332456e-46,,,,,1.775240691218813e-110,1.6081866838637551e-50,,,,,3.028060912746687e-48,,,
"$S_{x,z}$",,,,1.0840333167842232e-97,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.965571623184005e-69,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,8.463228603337623e+45,,3.372031186777892e+68,,1.5181468038107806e+23,392449.7055522576,,,2.462424012223735e-31,1.128417076162087e-44,,,,,8.684669591497128e-28,,,
"$S_{x,y,z}HF_{y}$",,,,,,,6.586978265144367e-24,,1.3479751145133867e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.548097210552863e-06,7418534580002211.0,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,4.9177537661180584e-08,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,20334486.99464619,,1.8397665711896732e-63,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,5.63303897294872e+109,,,4.0610390210454957e+30,,,,5.435472171631841e+62,,2552839217.368298,,,,,8.849695849415213e+29,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,6.218183560614033e+49,,,8.861971527417396e+43,,,,,3.9172071362601997e-10,,1.9592003499271636e+18,6044.231856251703,,1.122366583378072e+18,4853690314.957248,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.104123220665904e-19,,3.3935940391327776e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0001654469953805089,2946728419.6890764,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.3412663481807606e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,8.909744951513293e-19,,,74556407.18611628,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.30244347394228e+47,,,1.1514542832798925e+27,,,,,1.1299823372642576e-30,2.0602880182082819e-10,,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,5.854863673588082e-11,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,17079816982.094856,,789311462090.6074,,,1.0476735400576058e-54,,,,,3.659335474974203e-87,,,1.825481194490586e-92,,,1.4078950312395692e-73,,,
"$S_{y,z}$",,,1.2669269965386706e-12,,8.999914858701123,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,0.11111216224820164,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.7536992142469085e-62,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,9.544958059597605e+53,,,5.702232126673045e+61,,7321498960458.912,391611.49258836405,,,2.865673168674739e-53,,,2.724218549081339e-34,,,3.860691463276264e-40,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.3658405271935185e-13,,1.2288980563865028e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.553551208087586e-06,81373714833.63206,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.9646144652701256e+16,1.6164855080928785e-63,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.3731198835963425e-17,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,2.732736604334014e+86,,,,3.489581474018758e+52,,,6.186260223141715e+62,,,,,29580577.85944855,,,1.6370255516267608e+37,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.535593482499889e-39,1.1349946471717095e-35,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.3270354913947082e+38,,6.509251098598108e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,5.478007678293598e+91,,,,3.67077744308444e+33,,,,,3.3805965683005835e-08,8.810614239387801e+34,1536275041.2491682,,5.223804432105154e+36,,1.888888974922218e+17,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,1.9143136252461265e-37,,1018252.5328053294,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,9.820746502294054e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,7.102802253088133e+72,,,,2.5902095764766935e+39,,,,,6.108640143131976e-38,,,5.294117405927359e-18,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.361934478382536e+75,1.850082028920952e+18,,,,,3.566991138199567e-37,,,1.1752153050252134e-68,1.2403214410714485e-107,,,,,1.2641320345838422e-39
$S_{z}$,1e+160,1.0681553073342703e-76,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.405165740587423e-19,,,1.615970875106191e+55,,,,,,,,,,,,,
"$S_{x,y}$",,,,6.188230341306656e-56,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,8.508267798422704e-85,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.4447246673271613e+30,2.9737278495752e-06,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,6.921734103495775e-31,,3.734949117504709e-09,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,2.803483275556295e+36,,,,1.1753273682633543e+84,336278.2509310161,267741264.61677006,,,,9.203141967443797e-29,1.2039779851100774e-31,,,,,6.514239308418095e-20
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.6019238038010836e-25,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,3.843310086710171e+24,,5.226184941007449e-31,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,8.509079108517446e+67,,,,,,,1.0865854330374449e+28,,1.9134416621070253e+30,,4668.466393038236,,,,,3.950973057976182e+30
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,8.062426133149424e+106,,,,,,,8.305799710354105e+30,,,0.00021420310564754873,,28970811.829109676,1.5267708905531418e+53,,1.4776862347473837e+44,7.242884657849185e+46
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.451750009280743e-08,,1.901112014945494e+35,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.549771194797306e-54,5.260079322725603e-36,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,7.168891737466148e-10,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,6.767336505445311e-45,,,1394915750.7481778,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,7.910566085204892e+38,,,,,,,1.5350986548924283e+19,,,2.531022068047796e-31,1.38066536641073e-47,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.821481374543817e-34,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.616786272102068e+33,,,3.8260510477131023e+65,,4.980683132736421e-28,,,,,2.5490896750120313e-47,,,,1.1406607245788666e-87,,6.054134820626562e-91
"$S_{y,z}$",,,,,5.290711294117806e-66,,,,,,,,,,,,,
"$S_{x,z}$",,,2.613660893515045e-66,1.8901050244639063e+65,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,3.2516800656789164e-59,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,2.0077567139883346e+27,,,3.075333304019904e+58,,29961.13594378671,333682605259767.25,,,1.4906050802638507e-60,,,,1.3947537416127018e-37,,1.7090190397376446e-43
"$S_{x,y,z}HF_{z}$",,,,,,,3.3376571631870264e-05,,4048719527.0499544,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.9968598429681822e-15,2.4699167065510134e-10,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.11285686925850294,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,8.860780974789067,,2.3595739970258733e-58,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,3.92296908893674e+46,,,,6.708685038313373e+59,,,,4.23805314544257e+57,,,,,1.2630371281476766e+25,,4.7108424991653803e+27
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.3664466666368794e-33,1.2969337387982187e-28,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.318251230845447e+32,,6.760733865985914e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.71049414541897e+27,1479129.3664599392,,9.5134322613762e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,8.766848708402766e+86,,,,7.169724447870899e+36,,,,,7.917423626861729e-26,,,105114.53411613837,,3.290909000704759e+22,0.00014734690479320563
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,3.038674116439703e-23,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.6517636782599875e+90,,,,5.851309884490885e+42,,,,,2.1227625423205507e-28,,,,6786.705166311111,,
$S_{x}$,,2.070779508918633e-137,2.7614853298048853e-134,,,,,,,,,,,,,,,
$S_{y}$,4.829099359410809e+136,,2.057461818649104e-36,,,,,,,,,,,,,,,
$S_{z}$,3.621239588734863e+133,4.8603575091205514e+35,,2.0140324098152476e+26,,,,,5.1544217283998407e-23,,,9.085051828684378e-102,,,,,1.4193471111675942e-69,2.6634931112664498e-76
"$S_{y,z}$",,,4.965163396212341e-27,,3.3739227801952067e+65,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.963908972279865e-66,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,8.584646299876743e-48,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1211089461557726e+24,0.05991679724189601,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.91973972225403e-25,,9.542885148871086e-19,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,1.940081841751905e+22,,,1.1648703569934591e+47,16.689810637955187,1.0479011162764534e+18,,,,6.865482809471765e-87,,,,,2.4231270446432905e-50,6.212799287788714e-59
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,5.266077776615583e-30,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.8989465070959942e+29,,1.5053589782296632e-53,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.1007091856566895e+101,,,,,,1.456561800169944e+86,,6.64293377501241e+52,,,,,,57.58050555898632,2.5902430039762786e+21
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,329537.68741725624,22713.4336265525,,3.7627733141208135e-09,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.034554280687821e-06,,1.269763036811672e-16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.4026808823434696e-05,7875485196914875.0,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.4812238881589453e-26,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,7.04549290396887e+68,,,,,,4.126898761708181e+49,,,0.017366988884381804,265761425.5547185,,,4.03026911344947e+25,,1.705399076226924e-08
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,3.754468129728015e+75,,,,,,1.6095804059942908e+58,,,3.860641640436443e-22,,,,,58637301.61109445,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.2231007056828326e+19,4.0718947031269805e+35,,,,1.9218407111111544e-70,,,,1.117754693439661e-79,4.332881548751668e-85,,,,,2.5222701148605306e-34
$S_{z}$,1e+160,1.6069159849635994e-20,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2.455859183274208e-36,,,10068074258.475237,,,,,,,,,,,,,
"$S_{x,y}$",,,,9.932386018688794e-11,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.9654488563349323e-58,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,3.1441975257902956e-29,4.5573148098104886e-35,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,5.203344867337252e+69,,,,5.0878963183236855e+57,3.180461761061432e+28,,36011299.928749844,,,1.1264731219603347e-63,3.074264935954706e-47,,,,,9.818168275560496e-07
"$S_{x,y,z}HF_{x}$",,,,,,,2.1942745711735984e+34,2.7769061432898838e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,366.22551743497974,2.1929578984499796e-38,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.0027305579551199395,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,8.946506830785071e+78,,,,,,8.877264628025559e+62,,4.56005106485089e+37,,,3109576958.538987,,,,,2.1645155502323648e+39
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,2.3079329281182556e+84,,,,,,3.2528100890219867e+46,,,,3.215871526363004e-10,,70.55099253873755,2.4980829209426098e+26,,1.1106559703424858e+31,1.4556332747051194e+61
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.014174145026392483,,1794326232.2923915,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.0030696804198426e-27,5.57312255710837e-10,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,5.562777200584502e-18,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,9.003688150990954e-32,,,1.797663224575894e+17,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,3.964682426787962e+33,,,,,,1018519.9234048699,,,,4.619971429138719e-40,6.8698621924713755e-62,,,,,
$S_{x}$,,8.479568517154225e-78,6.105086667701568e-96,,,,,,,,,,,,,,,
$S_{y}$,1.1793052889153417e+77,,2.4523016731121987e+30,1926977.5850630144,,,,,3.919799565636215e-51,,,1.9216577516115076e-45,,,8.3040397536616e-76,,,1.431178922728125e-87
$S_{z}$,1.6379783849595672e+95,4.077801727920803e-31,,,,,,,,,,,,,,,,
"$S_{x,y}$",,5.189473960421282e-07,,,6.980078617328567e+27,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.432648620199528e-28,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.485093954982187e-88,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.0001785864272597337,5.725152262370277e-22,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5599.529680638123,,8.783237928409596e-10,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,2.5511508516065972e+50,,,,6.733580704743995e+87,1.7466784360875476e+21,1138532290.8827002,,,,4.312965449659204e-44,,,4.568886678836897e-33,,,1.3020931356254468e-39
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.309040087965155e-08,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,43308039.78727158,,4.3561884694471376e-30,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,5.203840273646008e+44,,,,,,,2.318590333430602e+43,,2.2955847916445044e+29,,,,3.994214365372536e-20,,,5.0361327511307315e+26
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,411554840.5293293,1.777145666399944e-24,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.4298098370409893e-09,,0.0003141232793248671,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,1.2042331559877926e+75,,,,,,,2.1887170120283447e+32,,,2.503621259463201e+19,5.627000751298861e+23,3183.4635183653404,,3.3655867375217006e+28,,6.66652430674303e+25
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,2.9712501206739506e-29,,6973.422888606238,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.0001434016000426252,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,6.987246556802218e+86,,,,,,,7.679942184163811e+38,,,1.9856505962347323e-27,,,1.500032031666822e-26,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.838723339596466e+34,1.7002384742829849e+37,,,8.897865540359572e-45,,,,,1.8972936113556318e-67,,,,,9.089582382956626e-93,2.586312475726742e-87
$S_{z}$,1e+160,1.0163920312460121e-35,,,,,,,,,,,,,,,,
"$S_{x,y}$",,5.881527886384964e-38,,,13985363.593356833,,,,,,,,,,,,,
"$S_{y,z}$",,,,7.150332512449005e-08,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.8735286753820086e-87,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,1.1238650387153288e+44,,,,5.337521721123921e+86,,17632523.309269197,1.6722266463497546e+27,,,2.1902651099575263e-48,,,,,2.0222735827264556e-22,8.196795892541946e-17
"$S_{x,y,z}HF_{y}$",,,,,,,5.671338029505468e-08,,381219006.6064324,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.98005062401598e-28,2.6231640675576086e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,5.668040420755107e-12,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,176427817334.9332,,3.845245260413491e-72,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,5.270665510149965e+66,,,,,4.5656573510381675e+47,,,,2.600614349089574e+71,,,,,,3.0627584448361064e+34,3.2707385120013765e+34
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,16163724987908.877,3.688979276907924e-30,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.18669273789328e-14,,0.32769901015236824,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.7107769519328738e+29,3.051580776930135,,,1.0779344103001986e-07,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.9202073948324586e-24,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,1.1001605550933173e+92,,,,,4.944929353484344e+21,,,,,3.2650305860262246e-35,,,9277002.29665649,3.4244143130709836e+23,,4.6088443085101357e+17
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,3.866508820512899e+86,,,,,1.2199888994550594e+16,,,,,3.0574134750628426e-35,,,,,2.1697413344024677e-18,
$S_{x}$,,2.9072526407956024e-103,2.026758027563413e-156,,,,,,,,,,,,,,,
$S_{y}$,3.4396735459713563e+102,,1.1452048830002279e+38,1.4509869473619343e-42,,,,,,,,,,,,,,
$S_{z}$,4.9339881051425225e+155,8.73206196414551e-39,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.8918607560055465e+41,,,42868.434314991704,,7.756106383412913e-98,,,,,1.1912457219453003e-128,5.622189088934027e-93,,,,,3.5353608550529533e-96
"$S_{x,y}$",,,,2.3327187381095597e-05,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.8707415953635122e-60,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.2893067095348051e+97,,5.345473701330116e+59,,926439.7491182031,3.4756149315951263e+41,,,2.384424321358258e-72,5.233191331301793e-63,,,,,1.1391499619775211e-47
"$S_{x,y,z}HF_{z}$",,,,,,,1.0794010090260187e-06,,2.1703775585782964e+16,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.877188698061704e-42,4.6074932725301905e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,2647153894125166.5,7.732612721778418e-28,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.777642101652276e-16,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,8.394573693553361e+127,,,4.193884414961689e+71,,,1.2932239541540247e+27,,,2.459890805788272e+16,,,,,1.1948050662978722e+21
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.7786666086494096e+92,,,1.910879875571534e+62,,,,,4.06522109699723e-17,,20640203010.52393,2.0908409804650892e+32,,2.683866040929254e+21,7.180812239747442e+17
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.844913586800114e-11,,7.666368565189524e-14,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.782764492101923e-33,13043985447564.75,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.002889851511268021,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,3.7259683782643743e-22,,,346.0385407695968,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.828565572226493e+95,,,8.778475471868848e+46,,,,,8.369566117580337e-22,1.392600121842444e-18,,,,,
$S_{x}$,,2.134849418682615e-121,5.311498335145702e-159,,,,,,,,,,,,,,,
$S_{y}$,4.6841711234935043e+120,,2.3403118783773755e-46,,,,,,,,,,,,,,,
$S_{z}$,1.8827079232673215e+158,4.272934770955984e+45,,3137358590032.4,,,,,4.711040145225507e-41,,,1.5308223863755122e-76,,,2.7742614112498525e-32,,,8.65405634044272e-96
"$S_{y,z}$",,,3.187394654780832e-13,,1.1011431343149259e+95,,,,,,,,,,,,,
"$S_{x,z}$",,,,9.081471507536103e-96,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.1907538348536073e-60,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,7.582809812537334e-22,8.802295242281111e-13,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.3187723610667528e+21,,0.0014049849577376762,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,2.1226734843545514e+40,,,3.1340556237108784e+59,1136067323891.3655,711.7513924207502,,,,4.9087710814025314e-61,,,2.1684418751814733e-76,,,7.186955606685233e-38
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,0.004490207148445275,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,222.70687452498666,,1.44707142090158e-22,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,6.5324364792422044e+75,,,,,,2.0371697588193103e+60,,6.91050894624788e+21,,,,1.2895735089261135e-24,,,1.4441496790197312e+27
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.7679756346397936e-17,1.1643675633444115e-26,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.6561865469584904e+16,,0.0085830910490784,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,3.6045629872690434e+31,,,,,,4.611606201878534e+75,,,7.754501725401799e+23,8.58835329565263e+25,116.50814307828809,,,1.50385670413713e+17,1.0040236235421252e+40
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,9.218094744604791e-11,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,6.6495697179723745e-18,10848228703.499544,,
