ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
"$S_{x,z}$",,,,1.5164328967822432e-65,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.3772022483052196e-91,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,28152822393.383038,0.02422361968525814,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.5520417314714324e-11,,3.279895205698675e-29,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,1.0346153982254737e+50,,4.206625669788637e+90,41.282021968359,3.048877897874736e+28,,,,2.7133028930983696e-40,9.52662585468082e-36,,,,,2.779488016267681e-33,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,5048.129909134404,3.712684148936708e-54,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,0.00019809315885285306,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0765097675629401e+76,,,,,3.685545032748194e+39,2.6934690910520744e+53,,,6.012872379415922e+16,,,,,2.2074422038644256e+27,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.3306397681098392e+62,,,,,1.0496895913138642e+35,,,1.6630986605059754e-17,,4.789233778874725e+16,3.4868082403082417,,12268581540485.04,3.7756832127841406e+33,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.088016676928557e-17,,4.847645782039185e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.2867952382467691,20628569927799.992,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.5874502674047515e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,8.150901525984109e-14,,,38648.08582400364,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.2390248591390898e+52,,,,,3.597784894726073e+32,,,4.530129931598503e-28,2.64852728272882e-34,,,,,,,,
$S_{x}$,,2.8565998402305456e-103,2.1242316066984877e-86,,,,,,,,,,,,,,,,,,
$S_{y}$,3.500665322165997e+102,,3.8218418850548206e-79,,,,,,,,,,,,,,,,,,
$S_{z}$,4.707584600693399e+85,2.6165394332781406e+78,,,7.385261708077259e+42,,,,3.477730442624772e-73,,,6.276124724972771e-44,,2.701577238163375e-33,,,,8.572495889387635e-85,,,
"$S_{x,z}$",,,,,2.156305962713355e-21,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.3540481563521305e-43,4.6375607974559646e+20,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,6.873935552443806e-52,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1378712031.4482672,0.0018004279705796892,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.253146249471333e-10,,4.679813229627571e-30,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,2.8754384978879e+72,,,1.4547706948525033e+51,555.4234972688339,2.1368374140853952e+29,,,,4.215981269738818e-45,,4.4323613576077134e-20,,,,5.720590737164573e-20,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.5429652252986965e-11,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,64810274632.49628,,1.3155690678565742e-43,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.5933399092930525e+43,,,,,,2.371927046208036e+44,,7.601273277345114e+42,,,4.5564067284014655e+20,,,,1.209542933753742e+28,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,9.230638278415437e-30,301582243.4308958,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,3.7015414028282025e+32,,,,,,2.2561337384723788e+19,,,2.194711885062184e-21,1.0833487022651084e+29,,1.3549169863879148e+20,6.237364275180005e+22,,9.635255105409859e+32,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.31584508631437e-09,7.380525966139878e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.6032412985389426e-23,,,4368649244.12156,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.289037054978943e-10,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.1665214109206574e+84,,,,,,1.748071214924305e+19,,,8.26758581356481e-29,,1.0378552400117924e-33,,,,,,,
$S_{x}$,,1.97097618393488e-155,1.724419992838657e-131,,,,,,,,,,,,,,,,,,
$S_{y}$,5.0736280232650415e+154,,6.139794713514685e-05,,,,,,,,,,,,,,,,,,
$S_{z}$,5.799051299294252e+130,16287.189501610495,,1623892967082.7866,,,,,4.70948627995035e-59,,,2.1343333800252518e-97,,2.8306223731504157e-50,,,,1.204597128204261e-66,,,
"$S_{x,z}$",,,6.15804132581738e-13,,1.7052782119697625e+66,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,5.864145762144597e-67,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.5321577053196321e-68,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.388235724332044e-21,1.0563871130856621e-41,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.187191363949997e+20,,1.514210870892805e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,2.1233738470739157e+58,,,6.526743275369191e+67,9.466226798990782e+40,660409999176919.5,,,,1.4819529642251244e-50,,8.285707117030438e-21,,,,5.441702678194729e-16,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.5598628460068375e-23,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,6.410820044595231e+22,,1.4980758541550442e-26,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,4.685303661362258e+96,,,,,,6.7478524901961e+49,,6.6752294099555264e+25,,,4.5321227677481066e+24,,,,8.085882150778566e+46,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.072241372224601e-08,3.1145288844486467e+18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,3.5327919735440503e+49,,,,,,1.2068975959150192e+20,,,2.2064715614419986e-25,93262583.02505895,,858003005.632818,,5.2840152596509266e+29,3.608231629831778e+20,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.2107584713475087e-19,1.1654970826849873e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.9100373280544368,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.8925002121702088e-30,,1.0988560240027667,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,8.3015306660305435e+65,,,,,,1837660120621929.2,,,1.2367234413671399e-47,,2.771440701678627e-21,,,,,,,
$S_{x}$,,1.1456017592934801e-141,6.875049494477796e-95,,,,,,,,,,,,,,,,,,
$S_{y}$,8.72903687418151e+140,,8.271312616317063e-12,,,,,,,,,,,,,,,,,,
$S_{z}$,1.4545349830619018e+94,120899795037.03806,,6.02001035378107e+81,,,2.5259086137598593e-116,,,,,3.4918900016176635e-123,,7.917276596001389e-93,,,,3.2687238939931017e-38,,,
"$S_{y,z}$",,,1.6611267111391534e-82,,4.531623504849708e+28,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.2067146551998592e-29,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.4209381996927693e-72,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,3.958971415483961e+115,,,7.037603748116678e+71,,1154089.9748283387,2.3513660362332145e+18,,,1.4057464165979278e-62,,5.498523912311551e-23,,,,2.359105417066516e-14,,,
"$S_{x,y,z}HF_{y}$",,,,,,,8.664835687085331e-07,,5.0251764729715355e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.2528470029360304e-19,1.989979865142269e+16,,,,,,,,,,,,,
