,ChampLatex,ExpVal,RunIdx,time
0,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.9999995088352123,0.0,0.0
1,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.9867170936694383,0.0,0.01
2,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.9486431368236152,0.0,0.02
3,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.8903067353433781,0.0,0.03
4,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.8184838550507587,0.0,0.04
5,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.7412273657013992,0.0,0.05
6,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.6667200247853311,0.0,0.06
7,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.6021197440425545,0.0,0.07
8,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5525673090385329,0.0,0.08
9,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5205022300453767,0.0,0.09
10,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5053862766523228,0.0,0.1
11,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5038734153351906,0.0,0.11
12,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5103984416352046,0.0,0.12
13,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5180945044192533,0.0,0.13
14,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5199012103109515,0.0,0.14
15,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5096972612434879,0.0,0.15
16,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.48328867327341296,0.0,0.16
17,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.43910587622659447,0.0,0.17
18,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.3785069633334458,0.0,0.18
19,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.3056433777938604,0.0,0.19
20,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.22690950304679225,0.0,0.2
21,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.1500592071327107,0.0,0.21
22,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.08312121690240049,0.0,0.22
23,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.03327406991103532,0.0,0.23
24,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.005846149630178488,0.0,0.24
25,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.003586430262565221,0.0,0.25
26,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.026310209181890865,0.0,0.26
27,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.07096764429976243,0.0,0.27
28,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.13211990607050228,0.0,0.28
29,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.2027476697465601,0.0,0.29
30,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.2752684576350799,0.0,0.3
31,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.3426100730352317,0.0,0.31
32,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.39918121448405885,0.0,0.32
33,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.4415979769063224,0.0,0.33
34,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.46906341610766167,0.0,0.34
35,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.4833506565631077,0.0,0.35
36,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.48839998158883857,0.0,0.36
37,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.4895978778279392,0.0,0.37
38,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.4928525063077942,0.0,0.38
39,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5036087026152418,0.0,0.39
40,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5259523115592467,0.0,0.4
41,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.5619377390731046,0.0,0.41
42,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.6112367815240742,0.0,0.42
43,"$\hat{S}_{x,y,z}\hat{A}_{z}$",0.67115676348914,0.0,0.43
