,RunIdx,TrueExpVal,t
0,0.0,1.0,0.0
1,0.0,0.8988246099417637,0.01
2,0.0,0.9732523468845437,0.02
3,0.0,0.8402789270613646,0.03
4,0.0,0.8671513714971901,0.04
5,0.0,0.8564897430140842,0.05
6,0.0,0.7830241828270228,0.06
7,0.0,0.6905497501955926,0.07
8,0.0,0.7116596552479846,0.08
9,0.0,0.7022580823045171,0.09
10,0.0,0.5859611956765169,0.1
11,0.0,0.6096818497794543,0.11
12,0.0,0.48473709950097554,0.12
13,0.0,0.46309113675563596,0.13
14,0.0,0.3507585634586788,0.14
15,0.0,0.28959469858562564,0.15
16,0.0,0.19106029270300584,0.16
17,0.0,0.15864924419732274,0.17
18,0.0,0.16930133065416308,0.18
19,0.0,0.157718334941867,0.19
20,0.0,0.14932048191656622,0.2
21,0.0,0.06065475588645247,0.21
22,0.0,0.1658535786382475,0.22
23,0.0,0.16407622747925016,0.23
24,0.0,0.07952119028233312,0.24
25,0.0,0.14603631593316085,0.25
26,0.0,0.13551816465594824,0.26
27,0.0,0.14765943091612027,0.27
28,0.0,0.04987064041708705,0.28
29,0.0,0.14997835158538797,0.29
30,0.0,0.1855660714962168,0.3
31,0.0,0.10289152294259346,0.31
32,0.0,0.1824137086269303,0.32
33,0.0,0.16249314876608462,0.33
34,0.0,0.26289598013424403,0.34
35,0.0,0.29567209983128667,0.35
36,0.0,0.3501672129603599,0.36
37,0.0,0.4581846429745116,0.37
38,0.0,0.518165400955096,0.38
39,0.0,0.5013627830610514,0.39
40,0.0,0.6321397775315396,0.4
41,0.0,0.6732720751147241,0.41
42,0.0,0.6911879640644489,0.42
43,0.0,0.7304914735896344,0.43
44,0.0,0.6778491551856832,0.44
45,0.0,0.781139532371832,0.45
46,0.0,0.8808983507621435,0.46
47,0.0,0.8359839508528548,0.47
48,0.0,0.9317053473222996,0.48
49,0.0,0.8780827819109989,0.49
50,0.0,0.9695263060668192,0.5
51,0.0,0.8728001449263008,0.51
52,0.0,0.9423028768143273,0.52
53,0.0,0.821933537382004,0.53
54,0.0,0.8487966503725404,0.54
55,0.0,0.8538158744712567,0.55
56,0.0,0.821768324630542,0.56
57,0.0,0.757109648902855,0.57
58,0.0,0.6764021186177885,0.58
59,0.0,0.6169346313230748,0.59
60,0.0,0.6107568560179844,0.6
61,0.0,0.5311478039707062,0.61
62,0.0,0.49604734512676024,0.62
63,0.0,0.412185509025358,0.63
64,0.0,0.41081123109458517,0.64
65,0.0,0.35756295484991873,0.65
66,0.0,0.2811409419850413,0.66
67,0.0,0.2876521670346075,0.67
68,0.0,0.20152042403504,0.68
69,0.0,0.2007482736424292,0.69
70,0.0,0.20352828186466454,0.7
71,0.0,0.16515706171826466,0.71
72,0.0,0.22223596062167872,0.72
73,0.0,0.17016535556004797,0.73
74,0.0,0.11074592329911093,0.74
75,0.0,0.1720679720008645,0.75
76,0.0,0.15756644663918323,0.76
77,0.0,0.1862064564516414,0.77
78,0.0,0.16524523944963176,0.78
79,0.0,0.21500497870547453,0.79
80,0.0,0.21732570585455435,0.8
81,0.0,0.23380656949693868,0.81
82,0.0,0.32207983091934667,0.82
83,0.0,0.1908255213199636,0.83
84,0.0,0.26178370894961694,0.84
85,0.0,0.30823212622637197,0.85
86,0.0,0.4229116646515568,0.86
87,0.0,0.4492324041726042,0.87
88,0.0,0.5385630563572079,0.88
89,0.0,0.5853807096522806,0.89
90,0.0,0.5594752961623928,0.9
91,0.0,0.6055166765283762,0.91
92,0.0,0.7017560944855797,0.92
93,0.0,0.7020395191527122,0.93
94,0.0,0.686406245103946,0.94
95,0.0,0.6808846388604711,0.95
96,0.0,0.7644087181359649,0.96
97,0.0,0.8937769811575392,0.97
98,0.0,0.8432484966208509,0.98
99,0.0,0.8041186162240817,0.99
100,0.0,0.8262806106060453,1.0
101,0.0,0.8337429657647152,1.01
102,0.0,0.7857866921621495,1.02
103,0.0,0.8154324420976903,1.03
104,0.0,0.8036602751151515,1.04
105,0.0,0.7304844553905793,1.05
106,0.0,0.7158308261810755,1.06
107,0.0,0.7132662357206331,1.07
108,0.0,0.6491832682481696,1.08
109,0.0,0.6084593683664831,1.09
110,0.0,0.5031737759512549,1.1
111,0.0,0.5212792022660341,1.11
112,0.0,0.5977078669402945,1.12
113,0.0,0.5121364504511233,1.13
114,0.0,0.3904055460089697,1.14
115,0.0,0.3010665583011719,1.15
116,0.0,0.3126761596355669,1.16
117,0.0,0.313116805122059,1.17
118,0.0,0.35151603000636844,1.18
119,0.0,0.17040639077539194,1.19
120,0.0,0.20954546421219677,1.2
121,0.0,0.23299283025023831,1.21
122,0.0,0.16979855539518118,1.22
123,0.0,0.17239960186645698,1.23
124,0.0,0.21196145433218344,1.24
125,0.0,0.31790985797237725,1.25
126,0.0,0.20800575824164652,1.26
127,0.0,0.22467107192794267,1.27
128,0.0,0.2587965393859911,1.28
129,0.0,0.21391780665332866,1.29
130,0.0,0.21396990374839164,1.3
131,0.0,0.27228170107897676,1.31
132,0.0,0.2981440066456872,1.32
133,0.0,0.3305748548824688,1.33
134,0.0,0.3409765382344193,1.34
135,0.0,0.4107907224152821,1.35
136,0.0,0.4773439307046205,1.36
137,0.0,0.46230282767601183,1.37
138,0.0,0.4633619042387493,1.38
139,0.0,0.5658979856948939,1.39
140,0.0,0.49437951346435033,1.4
141,0.0,0.577270826164296,1.41
142,0.0,0.5919776292037112,1.42
143,0.0,0.628592333857355,1.43
144,0.0,0.6537414028612375,1.44
145,0.0,0.7377749793821193,1.45
146,0.0,0.6881937723785074,1.46
