HahnEcho Time,Normalised - LP1P0/LP1P1,Normalised - LP1P0/LP0P0,
4275.0,0.979141863898,0.824898196626,
4285.0,0.952210022523,0.80919911478,
4295.0,0.972,0.816280296076,
4305.0,0.96309125109,0.807963205296,
4315.0,0.964834110228,0.817410999477,
4325.0,0.942130667581,0.803269840556,
4335.0,0.957493131512,0.814974960842,
4345.0,0.9477428791,0.810768969759,
4355.0,0.960034706702,0.815222487664,
4365.0,0.960815468479,0.805351801008,
4375.0,0.941870677352,0.810457207633,
4385.0,0.974870425632,0.818883440709,
4395.0,0.966018459109,0.812558380903,
4405.0,0.981762997462,0.827660747767,
4415.0,0.962957324808,0.817322393781,
4425.0,0.910631961744,0.801481892185,
4435.0,0.913289402981,0.807405740574,
4445.0,0.960431023681,0.816037133245,
4455.0,0.951476689056,0.820000425632,
4465.0,0.945089812508,0.809019282139,
4475.0,0.948517136404,0.811591462902,
