ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz,yz}$","$\hat{S}_{y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz}$","$\hat{S}_{y}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{y,z}\hat{A}_{x,z}$","$\hat{S}_{y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y}\hat{A}_{z}$","$\hat{S}_{x,y}\hat{A}_{x,y}\hat{T}_{yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,1.6082900160421203e-06,,,,5.069190004958756e+20,145823.37900289692,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.9727017512103223e-21,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.857610945773888e-06,,,,693.6748270160683,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.0003609228562783e-19,84057072396220.36,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.1896678905093121e-14,8.333952782513952e-26,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,310490641.7695554,,,1.3344010986202983e-24,,,,,0.0014415976492928664,9.99639207362031e+18,,1.1999108059481325e+25,,1312567.1992325268,21.21272380411956,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,6.392727320012469e-09,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,7.618657548236096e-07,,156427757.65978542,,0.0718787211171372,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,3631797834816.058,,,3.454739520784787e-28,,,,,,,0.04714151795092895,,,13.912323208566127,,,,,,,,,,,,
$\hat{S}_{x}$,,9.99999999999997e-161,9.99999999999997e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.000000000000003e+160,,4.247874804030125e-101,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.000000000000003e+160,2.3541183441923906e+100,,5.769652506890912e-54,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.8303661127312256e-30,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.7332066338582122e+53,,3.5331118313702096e+29,2.4918840667838122e+61,3.2093761462087907e-52,,,,,,,,1.3455149456373963e-08,,,9954642554958.957,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,4.013027786203013e-62,,,4.3601031901486706e-79,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,3.1158703574876705e+51,,2.2935236997588154e+78,,4.199354828945665e+31,7.953971567394372e+26,1.5478349042029952e+17,,,,,2.8612175423770618e+17,,,3.607734477302781e+37,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.2572335612806168e-27,2.072904005351325,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.3813181803716995e-32,,0.4824150068784857,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.599499357221032e-13,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,6.4606373540524074e-18,,,,6251956247968.731,15097634.60849716,,,,,,,,,,,,,,,,,
