ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz,yz}$","$\hat{S}_{y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz}$","$\hat{S}_{y}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{y,z}\hat{A}_{x,z}$","$\hat{S}_{y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y}\hat{A}_{z}$","$\hat{S}_{x,y}\hat{A}_{x,y}\hat{T}_{yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,2.464533253691834e-27,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,3.245410593202987e-15,,,12.678116533350822,4.057563429107783e+26,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.3714234695413186e+31,,,1.467665000563324e-16,,,,,,,,7.573730671369331e-19,,0.07887606943582022,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,1.804794015683168e+50,,1.1367899673532911e-142,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,5.540798513903919e-51,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,2.5155857286974746e-42,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,8.79669973098222e+141,,,,5.448084765225971e+23,,,,3.419147144389586e-66,,,,,,,1.8121735463331462e-68,,,3.975217336432347e+41,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.8355074179146386e-24,,5.396331028510636e-56,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.853110927992857e+55,,185713.88195393523,1.287454940534404e+20,3.3542930172592063e-19,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.767262127130558e-21,4.4670978276000114e-12,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.384627091301885e-06,,223858988227.5444,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,2.9247059508418082e+65,,2.9812541565527875e+18,,,,1.31685891775027e+22,2.2689272965309583e+19,,,,,0.030883141081866888,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,7.593827907612198e-23,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.4073690749321695e-20,,,,,0.0033348468962928874,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.9955550727938545e-42,2.8835010377917314e-42,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,299.8638411591336,3.4680063814571366e+41,953.7666879893902,,,2.256671938444398e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5.011137069747523e+41,,0.001048474446206622,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,5.518235281733672e+67,,,,,32.380126015975506,,,,,4.4313042714101126e+17,,,48328523.11142624,6387652.274594148,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,1.5655204087694914e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.069171444975465e-08,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,5.2292870802257286e-33,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,1.9123065623638188e+32,,,2.678861895868507e-46,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,3.732928530366783e+45,1969.4022096829608,,3296014.5156754744,,,2.7671681683293235e-34,1.0706806464435e-49,,,,,,,1.4526644654508424e-33,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,0.0005077682938930909,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.033967220848429e-07,,,,1.417727633994858e-45,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,3.613802772976207e+33,7.0535410047853166e+44,4094226.812984337,519005186537641.75,,3.6801362948299015,,,,,,,59.77320289857804,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.9501169786786088e-34,,1.9267630188267363e-15,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,3.389696094179666e+33,2.44246360956023e-07,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,9.3398531422205e+48,,,,0.2717290665035603,,,1.34812044930899e+27,,,,,3.88465778649714e-06,,,,5.44266460862625e+29,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,1.837335334635665e-30,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.417734821191777e-28,,,,,838285476.2672242,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.1929110408221187e-09,21801.374737692026,1.902925210357146e+33,,,3.636876505217685e-23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,6.1643457100002334e+32,4.586866709240665e-05,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.622232183340609e-33,,5.255067275146968e-34,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,5.629931695257762e-06,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,6.883902124566973e+32,,,,0.016729904898969184,257422.9327164791,,,,,2.74961219762436e+22,,,8369731.627338382,177622.04838867337,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.1947814392682085e-07,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,1.0000000000000023e+160,,2.8516552370886957e-74,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,1.760860417517695e-37,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,3.506735270778793e+73,,5.679041848244344e+36,146299139417.1125,4.4878329019239635e-43,,,,,4.602969070083542e-47,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,6.835310200621937e-12,,,3.2660503682488628e-46,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,2.2282469553875164e+42,,3.061802137902006e+45,,2.3445651544922025e+83,5.237419895356593e+35,91979378.46606997,,2795106966.7297,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.9093370781414385e-36,1.1549455839914975e+37,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,4.2651832391349565e-84,,8.658416585688782e-38,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,1.0872002145229622e-08,,,,1.840883167275303e+33,1.7359388410282794e-10,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,5.432175261182398e-34,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,2.172510796345304e+46,,,3.5776806108068514e-10,,,5760571607.509238,,,1.3382040457585021e+23,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.00011404952438871688,,1.102090454344207e+24,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.6882011136182858e-15,9.073665378900725e-25,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,7.472701963273426e-24,,8768.120738423104,592346487591588.5,1935894574.6705198,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,9.060560054825493e-07,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,5.165570548541857e-10,,,,,1110195178834436.4,1103684.533791504,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.007425172300536e-16,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,1.2087664108953838e-30,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,8.272896988089356e+29,,4.0447890720638785e-130,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.46996214578101e-29,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.472316806101691e+129,,4.048645043844576e+28,1.9221431296069944e-16,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,5202526204198238.0,,,5.2728142448801194e-51,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.8965204415668453e+50,,496054860807176.8,2.953418574195736e+39,,13696630.852459773,,,,385350204970.7904,,,2.1557180509777748e+48,2.739580854582128e+25,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.015906060012813e-15,,7.7303211523823e+23,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.3859067886180547e-40,1.2936073162908938e-24,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.5312531060861383e-11,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,7.301065574242373e-08,,,28318559161.802742,,9.662342128036371e+32,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.0349457582322483e-33,,,,7.095140047754394e-26,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,19598.131982292118,0.0005112371726042211,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,2.595042086654139e-12,,,,,1.4094154495463402e+25,1956.0392975848008,3.7852934536000966e+17,,,,577303322.9086847,12407.014071950853,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5.102527123011261e-05,,2.6418031052491454e-18,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,1.1367096530394135e-09,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,3.65019341673174e-26,,,,,,,,8.05995700658347e-05,,879732126.2524078,0.007106457693606814,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,4.63882556230592e-49,,,,,,,,1.7321916578647089e-09,,,,140.71708340705808,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,1.1376674194930823e-153,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,8.789915074174998e+152,,,2.045849455000939e-21,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,5.462990600698064e-05,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,4.887945188516039e+20,18304.992138778704,,1.5706383282459693,7.493579511654077e-66,,,,,3.4425070512658566e-44,,,,,,,7.827084764838393e-48,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,0.6366838132090937,,4.173351099215643e-48,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.241473466228897e-26,268228227277825.25,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,1.3344757314508928e+65,2.396155933748166e+47,,2.3992012339799234e+34,1.6021857745783236e+25,,571.1433052806618,9.546905497093048e+16,,,,,,,1.584120271523338e+19,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,4.168053874918806e-35,,3.728168396550676e-15,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,0.0017508740639244587,,,4.072240976794157e+17,,1.4160807108486744e-08,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.455650354923846e-18,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,2.904859699945381e+43,,1.0474598290561183e-17,,,,70617443.7896755,,22344737360.10266,,,,,,13.40755695278723,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.53645520261286e-08,,254098.3045610252,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,4.4753267128820074e-11,,13268837.578352535,8757179416674.66,,,,2.13084990508378e-06,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.1419201919009295e-13,3.9354847397647095e-06,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,1.277614884780984e+47,,6.312651999828079e-20,,,,,0.07458480344490462,469296.3111170809,,,603844462249415.4,,54396723797.162506,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.6560555946391278e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.8383460072500965e-11,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,4.706394672915145e-67,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,2.1247686806950226e+66,,6.575196102446202e-57,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.5208671869542636e+56,,3522341843.682093,26.103344806412768,1.615472961402026e-86,,,,,,3.9844368414292675e-28,,,,,8.20313326995955e-51,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.839020300637958e-10,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,0.03830926677849849,,,5.728116357095122e-48,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.471527238021793e-36,1.3549400893592435e+22,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,6.190137649423275e+85,,1.745774592657064e+47,,1.8404369442213809e+31,1.33841444746545e+35,,146689060952.12738,,1627897700199830.5,,,,,8.071263784124093e+30,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.433492318983316e-32,,7.380400121402444e-23,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,6.817140920455918e-12,,,4.275342560903184e+16,,9218294455195218.0,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.3389938601522158e-17,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.0847993681048268e-16,,1.9112193488185747,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,2.5097649675412785e+27,,,6.142892147812767e-16,,,,,0.5232261805104436,,54950.48538824882,1.2418717368974343e+22,5.498838799939362e+23,,821142.5858169949,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,8.052361369446234e-23,5.9352056911386e-23,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.819820139775964e-05,,1.6848615735306748e+22,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,2.859673462435246e-08,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,1.818565767032537e-24,,,,,1.3186820397006318e-09,34969027.51786276,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.2190463900691077e+50,,,1.2389633479294368e-31,,,,,,1.2178152945326192e-06,,,758332918.6973842,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,3.774489179027049e+40,,,,,,,,,,,,,,,,,1.1162794657635244e-83,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,2.649365126164621e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,0.0009112278974571526,,,,,,,,,
"$\hat{S}_{x,y}$",,8.958330155397141e+82,,,1097.420308125522,356802.7346237844,1.303868733600664e-75,,,,,,,,,,,3.190533689406711e-78,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,2.3751665811233927e-42,,,,,,,,,,,,,2.802669102450708e-06,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.210231012626597e+41,,4.632549925373086e+35,130848939.24394505,,1.0475871928215578e+16,,,,,,,7556099.816591191,,7.669483700544574e+74,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.642400509916815e-09,673410492466704.4,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.1586383657148907e-36,,1.48497834706584e-15,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.8552305477570486e-39,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,9.54574480150538e-17,,,5.390165665442433e+38,,2.1033762792241648e+17,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,4.754261089075571e-18,,,,3516271.0480249794,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,17923.339304027,1.1012389782052745e-09,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5.579317464437673e-05,,1.5843553954094348e-07,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,2.843921831798719e-07,908068112.1819108,6311715.180176329,,,2.2661392061659655e+22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,3.881653388366489e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,4.412791576435763e-23,,,2.762342443405249e-41,2576221779608272.5,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,1.3234340787879287e-07,,,,,,,,,,3.6201159721792494e+40,,,3.134271872195623e+77,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,1.992425632635309e+48,,,,,,,,,,,,,,,,,1.0458611013803635e-54,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,5.0190079048387675e-49,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,5.1148084572106784e-24,,,,,,,,,
"$\hat{S}_{x,y}$",,9.561499119530937e+53,,,1.95510742653566e+23,6913858337586496.0,1.535105032696544e-78,,,,,,,7.797569370353412e-56,,,,1.9504173562680083e-38,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,1.8531984624524824e-54,,,,,,,,,,,,,1.4463703928725304e-16,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.194446013818219e-48,48098271.32781357,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.6558109383204302e-45,,2.0790767992148907e-08,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,5.3960761368030795e+53,,3.7653282678036304e+44,4.5569587663724415e+47,29169068683.936707,,,,5.013492443629336e+18,,,,1.766979963636215e+20,,6.514212244118651e+77,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,6.075142507268703e-22,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,3.428289092242072e-11,,,,1.6460519219154675e+21,3.428568608722276e+20,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,2.916669065498648e-21,,,,0.0004293457856175225,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,1.994617547036904e-19,,,,,2329.1249931840202,6863265617.467676,,939656297555967.0,5887482.429504952,,41134830557.99018,,1.282450918361854e+55,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.4570323454404896e-10,28722.93799123083,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.481537996932285e-05,1.0642189091915694e-15,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.010439693925404128,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.6985188694381963e-07,,,95.78824888405808,1003.8673300057933,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,5.6593737369954676e-21,,,,,,,2.431029826633761e-11,,0.0009961475686176868,,,,5.12710777919569e+37,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999975e-161,9.999999999999975e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000023e+160,,4.070020774659882e-27,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000023e+160,2.4569899156929162e+26,,3.974208905036589e-71,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,1.7432573386750507e-58,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.516224043312573e+70,,5.736387725521019e+57,3.834556153022009e+23,1.7512201783643702e-47,,,,,1.1552853194548047e-36,,,,,,5.3198362285403825e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.60786375291936e-24,,,3.0715561556710964e-46,,,,,,,,,,,,,,,,,,,,,,
