HahnEcho Time,Normalised - LP1P0/LP1P1,Normalised - LP1P0/LP0P0,
4450.0,0.884600302504,0.837008374854,
4460.0,0.889938824558,0.839975253905,
4470.0,0.900826446281,0.849209857443,
4480.0,0.876120340241,0.826040152861,
4490.0,0.898710865562,0.834832514762,
4500.0,0.87346396546,0.812229771464,
4510.0,0.879702068374,0.826220432813,
4520.0,0.869314880355,0.827858544192,
4530.0,0.887505062778,0.83727372594,
4540.0,0.878010682253,0.824188818466,
4550.0,0.918143731872,0.838187702265,
4560.0,0.886098700765,0.842200312378,
4570.0,0.900878038877,0.841112638014,
4580.0,0.913203577065,0.837070254111,
4590.0,0.914480230427,0.847669902913,
4600.0,0.884162473414,0.842386200761,
4610.0,0.906770196245,0.851095692108,
4620.0,0.903445763065,0.843678607884,
4630.0,0.910476090051,0.842595755062,
4640.0,0.902020627236,0.836725728511,
4650.0,0.889804048234,0.838567297448,
4660.0,0.905629853322,0.848396059611,
4670.0,0.892828999212,0.838389817967,
4680.0,0.904419212112,0.848172774084,
4690.0,0.887720615847,0.834198719564,
4700.0,0.897261786464,0.83528625758,
4710.0,0.886010362694,0.860979020979,
4720.0,0.88470483996,0.839384227395,
4730.0,0.887845364202,0.83556012333,
4740.0,0.90941845409,0.850479098663,
4750.0,0.89777753803,0.83772084361,
4760.0,0.900078944401,0.840370643361,
4770.0,0.90447143097,0.833135728646,
4780.0,0.871488726614,0.837087855826,
4790.0,0.910287459198,0.838221748194,
4800.0,0.889386016926,0.842989985694,
4810.0,0.902112864402,0.844432205087,
4820.0,0.87783410395,0.827148181198,
4830.0,0.887084017765,0.859222156747,
4840.0,0.907899915659,0.824204992088,
4850.0,0.899248615148,0.832960780329,
4860.0,0.889761130425,0.839754445385,
4870.0,0.892051139522,0.834399209692,
4880.0,0.884316532052,0.832002693344,
4890.0,0.866867282349,0.827825397612,
4900.0,0.88329916417,0.828060319338,
4910.0,0.878171545968,0.826469450889,
4920.0,0.890058112141,0.831182164858,
4930.0,0.876979538485,0.832887700535,
4940.0,0.881089258699,0.828606658446,
