ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,0.013532657479482513,,2.51069400836776,4.000496322487426,,,0.2517454518868539,,7.176166025521924,,2.4594048063884557,,,4.39627317741413,,0.3235228058490941,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,0.12628687463762442,,1.7814853272087805,0.5811697840841183,,,0.11114396031369077,,0.5161933070022726,0.4066024419414155,,2.1793095311272834,2.7110850958473063,5.777826369164216,,0.5691397936933971,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.36885599848258027,1.4994749008453143,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.4588609308209347,,0.6669001257948763,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.1161165584049714,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,0.21368431884845845,,2.832076552962045,0.4029970539254128,,,16.53395667559719,,0.2409729172902003,0.22746539162704985,0.17307546750399389,,,,8.612036162080964,0.6437386212650515,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,0.020014609071572445,,0.18336255387709108,0.3683304367749071,,,0.1087517654396381,,0.10025276379793524,3.0909722032592835,1.7570375698219285,,,1.553425516143239,,,,
$\hat{S}_{x}$,,2.1643861754323413e-44,3.5481031104047645e-46,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,4.620247584977517e+43,,0.1439046292006668,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,2.8184073824334855e+45,6.949046778790953,,,2.3872128659685097,14.616896624080296,,,1.737599846563022,,67.48748016568561,21.636294227792373,,170.17590230721075,,,,2.35022801144511,,0.07606936812076844
