ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,2.303391427465755e-26,,,8.9198308923778e-26,80098811190026.3,,,,29611.15539876397,2.1470101225727386e-10,3.720958636107935e+57,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,4.901898912198334e-19,,,1.06625843849554e-21,,,,4657639894.1319895,,,1.7732153959774123e+58,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.9359661447777845e-25,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.406033825623992e+24,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,6.843697352899842e+123,,,,1.7443144585712455e-91,,,7.208900853649293e-53,,,,,,1.4622760334491216e-59,,3.152187831990369e-91,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.461198455212628e-124,,
"$S_{x,y,z}$",,,,,,,,,9.644592689850993e-105,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.0368504219491823e+104,3.7877413813160906e+120,592688685923.8872,,,,5.787251557865365e+19,,,,,,1.3104591727888043e+31,5.732911259699655e+90,12419106.998558171,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.2658559307167591e-64,2.640095770352039e-121,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.899793141813343e+63,,1.6872264035902644e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.3459130573794564e+19,1.8115627699583147e-20,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,7.429900427201723e-20,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,1.7279359467982957e-20,5.5200957790880784e+19,,,,,,,,0.050534695014108864,1.387174023199084e+52,8.747134208580782e-28,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.233012703551448e+27,1.1074577011667937e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9029690244118772.0,4.010331374678732e+21,,,,,,8.214942728793146e-25,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.91094510304043e-28,,2.4935595255644184e-22,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.3619428981962414e-13,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,8.052108739509996e-08,,,1.14323157294079e+27,,,1.2172939398530774e+24,7342451738060.393,,1543261927815081.8,3.172399784845865e+90,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,7.630913047614354e-32,,,19.788384984233275,,,,,,,6.838654105827509e+58,6.479781441999151e-16,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,883177720157.2131,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1322749398863815e-12,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.5900159875603073e-23,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,6.289244937306464e+22,,,,,1e-160,7.252854643457705e-156,,,,,,,,1.975170496252936e-143,,2.4800128895406233e-147,
"$S_{x,y,z}$",,,,,,,,,6.900942953757836e-70,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1.4490773314615803e+69,1.3429878353449308e+112,1.844970943241805e+27,,2.0188062249076562e+23,,,,,,,,35104743.45811663,,28910529397.469666,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.8488705345363495e-68,7.44608382653862e-113,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.0623359458196387e+67,,5.42013956188869e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,3.630800471374621e-31,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.378767463514563e+155,,,,4.9534224120283845e-24,,2.75421358976909e+30,7.420139469543068e+17,,,,,,0.1352302484174581,,1.48784403983342,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.3476835632330505e-18,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.631990112821388e-19,5.4435848737852785e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.862058238164735e+22,,1.8370247239382804e+20,,,,,1.9596731705707087e-07,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.7058854746435872e-23,3.7994063698363976e+18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,4.032237107385485e+146,,,,3.458947382981935e-11,0.6721134562678764,,,,5102891.722035331,,,1.5123779880583612,5754325634560.333,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,0.6612103640068391,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,5.062854077139588e+142,,,,2.8486178832017308e-08,7.394795259955323,,,,,,,,,,1.737823097799724e-13,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.748171664427879e-83,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.7396836044205562e+82,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.4303810755736891e-102,,
"$S_{x,z}$",,,1e+160,,6.991143948118341e+101,,,1.9693628194374698e-60,,,,,,,,,,119.19665661292566,,5.095894652190318e-39,4.3964744590783986e-45
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1e+160,1e+160,,3.991168216984079e+29,,,,,,,,,2.1132451798318596e+72,5.077784500296602e+59,4945680988.111599,5123362547602344.0
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,6.186709014579662e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.6163682462572422e+159,2.505532078915102e-30,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.6825102310787564e-15
"$S_{x,y,z}HF_{x,z}$",,,,,,,,1.9518431317494501e-16,,594350026245511.2,,7364946.686787382,,,,,,9.52802511296994e+57,2.2745497768901467e+44,7.761455993188623e-19,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,1.3577830804858194e-07
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.163319856319671e+101,,288639.0911568076,,,,,9.600273346757101e-13,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.8090062804654856e+44,3.4645341904043576e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.6225021957519078e-102,3.559977800527695e-45,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,1.1420260825058912e-10,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,2.021966241663776e-10,,,,,,1041637007489.7839,,,8756367436.072472,2401668686504026.5,1.9623639581524314e+38,,1.28841805052762e+18
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,4.732058587161027e-73,,,,,,,,,,,0.008389497058188125,4.163771654347726e-16,1.0495354369278046e-58
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.9450377077249375e+99,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.141288500620768e-100,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,7.821272707533271e-62,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,1.2785642917639515e+61,,,,,1e-160,7.639975742184665e-153,,,1e-160,,,8.210383458918231e-150,,,,,
"$S_{x,y,z}$",,,,,,,,,5.585003999170796e-153,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,0.8856934446505534,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1.7905090133301062e+152,1e+160,1.1290588250820188,,1.8878718656412788e-09,,,6.341495233018564e-10,,,2952.4082274071475,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,0.013313830578653707,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.3089046794722522e+152,,,,529696966.3035455,,75.10986369342247,2.7167475881955435e+39,0.10911834314909759,,,0.001543984279831985,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.680871952716805e-40,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1e+160,,,,1576915164.7284265,9.164362023290765,,,,8.508353466854053e+21,2310321894.0272717,21836199.308429144,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.175315534193184e-22,,0.04052925205474641,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.3284011746814867e-10,24.67353699617285,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.7585254458914343e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1.217969909692569e+149,,,,0.0003387065483414589,647.6749880567561,,,4.579551532184372e-08,,,,568658248.4981208,1.1369181215701922e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,8.79570816075044e-17,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.842579868419799e+47,1.368971718719712e-137,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.4271731561769556e-48,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,7.304752803331968e+136,,,153.32099004643982,,,,1e-160,,1e-160,,,,1e-160,,,3.3577966396151915e-159,,,
"$S_{y,z}$",,,,0.006522264170725139,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.0306972865742623e-112,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1e+160,,1e+160,1e+160,1.0180548329362223e+26,,,854947923669.1066,,,,232.09688651742977,,,2.1781373447102152e+18,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.924416881882854e+111,,9.822653629724939e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1e+160,,,,,1.1696618850284891e-12,2.7474678710823504e+17,,264012962669888.3,,,5.710780874121248e+27,,,3.358575933849929e+31,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.639714991848313e-18,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,3.787692808289727e-15,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.851293729817051e-05,2.0854855464879142e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,11297.783471260638,,1.8521049219441407e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1e+160,,,,,0.004308545517369114,,1.7510740160449178e-28,,4.7950464182504716e+22,5399262148.444093,,5969527792851.958,,2.0484668188114367e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,1.6751743767696696e-13,,,,,277.5337324967278,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0036031656080285314,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.978143429539561e+158,,,,,4.591078714244452e-19,,2.9774524074961196e-32,,,,4881699.77085702,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.4974374913496838e-160,,
"$S_{x,z}$",,,1e+160,,6.678075083445861e+159,,,,1.2246318790456566e-87,,3.6911015234127746e-62,,,4.819673858059528e-67,,,,1.4999457837991622e-64,,,
"$S_{x,y,z}$",,,,,,,,,3.867564513441316e-118,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.0783222730489705e+143,,3.4602964281920422e-53,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,2.58560651418898e+117,1e+160,2.889925822113704e+52,,,498638550081603.3,,,1.0081235548154386,,,,1184201.5772066377,8.165719161086106e+86,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.2485227708453506e-144,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.3965475822054502e-13,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,2.005460668527028e-15,7160515064017.97,,49206752683435.03,,0.0001436585578882724,,,,5.357484276997801e-10,2.7092183557048435e+61,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.0322414007552264e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.0841769280517319e-16,7.689298089687313e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.3005088219185753e+22,4.542284225517393e-19,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,0.9919419055564813,,6960.949731778111,,9223586797747136.0,,2.201535505819419e+18,,2.5866976952376476e+22,5.0346895285978486e-05,2.0748291885513906e+66,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,3.8659330073285855e-23,,,,,,1.1618498231028151e+20,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,8.606964343545004e-21,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,8.444508259808749e-07,,1866547708.3964021,,,19862.19794328605,,,,,6.666907636268917e+63,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,1e+160,,,5.568305424591553e-102,,,,3.707679391303974e-97,,1.0202931953003538e-88,,,,7.057535954527765e-62,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1e+160,1e+160,,4.149271408449886e+20,,,39082474.556573614,,2.241657207761745,,,,2036656762.155059,1.795878501174982e+101,,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,2.4100616748365154e-21,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4722914462.081927,,6.233869685401405e-13,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.11733667426868e-10
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,2.5586916165005256e-08,,,,,,1.0554904921396042e-22,,,,0.18390446911999875,2.6971048315164717e+96,,1604140045374.7358
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.991178829696668e-29,116.86802988909064,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,0.4460985366261607,,,,9.4742681951865e+21,2.5055254165997885e+28,,2.269493067478848e+26,,,2.3513792117171446e+17,9.801104276752724e+87,1.562819487745353e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.008556660028829216,4.406270344376455e-27,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,6.398691645717057e-17,,,19481.55257652785,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,5.133061115492611e-05,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,4.910007511240453e-10,,,,5.43760575686442,,4.2528231729569844e-18,,,,,1.4169251229367802e+61,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.98334166409992e+39,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.3519459471689506e-40,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,234879821254329.3,,,,,1e-160,,1e-160,,,,1e-160,,,1e-160,,,
"$S_{x,y}$",,,,,4.257496428001765e-15,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.2493993528452183e-141,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,4.445631224776164e+140,1e+160,4.150122543222003e+69,,,2.101907833209545e+25,,,,9501319494732678.0,,,1.447330190742619e+18,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,2.4095674033365692e-70,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1e+160,,,,4.7575825362096514e-26,1.2327702645694596e+43,,7.511843983207119e+33,,,5.33206430321896e-10,,,2.1904015957839632e+24,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,8.111811492705384e-44,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.3312310562300288e-34,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.381913515404762e+18,9.334786538081275e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1e+160,,,,1.0524853948489764e-16,,1875446249.581614,,1071261.7754251782,2.309739294580313e+42,,2.121681670563296e+26,,4.499345702473315e+17,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.1983052429595394e-19,,4.329492953366857e-43,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.585678922439957e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,4.713242395757253e-27,,,,,63064469.47413881,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,,6.909273408349924e-19,,4.565372860962018e-25,,,,2.2225453790987752e-18,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.214955276458465e+96,5.196735969985113e-158,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.609022037194515e-97,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.4349086146014885e-66,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.9242847929464167e+157,,,4.1069303135373148e+65,,,,1e-160,1e-160,,,,1e-160,,,1e-160,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1e+160,,1e+160,4.958563536997946e+158,7.332607494159534e+26,,1.359771569181877e+18,,,,6643695331.382943,,,521157061281415.94,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.648439411577869e+148,,1.363771347091067e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.066343676185287e-149,2.0167130914801754e-159,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1e+160,,,,,7.354176412157684e-19,,7.375025272745278e+47,2.5183401631858557e+19,,2631.068684339416,,,8.196367555795677e-10,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.3559275568797613e-48,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.97086944257339e-20,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1e+160,,,,,1.5051864212922016e-10,0.0003800736962710917,,,2745336888.177102,,10901224.225355703,,1.1867946072113486e+23,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.268979955236301e+27,9.173281636332642e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.6425402081126657e-10,7.88034512187221e-28,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.3256130929461127e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1e+160,,,,,1.9188073505925637e-15,1220052655.2678776,,,,8.42605783615527e-24,,,,871324267667.304,,75436.79262985756,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.14767835248889e-12,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.0805347325152997e+79,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.254677058572392e-80,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,5.290092557268578e+26,,,,,1e-160,,1e-160,,1.136924954669738e-138,,,,,1.747372119072002e-116,,,
"$S_{x,y}$",,,,,1.8903260938714612e-27,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1e+160,1.5325134800352129e+118,645053233004719.0,,,9.82182679809081e-15,,46.19920413911504,,,,,4.295915532386394,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,1.5502596511948408e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,6.525228084630113e-119,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1e+160,,,,101814053592798.27,2.8846884317658595e+44,,5.451838437122641e+32,1.4140848560702907e-06,,,,,3417629961516.0044,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.4665788824474566e-45,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.834243643741904e-33,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.7761624509093027e-12,,4.059331317201377e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,8.795655297147446e+137,,,,0.02164539451781031,,707171.1401952051,,,563011564335.2623,1.4332227834963618e+17,,3.166756875438571e+30,0.11500250091579552,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.977282328435288e-18,24634.599195254395,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.0008263544108783249,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,3.1578047805185794e-31,,,1210.1345219868901,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,5.722879454727033e+115,,,,0.23277925100275357,,2.9260043107663314e-13,,8.695463072861319,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.0601184970915515e-135,,
"$S_{x,z}$",,,1e+160,,9.432907762137088e+134,,,,3.3659111349194547e-106,,2.800351184647627e-124,,,,3.5449950693132685e-73,,,8.904992268986679e-42,,,
"$S_{x,y,z}$",,,,,,,,,5.890326428471678e-159,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.531948359441172e-90,1.5914013169780987e-117,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.9495276286784565e+89,,1.2876242204948852e-38,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.6976987814569439e+158,6.2837700920022696e+116,7.7662409892822635e+37,,,0.019734854863410502,,,,1.963076114514346,,,6.1605405814443985,2.970963759635709e+105,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,50.671768651010176,2.9750828367194017e+28,,60795767137665.17,,,6.084924542709393e+40,,,5.884747432056938e+53,3.570980688001929e+123,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.361250946217993e-29,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.6448513557458904e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.0101292698422364e+16,0.007041203150841126,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,0.5094045985310123,,1.64340575299022e-41,,142.0211828259127,1.1793815615129516e+29,,33442821169303.41,,9.180068559058445e+20,2.8208783946030104e+72,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.9748044317492295e-17,,8.479020129135861e-30,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,2.99017835528147e-14,,,,,644.5777400761632,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0015514032487095198,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,0.1623234173656787,,1.699308273712034e-54,,,,1.0893164833864434e-21,,,,1.122965601534197e+41,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2238810.7798087755,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.466657070882129e-07,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.1226787030855834e-102,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,8.907267923151906e+101,,,,,1e-160,1e-160,,,,,,,,1e-160,,3.715289051709057e-128,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,9.654006888753798e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1e+160,1e+160,10358393.271553658,,17554582.14347172,,,,,,,,3666.34854180197,,58899537874.65382,
