ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y}$",,1.0000000000000006e+160,,,1291.1587209876461,,,,9.999999999999992e-161,9.999999999999992e-161,,,9.999999999999992e-161,,,,,9.999999999999992e-161,,,
"$S_{x,y,z}$",,,,,,,,,7.714021679006305e-139,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.0000000000000006e+160,,0.007154950633836599,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.0000000000000006e+160,,1.2963406658831386e+138,1.0000000000000006e+160,139.76336821541202,,2005011949099.356,,,4.1487029403394935,,,,,60672373.7000953,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.0000000000000006e+160,,,,,4.987501448304068e-13,,22609831.69954995,1.918452604702632e+28,0.006211730829045224,,,,,0.0015120358543892244,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,4.422854682372117e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,5.21253429742667e-29,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.646731684439259e-44,,1.0911809707915058e-40,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,1.0000000000000006e+160,,,,,0.2410391908942433,160.98572644586167,,,,2.1520502320991522e+43,12109113.010162827,10087421717921.13,,6.330571255586887e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.258243185613423e-08,9.164382689652605e+39,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,9.913335914403363e-14,,,,1.6485824293148534e+22,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.065817409054863e-23,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.0000000000000006e+160,,,,,1.6481965992348e-08,661.3599784007388,,,1579636.2755059036,,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,9.999999999999997e-161,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.0000000000000003e+160,,4.0910688161044875e+110,,,,,9.999999999999997e-161,,8.55246786300121e-158,,,,7.64217615713065e-155,,,9.999999999999997e-161,,,
"$S_{x,y}$",,,,,2.4443490074366424e-111,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,9.999999999999997e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.0000000000000003e+160,1.0000000000000003e+160,1.1487496389090302e+107,11677771.41034119,,,4.2270145832312067e-16,,,,5.3328832624346076e-21,,,6.365676211452218e-07,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.390688819558658e-121,8.705116990937225e-108,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.2775469660829148e+120,,8.563277742484796e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,8.297665059500361e-42,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.1692531512758967e+157,,,,2365735864662150.5,1.2051583099935518e+41,,14390426710327.898,,,8.094087888039443e-15,,,6922.755258203161,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.949064264246645e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.3085278060057992e+154,,,,1.8751582414040557e+20,,123546965863527.44,,1.7181766112191877e+31,3.033380376795913e+24,,,,227987614301508.25,,5.544003733676193e+16,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.9498821175307687e-17,5.820123458032745e-32,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.128515160015668e+16,,3.2966521694726456e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,4.8837416479865995e-24,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.8037505889933926e-17,2.0476103612324902e+23,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.0000000000000003e+160,,,,1570925.015320356,,0.00014445115603574802,,,,4.3862031850446215e-15,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.2903352871177475e+55,,1.6196463379988097e-63,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.36617296002299e-56,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,3.0195424639753447e-32,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.1741873922647355e+62,,3.311760016394872e+31,,,,1e-160,,,,1e-160,,1e-160,,,,1e-160,,,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.916703457401996e+87,2.763288560797359e-47,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.47650468509238e-129,2.5531675064910683e-88,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1e+160,1e+160,1.5440427338866908e+128,,3.618876487193381e+46,,,6.759913552860261e+16,,6.121713595059365,,,,42.91218828151257,,,
