ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$"
"$S_{x,y,z}$",,,,,8.913131370067336e-07,,1.1808883887609595e-21,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.0005254594324058087,4.040511883136387e+21,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.1439678307372845e-14,,2.4749339413494434e-22,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,0.43969379700504496,8.468200801341136e+20,,87415045522346.77,1903.0964872426287,,,123.51450478584276,,,,,,,1.2569436013816842,1.1025501920445856e-10
"$S_{x,y,z}HF_{x,y}$",,,,,34.11584468615037,,0.7955806441122408,,,,7363589410.389751,4.527687140334663,,,,,,,,5.667651172594015e-10
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,1.3580333506768277e-10,
"$S_{x,y,z}HF_{x,y,z}$",,,,,4.9438367946071184e-05,,0.008096215110394225,,,,,,,,0.046697500064044106,,,,0.22086331696630548,4.749814553939208e-05
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,21.414422584261093,172.29806922600434,213.1955706736621,,,,,,1.2119375992904782e-06
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.032700624149136236,0.005803895565935184,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,30.58045606222517,,0.0046905289675586055,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.3443178456756166
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1024623695266.1172,,9069881872.185656,,,,,21053.453532636566,,,825124.9904165397,2.9042932643755694,,115693.75627841761,1764399342.0687394,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,8.643508795699354e-06
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.451811327590353e-40,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.0786172604186585e+39,,,2.4346956090169492e-24,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,0.0004511769997574057,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.107289618860271e+23,2216.425040588709,,382972864373.56586,2.4981055146838374e-08,,,,,,,,4.674924412910137,0.0010184091182330309,,,1.6057609733080308e-07,
"$S_{x,y,z}$",,,,,2.611151058014813e-12,,7.159815671464718e-16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,40030334.752555914,1396684001217346.0,,2.46793745046815e+23,17924.62082546949,,,,,,1156.2779414714116,91441.52273766814,,,6.999982163607528e-05,
"$S_{x,y,z}HF_{z}$",,,,,,,5.5789185709249584e-05,1.9598297092840499e+30,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.051966551300995e-24,,5.102484135549269e-31,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,1.2647954561049976e-13,
"$S_{x,y,z}HF_{x,y}$",,,,,6227576.934690961,,14285.750686608002,,,,7906416766229.942,85535615.70469974,,,173067.3013791174,9.76025024663281,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,34.489198922534456,,,,1.1691036438579762e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,0.21390720184446804,,0.0008648439653942188,,,,,0.028994584717554076,43.261090384478585,52630.744359993994,,2.729894125860569,,,5.778098994040603e-06,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.27600811024888e-05,0.023115459899706658,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,18953.723707464655,,1.9000301290819785e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.7634543057471113,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,981.9236514054674,,1.0935950868500389e-05,,,,,,,,0.3663145726154347,,,682429.9492901913,0.10245638940917423,1.3098360864196146
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.465351866576371e-06,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.262106681582179e-46,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.210345059122986e+45,,,1.4468438576059224e-16,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6911595848737193.0,5490731.0444159545,,70.81776653014312,,,1.0651550714780571e-16,,,0.0005751429330201661,9.426765048442676e-09,,,,,,,21.390683734467768
"$S_{y,z}$",,,,,1.8212511082963987e-07,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,0.01412075032858254,,,,3.9522499182668427e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,9388304358466368.0,2530204366323.3833,35656916.91676801,2.9889340021444376e+43,,,7334826.696361233,19197506.80343683,3.6447349559277584e-11,,,,,,,0.011149393660925358
"$S_{x,y,z}HF_{x}$",,,,,,,2.969976489575769e-46,,3.3456744086103644e-44,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,3.3670300203044365e+45,2.8045049501454245e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,3.868739749034439e-09,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,1.3633587287019262e-07,258482106.5437602,,1.370517893738318e-06,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1738.6982306273721,,,,5.20900974402038e-08,,729651.1811840208,,0.00486709954828544,,,,,,,1.3779161478248066e-06
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0001134885475167023,18.22436572254367,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.01012060860111376,,0.05487159417367228,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,106080929.6573274,,,,27436837303.45359,,,205.4611766369717,,98.80828707178256,8811.461789594481,,,,,2.105232143586082e-06
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,0.046749323790368384,,,,89.69097606667552,,,725733.5662831232,475006.99770647904,,,,10.933802240812321,5793568.740483837,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,0.09145949213049838
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,1.7260518426445513e-07
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.1943132438632524e-63,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.557234491459502e+62,,,2.7380450493945626e-24,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.6522408578380416e+23,2.9050336827551543e+27,,2.4582563594017883,,,30.625331664430664,7.014139177968253e-09,,0.00010509350319517187,9.285035115622781,,,,53.615852687205056,81882707.15682337,,
"$S_{y,z}$",,,,,3.442300879112675e-28,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,0.406792398268563,,,,4.1418211003728045e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,0.03265270760027181,241439689.39411464,10360.762087563397,1.1674638645686453e+35,,82.61513187791215,,4.579950276110503,44.2761776744068,,,,254120407.4864999,1982965293943.4385,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.6040692181907452e+27,9.651799660570876e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,6.234144940003995e-28,,8.565575606654687e-36,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.07851580512408979,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,142569169.8763332,,,,0.012104320083611201,,12.736289189412966,2.491382150199938e-05,33.49967846951402,,,,139543.27311557363,83553847.44259469,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,9515.33605405535,,,,0.21834298184766418,40138.362551877,,,3704.98149589251,,,,88914.82329821406,107.69171951893894,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,0.10770018503402573,,,,0.022585508788804852,0.02985103277662912,,0.0002699068810758272,,6230.485114805082,1.702349599776299,,72915.40316157875,0.24062742043111324,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.5874234059393013,9.01236384322455,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.00016050114582952254,,0.11095868047446786,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.056165108393181166,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,0.018651200155931514,,,,3.935142438543133e-09,7.166235803941421e-06,,1.1246718633698122e-05,1.3714523360503465e-05,,,,,2.5525620394725457,,17.804648270231183
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.2212590847598386e-08,,,,5.042952607664366e-13,1.1968329773048999e-08,,0.009285765000939904,4.1558023529005075,,,,0.39176324983922317,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.355986782515745e-34,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1967467470058982e+33,,1.631454993192066e-14,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,0.00039738530975171396,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,61294979277572.58,,2516.449338866601,63806459147.70948,,,,,,0.0012313081861838578,0.032140039187884946,,,,0.0003071578312990341,2317952182.271913,4.999074429190658e-06,
"$S_{x,y,z}$",,,,1.5672394509230465e-11,,,9.59582031986213e-22,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.2483076480951852,8070065616782.477,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.7370372772542273e-10,,1.2391472975391972e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.0421203885301258e+21,,5756928841.393213,4.0272621792811805,,,,,,,,,,5.652142611158276e-19,
"$S_{x,y,z}HF_{x,y}$",,,,200037.02968709316,,,1.7692405673307543e+18,,,,5476.833601141716,4.9559856134127696,85.50598463424255,,,,98845.43032002947,706957265554223.4,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,0.00018258725256716532,
"$S_{x,y,z}HF_{x,y,z}$",,,,812.1443609493562,,,,,,,,,20.675509865995636,,,,2128.3699436137426,71621710.55793439,0.20177621123306375,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.1863738166437919,0.4621376549418929,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,31.113838852347943,,,,,,,,0.04836640094881862,,8761.721529528488,5.365560559996773,,2.995064215116351,178887.6167280508,0.011695087826630679,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.00011413282157277316,,2.1638574336162577,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.43907860366564944,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,3255.655230312028,,,,,,,,0.000469843131829849,0.3338826576581939,,,,,610.2934326955774,1.0116805569689202e-05,2.277496538550264
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,4.31415284425696e-10,,,,,,,,1.3962246813291421e-08,5.59010186557644e-06,,,,0.0016385560558683145,,1.41451265688039e-15,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.489192375222634e-44,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.5410238164894774e+43,,,8.692470412376083e-09,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,1.0784569764181836e-44,,,,,,,,,,,,,,,
"$S_{x,z}$",,,115042094.19870207,9.272507126999556e+43,,5.094895016237188e-13,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,1962748980720.9915,,,,1.9043482263897644e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,5.972598013348164e-19,,1.6552358904635235e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,52511404486.971664,30.06951503250873,604143497.4684879,,1.2259983398333133e-06,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.6743132515617144e+18,0.03325627297011212,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.00019790214502229416,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,815661.7896692747,,5053.0023304565375,0.09296876894233051,,4242.652213393791,,,48821.57115617567,0.07519316971859887,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,10.756300329418263,,,,0.6309577165930033,,,3.354394257525669,51.43007021745314,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.00026583078945114524,0.0003088665489082551,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3237.644230282242,0.002116353910353654,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,0.00023570162004867188,,1.5848922577565463,3761.791484216998,,472.5107625467494,,10.219766462980328,0.011106902345842128,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,4.844728162133384e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,2.048274925034864e-05,,0.29811641781715864,,0.09784959408048706,,,,0.011321915117062745,,20640.992983177992
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,13.299080272082907,,0.01944387778923629,,90.03410391686305,,,88.3242799173565,,,
