ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.00012015100163208352,,1176516827218.586,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.5739489020214095e-42,8.49966593647546e-13,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,3.164876180510187e+40,,8322.860287608068,2.798025454237481e+41,,,,3.7452659284345915e-41,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,7.907473809946381e-13,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,6.19632692571342e-05,,,,2.6700373728013754e+40,,,1264626382628.235,,1.0905765817792994e+30,,33465672.009418022,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,9.169461518864438e-31,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.742864748691567e-40,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.67175029594532e+39,,,,,,,,,,,,,,,,,,5.216346125135136e-128,
"$\hat{S}_{x,z}$",,,1.9170507017957782e+127,1.3741059622575788e+26,,1.1998963518521051e+39,,,6.991205695874093e-67,,,,,,,,,,902.646630565353,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,7.277459144104551e-27,
"$\hat{S}_{x,y,z}$",,,,,,,,,6.034298214879071e-63,,,,,,,,,,,8.334053174313312e-40,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.6571935366638823e+62,4.211283140885611e+23,3.7131705379949325e+24,,,5.923210790853739e+33,,,,,,,,9.510319385482668e+41,1.4303684421560601e+66,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.5494494562635553e-14,2.3745731800633693e-24,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,64539052626567.5,,2.6931162729196595e-25,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.926531494526522e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.6882735315517372e-34,2.54677697452312e+17,,1.5544850408439222e+42,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.43299854115743e-43,,,,8.777893832697235e-54,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,3.9090834336937816e-26,,3.4759272215619757e-44,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.1392254441208298e+53,300462.29394307354,2.8769302009454344e+43,,,,,1.6387538184338815e-07,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,2.5581444268511746e+25,3.32820463718307e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,6.438702516875413e-22,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,1.0514893974291569e-42,,,,,,6102197.833202772,,1.5531079396494344e+21,2.744756118432463e+18,,0.0011078532463735802,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.6433109422162524e-19,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.7401103552194647e-45,,,,,,,,,,,,,,,,,,
