ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,5.073402528457455e-12,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,3.3254787808413856e+16,,,,,6.3697116861530395e+25,,,,2.7102483315736787e+40,35267793359213.94,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.213277374568249e-38,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,8.242138368036862e+37,,,,,,,,,,,,,,,,,,9.999999999999997e-161,
"$\hat{S}_{x,z}$",,,1.0000000000000003e+160,1.5199306512261705e+84,,1.1973171816088232e+102,,,5.7059477388444655e-28,,,,,,,,,,274275390.43621224,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,6.5792475412827e-85,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.4179229341619872e-73,,,,,,,,,,,8.352005762218411e-103,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,145502639487.06665,2.1546617257319978e-32,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,7.0525694726209804e+72,4.641099751564355e+31,1.700028363048381e+32,,178469773210.18762,,,,,,,,,12696275.937975414,1.7525572363593254e+27,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.872727556869423e-12,,5.882254800777938e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,5.6031897279450165e-12,,13593441556601.14,5.88349374676724e+69,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,7.356488758465938e-14,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.6996703711114886e-70,,,,,5.211634111830778e-67,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,2.6906201592883166e-16,,2.7997709593076286e-43,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,3716615281231318.5,1.4942742333097833e-25,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.918783971672012e+66,6.692212029816126e+24,3.571720739068225e+42,,,,,6.431446146793681e-10,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,7.876325348356148e-08,,,,,,1554860255.6495595,,1.2188047499782936e+73,389570401.662006,,3.6459705641457043e-09,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,8.20475962222669e-74,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,2.5669301254246906e-09,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,9.521113949156178e-29,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.0502972712437985e+28,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,4.1851143592338115e+47,,1.2499219368923802e+80,,,,,,,,,,,,5.9940330726109934e-49,,,7.757321053725688e-112
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,2.389420967180153e-48,
"$\hat{S}_{x,y,z}$",,,,,,,,1.4543870645753915e-109,,,,,,,,,,,,8.000499635091221e-81,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,2.9384779728559336e+71,0.8605493054752247,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,6.875748721623499e+108,2.6852262107275086e+80,,1.1620484655992673,,,,,,,,,,,,4.558386995635226e-08
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.724081032744984e-81,3.4031223280809243e-72,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,21937584.52183911,,,6959415959205234.0,6.301587474960411e+34,,,,,,7.95452664282751e+62,,1.289104825073238e+111,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.4369021852721677e-16
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,5169999502423.439,,,,,,,,1.5869017195643744e-35
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.523545950284062e-33,,4.644865875376987e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.23499759231884543,2.152914695128496e+32,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.934236162945953e-13,,6.56363531282763e+32,4.255362747049753,,,,2990309670543050.0,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,3.3441352574644775e-16,,,59.06363054009257,,3277.727562683049,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.016930892849893422,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,0.0003050894196897286,1.6683257964814685e+48,1.2571458301691486e-63
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,4.951404807726703e-31,,,,,,,,,,,,,,,,,,
