ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y}$"
"$S_{x,y,z}HF_{z}$",,,,,,,3.4361708765619852e-06,7.073543084154352e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1165574.9264280323,2.756344881179547e+21,11217324613.705328,,14137.186811516407,,,24.559353353174618,57.79125907699435,,,,,,,0.0001238275103922085,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,0.02763644036721623,,,,,,,,,2.9185567904550775
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.34263510076981385,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,3.8439273197254398,,,0.04071768444468172,,,36.1841100631126,,0.27540784246581956,,,,,,,1.5538492672277093e-10,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.1919393339311596e-05,,0.004073288535834868,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.9410476564920253,245.50188163752026,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,4793.833708837837,,,0.017303654842814833,,,,3.630978664393366,,83896.88732746821,1.0626454389437974,,,,,0.4307390585761307,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1554985148.7934673,,,8075.749862309452,,,,6435630669.531697,2.3215911816904704,,,,1842601528993.902,4061479894.2493315,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,5.427109357420431e-13,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,2.462156716363178e-10,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.772389378553062e-49,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.4765837344893664e+48,,,5.499409796792249e-26,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.8183769476195246e+25,38253965.02165593,,,,0.062231699569546765,,,,0.4682869100044897,,,1077.6896643710525,,,7.064172243777713,,,
"$S_{y,z}$",,,,,2.6141081046994488e-08,,,,,,,,,,,,,,,,
