ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,6.151133440799364e-12,4.634464710055074e-27,2261.134504594732
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,162571664169.59506,,3.110138352867245e-35,4.137253249296265e-12
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,1.58143100121244e+32,,,1.2529702139174715e+43,,,,,,,,1.8605417076069758e+23,,,4.77373294342484e+38,2.1577464983828012e+26,3.2152910467088936e+34,,8.871781624875495e+39
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,0.0004422558666757563,241706257689.2283,1.127169313090519e-40,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,678026.8944615363,,,,,2.907925472479624e-10,,,,,,,,,,,,1.6011422021854739e-28,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",1.4748677495959252e-06,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.3299609391801013e-67,,,,,,,2.3859111105215315e-28,7.387549844739564e-65,1.6796814615493618e-51,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,7.51901781879762e+66,,,,,,,,,1.7235342229758233,,6.037497867209418e-12,44.43799128330346,1715.6319289483163,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.3626917727393595e+53,,,,,,,,38.017743525313556,,,,,6.236224000655011e-24,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,4.23246066853899e-54,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",3438877679.169981,,,,,,,56640.211867046404,1.8445563819472228,4.563949963684244,,,,,,,,,7.918099452176927e-26,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,1.765530119038636e-05,,1.4973906671051624e+19,1706412.134227439,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,0.5421357730167841,6.678283910592649e-20,,79729486.31410436,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,0.21910844946966748,5.86024899812811e-07,1.254241117345688e-08,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,4.191270980675437e+27,,,,,,,,,4.2022106250573205e-37,4.251633829706122e-26,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.3536287686939504e+64,0.5802031585270282,,,,,,,2.379699851399903e+36,,553045125596856.56,6.434082612062554e-28,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,5.9535097748687775e+50,,,,,,,,2.352036981672811e+25,1.8081707146786285e-15,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,165631528489.83255,0.02630350744867761,,,,,,,1.5542231275134857e+27,,,2.5752554569694536e+29,47.51169942887063,,,3.5645213725691416e-25,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.02250326738723959,,,,,,,,,,3.8831099155374456e-30,,0.009438869721684806,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,0.0005828756058492108,,,,,,,,,,0.021047447513366506,105.94488847564085,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,1.128738406073146e-34,9.38013256696946e-60,9.051634357631804e-41
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,8.85944869616846e+33,,1.3591573580518188e-25,688110658.8987162
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",6.245541455562493e+27,,,,1.603534446317141e+23,,1.2629293254520434e+25,,,,,,,2.8054257373669397e+24,,,1.0660830141370602e+59,7.357499807331906e+24,,1.630959425991537e+21
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.1047728625459324e+40,1.4532546285512358e-09,6.131360376375107e-22,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,88217652.8887886,,,,,,,,,,4.7024017921622673e-26,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",1.1335599704297823e-08,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.754479760148478e-51,,,1.870875588326495e-38,3.2477403453326816e-51,4.818521760529492e-27,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,5.699695275569164e+50,,,,,14756356.04306877,,,,,,122310498541314.45,15111.41542591673,3.6898887385039074e-08,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.223827285596945e+23,,,,,,,,,,5.7786222871012156e-08,,,,1.383386379666922e-37
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,4.496752092559961e-24,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,5.345090856065441e+37,,,,,4.903247817877813e-13,10034280.876263969,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.0790638834077276e+50,6.776740796178548e-08,,,2039464528702.554,,5.224779392899715e+20,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,2.0753252754639695e+26,,,,9.96583624009862e-08,1.9139564081097158e-21,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,,13778091.802320095,9.333542834706976e-06,227355447.49744654,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,7.257899093338962e-08,,5.582447475998244e-26,4663814241.015359,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",2.1265728540397185e+25,,,,,,,,,107140.45220658107,1.7913289901956163e+25,,8.202375998500655e+27,,,,,,,5.201358317697912e-09
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,4.39839911912043e-09,2.1441677312222668e-10,1.2191589366090923e-28,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,8.175913040385627e-15,,,,,,,,,,,4.649525372030141e-21,5.673706234632092e-24,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,6.617513792155808e-05,,,,,,,,,,2.1507571633346435e+20,,0.0570760672297255,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,27101088.159245078,17305162.8972559,,,,,,,,,1.7625163493591494e+23,17.520478346468746,,,,,3.150513951838945e-25
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,,1.144028881551774e+17,1595140154.046195,3.032052859115025e-08
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,8.741038064035485e-18,,0.05720926610611962,9.697762365916646e-43
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,6.269041610315078e-10,17.47968586321423,,1.5867830937171482e-28
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,7.228638467878873e+36,,,,,,,192257471.7833694,,,,3.1740852930243434e+24,32980955.36144028,1.0311657084056407e+42,6.302058573471636e+27,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,370.8835548687106,,,,1.4446840277726123e-28,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",0.0026962640615165344,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,3.440748886147269e-86,,,,,,3.736430908739847e-71,9.188785733090996e-66,1.1769549785433961e-50,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.9063440346550144e+85,,,,,,,919873698.0056919,,,,1.4034596285176112e-13,0.004798414451379071,3.6239603476149567e-09,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,,,,1.027745563583699e+32,0.00017602375850271244,,,,3.363327647163175e-15,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",6.921928814716543e+27,,,,,,4.4452187146087386e+17,1.780862285890652e+37,39204276279013.9,,,,,,,,,1.552568911794709e-17,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,2.249608094003578e-18,,3.7202642361943214e+18,2075.6079337152682,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,5.615257327434928e-38,2.687981112392595e-19,,3.8074592926964514e-28,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,2.550742150889548e-14,0.0004817865569679307,2.6264233524918335e+27,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,2.6763508396767363e+70,1.0871057648109994e-09,,,,,,,6841157.579049013,4.2756527851080576e+24,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.08828307574826e+65,,,,,,,1.4617409238788644e-07,,4.3890371265218456e+16,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,8.496501720376796e+49,,,,,,,2.3388241521457575e-25,2.2784040580501176e-17,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,9.730034703463458e-33,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,7125249488339.318,5681.0512882247685,,,,,,,,,,819675.0312796653,75144793.94866152,,5.651638763048293e-33,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,208.40217328717793,,,,,,,,,,1.2199956834586189e-06,,3.0786117555691206e-23,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,275941209.08583665,,,,,,,,,,1.3307641786644516e-08,3.2482173115561864e+22,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,1.6348778292738166e-22,146377768.21298465,0.007702714677926903
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,297324585918192.56,6.440937934561881e+16,,,,,,,,1.7693982965405162e+32,,,6.116665001470979e+21,,7.349296820516887e+30,1.78301747223894e+23
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,6.83163852139736e-09,1.3606743943288829e-31,,620310.8650795101
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,129.82435956840328,5.608469998582219e-24,1.6120949290027703e-06,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,3.682048399420863e-30,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",2.7158795635529578e+29,,,,,,,,,3.0217744472927175e-13,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,5.545168866276692e-55,,,2.946378692798465e-57,6.025495836087867e-34,2.6075393373038672e-48,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.8033715908663585e+54,,,,0.00026436984101361896,,,,,,,5.142218268107622e-10,1.5041946942532374e-14,5507238948.454378,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,3.656088358346626e+50,,,,,,,,,38774.810318794705,,,,1.937754426340748e-10,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.7351636557608384e-51,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.393996849231223e+56,3782.5797230346147,,,,2.7651431993259505e+24,61889878759373.55,,,,,,6.961777786199421e-29,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.6596144569726618e+33,,,,3.6164492321546552e-25,,7.021163890543829e-12,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,3.835033227279999e+47,,,,1.6157730796144833e-14,142426528648.16467,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,3309313840071.4346,,,,,,,,,75.1159131512611,14961.659362538196,6310130.5514696725,,,,,,7.730170850033577e-10,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,0.01331275834970278,,118981.5640444038,16575550912.572002,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,6.683750617286833e-05,8.404663428586306e-06,,29284928764.185497,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1.5847532659480288e-07,6.032981982164668e-11,3.4147257384589134e-11,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1944686024.3215775,,,,,,,,,,,1.5817954821469114e-05,2.578909804275406e+23,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,66480755704064.85,2.578993918418437e-05,,1.436414707148992e+28,,,,,,,63219.2980247192,,8.234693967791962e+27,,,8.522503250720928e-21,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1.815791922884793e-10,,,,,,,,,,3.877607500433576e-24,1.2143742122187674e-28,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,1.2989806251113638e-05,2.3559340406635874e-33,2.1302142514858156e-31
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,76983.44229839982,,1.5739433864756406e-26,9.983564185801973e-12
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,5160612647.333223,,,,,1293632468.6739058,,,,,1.1733641755025542e+20,,4.244601006394617e+32,6.353468673604524e+25,,1.872026300865579
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,4.694363486219774e+30,100164628722.69005,0.5341805291611685,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,8.544563566144226e-14,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",11703347892012.402,,,,,0.0054145799635278965,,,,,,,,,,,,,2.779147669672664e-28,
"$(\sigma_{x,x})^{\otimes2}$",,,,5.037158227544893e-73,,,,,,8.225734731390875e-51,3.2116103051169253e-20,2.4541932417421015e-54,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.98524635285757e+72,,,,,,,,,329262965000068.0,,1.3305277497459878e+22,1.2626418906496115e-24,9.717619148649037e-18,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,,,,6.045080945172586e+16,,4.344451559030188e-24,,,,1.5881384710095056e-45,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,184.68653279403136,,,,,5.70295324494804e+25,9665857098916172.0,60200279722.121994,,,,,,,,,,1.8131255124057222e-17,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,1.7534774651814825e-26,,0.0004580993544802394,4.418275872867392,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,1.0345694021403747e-16,2182.9325674003676,,0.04255914387198188,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,1.6611218496257696e-11,0.22633263036855497,23.496713256450953,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.2156968740844768e+50,,,,,,,,4.822042134684283e+30,2.7632560457694006e-10,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,3.113702800139673e+19,,,,,,,2.073810166043839e-31,,9.101453069777089e-36,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,4.0746587635868195e+53,3.03708617821562e-15,,,,,,3618919070.2433085,1.0987256565884725e+35,,,,8.322325866129924e-43,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.654237567817134e-17,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,7.515814684743786e-23,,,,,,,,,,,8.31736737596759e-50,2.4753112968176993e-46,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,7.919901972248949e+23,2.301786511858887e+23,,,,,,,1.2015871717662305e+42,,1.202303511192045e+49,,29715799777181.938,,,3.653400824876279e-24,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,1.0290586456447226e+17,,,,,,,,,,4.039895916467623e+45,3.3652131441802095e-14,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,3.023844159507974e-08,7.49626293719509e-33,0.009745958943203329
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,33070487.341606762,,5.417739493339181e-31,124903298039651.45
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,3.598225495220925e+27,,,6.296680158905455e+44,5.515337979405314e+16,,,,,,,,,2.7371757108908644e+23,,1.3339980312565908e+32,1.845788268759408e+30,,5.886907959256103e+39
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,102.60662966340357,8.006193717018927e-15,1.6986846183448139e-40,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,52312.02805915892,,,,,0.4405985383753908,,,,,,,,,,2.668937669667481e-10,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",1.9116062540513903e-05,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,3.281461893997916e-61,,,,,,,9.407754889306368e-50,3.273237748319556e-33,1.1430136666065603e-44,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,3.047422253566584e+60,,,,,,,,27932307688.163166,,,,,,,6.520483949973604e-36,119953884660.24554,353539.3134313883
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.581869047834652e+19,,,,,,,,,,,1.4203636632455108e-27,1.1522841487895378e-31,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,3.873163129007936e-20,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",2.269639848755009,,,,,,,2.357092803012915e+22,867385026561549.2,1.686455700469777,,,,,,,6.618333044981383e-17,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,4.2425143325785326e-23,,5.919240608707982e-22,4.521210842330913e-19,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,1.1528905496145781e-15,1.6894058986702929e+21,,136132572.22937438,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,0.592959542145958,2.2117968722831104e+18,7.3457805404210405e-09,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.0629528636387865e+49,3.580083719412015e-11,,,,,,,,1.8373324859132042e+17,875835988.5030909,,,,,1.4725927230902604e-34,,
"$(\sigma_{x,x})^{\otimes3}$",,,3.0550790284432867e+32,,,,,,,,5.442673047295372e-18,,6.88731374775244e-12,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,8.7488017791497905e+43,,,,,,,,1.1417662817317204e-09,145194488972.7629,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,1.3797821012175583e-24,5.549853751612601e-21,7.418367758295648e-37,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,7.247521178290195e+23,,16596.828609367665,1.106679990529104e-22,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,1.8018492824417826e+20,6.0252474947868955e-05,,4.891142560689956e-16,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",3746809119.467329,,,,7.040450455589762e+26,,1.5109544853719476e+16,,,,,,,1.348005427314846e+36,9.036035787742938e+21,2044512069709409.0,,3.0530440572006044e-07,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.5336284970137043e+35,8.678414964316652e+30,,,,,,6.790743865021167e+33,,,,,,3275419.487123024,,1.7104690676433275e+33,1.2567772300857846e+26
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,8.336537018641586e-12,,,,,,,,,,,,,,5.846349512638619e-34,,1.97351550198047e-06
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,2.828539746525448e-06,,,,,,,,,,,,,,7.956859625247526e-27,506709.97972728166,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,515.6133635222309,,,,,,,,,,4.007988252983723e-06,,,,,1.8063788161544526e-26,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",0.0019394377080703506,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,4.501887830256134e-75,,1.747392042520468e-47,6.59952694587236e-58,1.8641114197527916e-22,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.221290351303811e+74,,,,8.254623116298742e+29,,,,,,,348922408.26216155,0.051109057814774934,2.7284573955522977e+34,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,1.606671657519956e+37,,,,,,7.55995978212766e-11,,1.1981271583133227e-25,,,
"$(\sigma_{x,x})^{\otimes4}$",,,5.72281420348912e+46,,,,1.6647023542685284e-09,3.0221574534491987e+26,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.5152601212204228e+57,1.2114423468050301e-30,,600707986.8877826,,9.481356418178699e+32,,,,,,,3.9437238744543315e-49,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,5.36448620722797e+21,,,3.30889444181241e-27,1.0547014117966181e-33,,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,6.224047056033783e-38,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,,55940.40751840916,0.0034406184608274794,2.992019666578206e+21,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,1.7876165805029482e-05,,5.25606519388495e-13,645891165241286.1,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",249501.72926668538,,,,,,,,,290.6454206955272,1902563920180.1138,,2.98630386834261e+29,,,,2.0055977539620214e-21,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,3.3422240206851325e-22,1.5482484570390882e-15,3.348621051597797e-30,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,2.8659666915076824e-09,,,,,,,,,,,1.6326998933167569e-18,171426484240.81635,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,19.566003420061357,13227583595.934978,,2.5356744838997222e+48,,,,,,,6.124824311518418e+17,,1.559913708167367e+22,3.79878660376808e-27,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,3.6650746375227116e-35,,,,,,,,,,5.8334043565591705e-12,6.410611014982552e-23,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",5.535937374026955e+25,,,,8.346359508349361e+24,,,,,,,4.9860446743347134e+20,,,2.6324195178746902e+26,,,2.741954892848689e+18,4.873982720906192e+22,4.1421441428438235e+61
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,3.647033007757008e-19,,11601111104202.781,4.405087358763174e+28
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,2.051710187052275e-23,8.6198640028344e-14,,4.0942447257261773e+18
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,2.4142085970804525e-62,2.27010253953459e-29,2.4424529235306876e-19,
