ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,6239.762634727231,465301978070.4584,,8.074451366756726e-06,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",1299678129231.2454,,,,,13235.342390219801,237172931343218.56,123847.42375402666,,,,,,,,,2.3515245886113714e-21,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.3727896815889226e-37,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.6454284335836212e+63,6.820823829522611e-36,,,,,,,,2.207958804342725e+32,70686848588880.45,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.3436922734139245e+35,,,,,,,,4.529070008159343e-33,,8.011259200896125e-17,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,2.9723858233964096e+47,,,,,,,,1.4146903136339667e-14,1.2482432223490432e+16,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,7762532631683.244,1.154901812493004e+17,,,,,,,,,,1.2551773774009393e+27,3.127387348941386e+39,3.2128204307627826e-29,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,0.023614269125341845,,,,,,,,,,7.967001461344627e-28,,2.9262601468185038e+26,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,9.360510090830912e-27,,,,,,,,,,3.197557220849211e-40,3.4173311661549385e-27,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,5.123007038219595e+28,,,,4.2525602532207526e+20,,,,,3.1125300076686253e+28,,,,6.964863354056966e+21,1.4355277012008093e+57,2.1521483851732893e+39
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.4357783479233797e-22,,238884562199188.1,1569189118242.4004
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,6.966079436596777e-58,4.186122329521546e-15,,2.292057763639496e-15
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,4.646519760855062e-40,6.372718166182982e-13,436289179035404.06,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,33910079.82467993,,,,,,,,1.084108337315056e-15,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",2.9489756590669975e-08,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.233311726396942e-85,,4.286705556552428e-90,8.846506413859924e-62,1.153524886320151e-65,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,8.108250157658434e+84,,,4.216787668512914e-09,,,,,,,,8.285707883917488e-09,17.868980564254123,5.867549742115081e-30,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,3.981410780654484e+19,,,,,,,20.48455517441864,,1.6841653359563676e-18,,
