ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,6.837183055067176e+116,,,,2.2182417277269627e+53,,,,1.7197812893229936e-09,,,258873286668.00342,,,2.844115658483489e+46,2.7057641849219356e+56,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.5160314139025203e-47,,,,,
$\hat{S}_{x}$,,2.681129078541342e+40,5.2975954348662625e-143,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3.729771938261347e-41,,1.741384396004771e-87,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.88764886313982e+142,5.742557486413013e+86,,,,,,,,,,,,,,,,,,,4.70080657992728e-130
"$\hat{S}_{x,z}$",,,2.127294503607229e+129,2.2352659427691276e+43,,1.4175692638635022e-37,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,4.473740600016319e-44
"$\hat{S}_{x,y,z}$",,,,,,,,,1.477592052839176e-49,,,,,,,,,,,,7.054329022869461e+36
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,18648867.094849363,0.002825854977889502,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,5.36225602828276e-08,,9.141214724549425e-19,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,6.767767856347844e+48,353.8752016024732,1.0939465160077951e+18,,,1.071035071681536e-25,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.03296515006707804,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,9.336762412737706e+24,,,6.332432336039664e-21,,,,,,,,30.335065909458418,
