ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}$",,,,1.5652534298199046e-47,,,5.702888208546808e-116,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.8795444648026805e-08,5278750631388.791,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,1.753497462042688e+115,,5.696406070813807e+22,25776222.15887817,,6.420455329405098e-16,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1.755492827527896e-23,,1.8943876493307833e-13,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,1557521933717211.0,,,50018394975803.51,,4.278289042629663e-53,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.9992644715684138e-14,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,2.7169643053342094e+132,,,,,,,2.3373829819252865e+52,,,122031357788349.77,,,41943.45175954052,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,2.16939063499295e+39,2.311435092275506e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,8.194615040950312e-15,4.776812529475496e+40,,43263165.95875267,,496.2768036349862,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.0934461920568652e-41,4.609589365187104e-40,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,5.4796814178354e+120,,,,,,,,2.3841623854253685e-05,,0.002015004514971255,,3.5277944575928785e+33,,1.1389850382619685e+54,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,2.8346322667628725e-34,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,8.779746584959076e-55,,,,
$\hat{S}_{x}$,,2.438944716335332e-84,1.967953004920535e-17,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,4.100133936215508e+83,,7.553686618052929e+98,1.8393690605517996e-105,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,5.081422155405482e+16,1.3238568801756358e-99,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,5.436646845087228e+104,,,6.505064260884476e+142,3.7973432372180196e-23,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,1.5372638299871809e-143,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.6334200980278314e+22,,,,,3.3080649587122414e-50,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,3.022915246468674e+49,1.6350203897410273e+18,190079196332345.12,,,0.001918162654314645,,,1.6696872889632154e-71,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,2.1123181069637162,,5.260965004563381e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.473413543491997,6.116131678078896e-19,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.00377737146551422,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,521.3322226614289,,,1.5125558836348854e-50,,,,,,,,264.7343553922538,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.611325973602104e+49,,,4.181225189342667e-20,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,4.338623169261129,0.007536345852898634,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,5.989145432262022e+70,,,2.3916434889679086e+19,5404323583.982838,,132.6903010449526,4.9416590908773875e+17,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.8503703274980945e-10,0.23048786700005128,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,2.023611871256078e-18,,,1.275798032722467e+30,1215384.0147080673,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,7.838231243122921e-31,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,8.227852167696956e-07,,,,,
$\hat{S}_{x}$,,2.2396650632587645e-143,2.607189082425157e-140,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,4.464953337911057e+142,,1.875065964081408e-08,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,3.835548433141717e+139,53331457.087692305,,,,,,,,,,,,,,,,,,,1e-160
"$\hat{S}_{x,z}$",,,1e+160,1.2624818641430117e+35,,9.241246115691225e+55,,,,,,,,,4.713890588673828e-105,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,7.920905863299766e-36
"$\hat{S}_{x,y,z}$",,,,,,,,1.0154168862900845e-88,,,,,,,,,,,,,1.0821051484626565e-56
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2.092711816644706e-16,1.0947477026618779e+26,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,9.84817185435618e+87,4778488810768620.0,,4.958956596664352e+34,,,,,,,,,,,8.027004324000445e-14,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.134524763728674e-27,2.01655324160863e-35,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,,,,,,,,,,1.0450560834398234e-24,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,12457947693014.654,,9.56886444513561e+23,,2.3044066800911442e-34,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,,,,,2.960321912051927e-29,,,,,4.33951180856865e+33,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.440046822169452e-41,,5.869261802119627e-28,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,3.3780110059275847e+28,30649.955459942594,1.7037917777647263e+27,,1.2987204334969442e+16,,,,,2.121389924498296e+104
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.098282012108675e+40,3.2626474818435935e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,1.550057435180464e-29,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,7.699886551468145e-17,,,3.2275226574841766e+17,6.451373847857295e+28,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.0983516031440986e-18,,,,,
$\hat{S}_{x}$,,2.68654282393498e-30,1.0125688490002214e-17,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3.722255945785743e+29,,1.315910191585692e+61,,,,,,,,,,,,,,,,,,1.4442394277150803e-89
$\hat{S}_{z}$,9.875871660355427e+16,7.599302797366321e-62,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,6.92405968712606e+88,,,4.916242481709837e+113,1.9669907927257636e-82,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,,,,,,,,,,,,,,,,,2.0340737946111365e-114
"$\hat{S}_{x,y,z}$",,,,,,,,,7.390197562750612e-76,,,,,,,,,,,,5.083907884562321e+81
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,25400136762.872234,1.8438952892451352e-08,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,3.936986675842294e-11,,5.159156216069781e-26,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,1.3531437982664738e+75,54233014.52271652,1.9383014549650428e+25,,,2.9151890503710016e-27,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,3.43030926201076e+26,,,1.0645157998516907e-14,,,,,,,,9.752394115863965e+52,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.0253892409591263e-53,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,93939422988303.31,,,,1.5142403536326395e-10,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,22376849044.694996,,0.00040967320071052876,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,6603971407.848267,6.219613739208959e+27,2440.970017725398,,7699742799905.201,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.4689044378081265e-11,1.6078168869168152e-28,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,1.2987446801629684e-13,,2.339124162165275e+26,2.004853667620054e+38,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,4.2751044009323654e-27,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.9878952072701256e-39,,,,,
$\hat{S}_{x}$,,2.196930446128455e-142,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,4.551805460032893e+141,,0.5131030660394144,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.9489261830354845,,1e-160,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,2.1843472416351196e-23,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,1e+160,,,2613242.8458575984,,,,,,4.0357858312673416e-125,,,1.8244733554588104e-135,,,1.1201866468170322e-84,,,4.578026702620037e+22
"$\hat{S}_{x,y,z}$",,,,3.8266631116398445e-07,,,,2.178326556892589e-103,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.590679927377431e+102,4.803528147454856,,35139.96410093091,3.3154506805612297e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.20818031440699453,19691018706321.535,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.0784574171318194e-14,2.845762725106223e-05,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,301618119630.9405,,,,6.864836907825726e-49,,,,,,,,5.262267713228729e+20,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.900321409885925e-21,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,2.47783217893397e+124,,,,,,1.4566988457657711e+48,,,,,0.4186493075877995,,,1.4512525547531428e+39,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,291767.2622212298,,1.0604332694156767e-07,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,5.481033729585624e+134,,,,,,,,2.3886340712274534,4405303462209372.5,9430107.757285126,,3.402569312665416e+33,,4.276830916562496e+40,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,3.4273893252689856e-06,2.2699911789924103e-16,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,2.9389555600754125e-34,,,15.850919300379356,4.8251047415722656e+30,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,2.072493870203839e-31,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,8.927083739495217e+83,,,,,,,,6.8905994116930215e-40,,,2.3381798801710644e-41,0.06308782355456616,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.481512069353069e-88,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.872315189721054e+87,,1.922638593370537e-122,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,5.02826305002635e-27,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,5.201185513741931e+121,,,6.522710162379133e-26,,,,,,,,,,,,,,,1.988758324795199e+26
"$\hat{S}_{x,y,z}$",,,,1.5331050669209162e+25,,,,2.6850750046770585e-61,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,15904791151.795546,2.831040053461922e-06,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.7242907488920325e+60,6.078463865572626e+19,,353227.0759564689,7.763553555701705e-13,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.6451524959518606e-20,6.287413587867871e-11,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,1288069944807.1438,,,,8.31628101559319e-78,,,,,,,,2.478309001877639e+28,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.0350093521121493e-29,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.202460568762624e+77,,,37318.35708954625,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.0817479999785946e-12,117199692807.17274,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,4.0454903138319716e-18,,8.532445572577465e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,2.679646367069368e-05,,2.4718882568594742e+17,324491165405.7846,,8.280589577469287e+20,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,5.981821187447412e-23,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,1.2076434783350534e-21,,,,,2.02270475938935e+20,1.6717316828166913e+22,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.943875250987681e-21,,,,
$\hat{S}_{x}$,,1.6098291737938714e-81,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,6.211839220451622e+80,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,4.0682164790046825e-51,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,1.314562983716172e-118,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,2.4580796158729904e+50,,,3.666519327937399e+47,,,,,,,,,,2.9684934272707946e-149,,,,,7.607090815634214e+117
"$\hat{S}_{x,y,z}$",,,,2.727382322466987e-48,,,,,1.4113184022595501e-61,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1.1171153622240369e-12,,1.5492315755421018e-21,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,895162696544.7196,1.7714760713807476e-19,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,7.085573307901174e+60,5.645009922265372e+18,6.45481292653155e+20,,,1.189755704709032e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.3013766571798675e-29,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,8.405086826161183e+17,,,4.329566607904678e-21,,,,,,,,7.684170408950149e+28,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.309700001321741e+20,,,,2.4153071032130786e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.3937263753999636e-24,3.042854524217475e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,4.140260253736272e+32,3.28638780474452e+32,41790201304422.484,,1.6085641832961358e-17,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,4.17758692170032e+23,,2.3929054390416973e-14,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,8.068371375418821e-53,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,3.368712191892541e+148,,,,,,,,,,,6.216724271150209e+16,,,2.5215424378622555e+50,1.2394075005602861e+52,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.965826571008626e-51,,,,,
$\hat{S}_{x}$,,2.6705486051790794e-93,3.5180303011054115e-95,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3.744548959193884e+92,,1.1576824253797472e-07,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,2.8424996785439478e+94,8637947.489545558,,6.87601681299292e-81,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,1.4543303589810895e+80,,,1.2380935877020943e-20,,,,,,,,,,,,,,,2.1268502756136965e+66
"$\hat{S}_{x,z}$",,,,4.70178842143203e-67,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,8.076933843555423e+19,,,,,3.299132945476363e-39,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,3.031099432871171e+38,18104974925691.316,972196331851173.8,,,1.1601218729468342e-14,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,2631053.842609419,5.523343744491909e-14,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,3.800758402603509e-07,,1.0285988202566912e-15,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,2.688053575599883e-51,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,86197840357917.97,,,5.066844316013213e-77,,,,,,,,3.720163947166989e+50,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.973615010904535e+76,,,3784535907.471109,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,2.6423319118888133e-10,3.4029975198522404e+33,,2606050232.0836563,679859.8752476623,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.938585744380503e-34,1.8165990849847214e-25,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,5.50479193932001e+24,3.83722457721183e-10,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,1.4708913357119593e-06,,,1.6226306393464154e+25,2.07652136997363e+24,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,6.162831982531731e-26,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.815746249761442e-25,,,,,
$\hat{S}_{x}$,,5.62763888307564e-109,1.6887219352805715e-30,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.776944151493736e+108,,3.803881667993642e+64,1.3894299517038832e-153,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,5.921638009835265e+29,2.628893554744699e-65,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,5.430132251911211e-156,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,7.19719622262124e+152,,,1.8415757731278754e+155,3.318824204134347e+42,,,,,,,,1.0377269089465111e-94,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.013115303770153e-43,,,,6.803514912158684e-104,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.4698284826463479e+103,7.990508340565944e+24,,226.18348121482643,8.378964449778862e-20,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.5071105641530134e+17,0.004421189357547343,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.2514848334782827e-25,3.988655364059837e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,1.1934649036807789e+19,,,,1.7545808333110934e-34,,,,,,,,5552315706.988649,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.8010503234556872e-10,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,5.699366942889068e+33,,,,7.868115447792427e-11,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,9.808241436468207e-24,5.335785202392949e-40,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.0143229639696699e-16,1.0195507588973913e+23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,9.636446654497848e+93,,,,,,,,12709523730.750189,9858792865010022.0,,1.8741384108781745e+39,61016866.96700952,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,1.6388910963597624e-08,,,11209706.970136609,5.420442939356535e+20,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,8.920839792369821e-08,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.8448676818258523e-21,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.2426414470713634e-12,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,308390556379.01746,,,,,,,,,,,,,,,,,,,3.589424022027797e-24
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.7624728879478502e-33
"$\hat{S}_{x,z}$",,,2.7859622988622654e+23,3.61994502955237e+32,,3.677032853814965e-27,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,2.612470711486022e-58,,,,,,,,,,,,,,2.7195840770432284e+26
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,0.6601062577765416,,7.564549595754006e+17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,3.8277941092445066e+57,,1.5149076201282108,274141912514.84567,2.5245916311975674e-21,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.647745763595513e-12,1.3219557719091452e-18,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,6.043086590440262e-22,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,3.9610366589294254e+20,,,,1.6547835034863306e+21,1.2553925535703389e-65,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.965635905326967e+64,,,,,2.828446339328749e+20,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,17.97112497994286,,9.129008663490542e-09,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,3.5355098878677026e-21,146062152804188.4,109540919.15798914,,,,,4404992093105.233,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.05564481918166369,6.8464005274563126e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,1.8711327719541309e-16,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,2.2701516344722084e-13,5344356183530701.0,,227626713989008.4,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,4.3931574746902856e-15,,
$\hat{S}_{x}$,,1.7920817334391153e-107,5.678552247103079e-132,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,5.580102633382342e+106,,1.2452657831010117e-41,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.7610122377761892e+131,8.030414178005912e+40,,25038649361.22055,,,,,,,,1e-160,,,1e-160,,,,,,
"$\hat{S}_{y,z}$",,,3.993825647595767e-11,,,7.64279195796041e-51,,,,,,,,,,,,,,,8.547638736259879e+27
"$\hat{S}_{x,z}$",,,,1.1699137397535379e-28,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.3084223743110554e+50,,,,,6.488890479075152e-64,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,1.541095512745544e+63,519015174.4488798,318.32579496355413,,,7.19684839042118e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3225.886964755213,1.9267259402614918e-09,,,,,,,,,,,,
