ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y}$",,,,,2.1289741852370356e-51,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.366059536127624e-78,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.664535290428293e-10,1.4347054288236192e+74,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.058270602875003e-80,,6.970071904028034e-75,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,72160407699450.62,7.320325165583228e+77,,2.464103796557009e+79,6007682779.394212,,,1.9620543556606803e-12,,9.552356004938868e-09,,,,2.3920448953998434,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,527646.0440954,,8.030927010902137e-16,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.8952098877466363e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,7.28959785671782,,509669875921.0833,,,,1245186263855319.5,,,2027623.1183512798,,,,1.3481393010222605e+18,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,774872139.7744421,0.004632047303949003,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,840069242171495.5,,104686215.57686593,,,,,4.931883006015091e-07,1.5987751172050831e+19,,215.88725986184562,,64536528768455.94,272897.5490048453,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,6.254788364158189e-20,1.2905354943992314e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.0617955728862486e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.5495100512576348e-14,,94180.08753622213,,,,,
