ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,7.238761378193655e+113,4.516717757709432e-79,,,,,,,,,,,,,,,
1,$R_{y}$,1.381451808886036e-114,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,2.213997096216902e+78,1e+160,,,9.440613162750845e-06,,2.2040710752720276e-132,,,,,,1.6938326437680942e-116,,,2.8856750387503115e-116,,
3,"$R_{x,z}$",,,,,8.184950178223721e-46,,,,,,,,,,,,,
4,"$R_{y,z}$",,,105925.32315015605,1.221754535122922e+45,,2.707663060222521e+35,1e-160,,,,,,1e-160,,,1e-160,,
5,"$R_{x,y,z}$",,,,,3.693221710968048e-36,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,4.537058769198627e+131,,1e+160,1e+160,,1.2295297932810834e+48,7.321566797139042e+69,867.257981605334,,,8.762041881896846e-72,,,1.2010083299535948e-40,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,8.133190472200209e-49,,2.8986753043982503e-37,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.365827872240075e-70,3.4498517253128314e+36,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,0.0011530594369958459,,,,1.7206595804736375e+24,4.0766007553898063e-22,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.811724825457543e-25,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.453024124763426e+21,,,4.586290900692309e-13,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,5.903770975716961e+115,,1e+160,,1.141286487189805e+71,,,,,2180411189898.6787,,5.937897326710236e+16,9865684.893530346,2661441.074445074,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.684097829549418e-17,,2.2226966329750705e-05,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0136143722325588e-07,44990.395232727016,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,3.465393665508041e+115,,1e+160,,8.326336920899112e+39,,,,,,3.7573629174131005e-07,,,,38411182725.86984,1.9447478610336507e+21
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.603408510320361e-11,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.1420547621453155e-22,,
