ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,8.412723752841275e+36,2.5002059924016212e-82,,,,,,,,,,,,,,,
1,$R_{y}$,1.1886756648371636e-37,,3.1648626472438068e-136,,,,,,,,,,,,,,,
2,$R_{z}$,3.999670439312205e+81,3.159694784450987e+135,,6.423635489215788e-12,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,155675084876.5988,,4.029750252992028e+47,3.830083931073412e-30,,,,,,,,,,,,
4,"$R_{y,z}$",,,,2.481543364275529e-48,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2.610908841675806e+29,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,9.046218735798503e+45,3.687839912868541e+50,8.888054143479563e-10,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.1054342473974357e-46,,1.6915195095087555e-11,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.711614450807769e-51,59118443173.64191,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1125105657.3880324,,,,1.2256336885546037e+23,6.898082992359374e-26,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,8.159044658598649e-24,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.449678122324195e+25,,,,102043.61652546683,,,,1.6815932581643858e+28
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.729374698462162e-05,0.14736209392776545,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,9.799731076273957e-06,57824.368593413856,,28.012239560370297,53788049698991.22,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.786005636498244,0.03569868085144924,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,1.8591490221270372e-14,,,365700420867.8977,21563.711154873134
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.734478668705801e-12,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,5.946741253539469e-29,,,,4.637420677813208e-05,,
