ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.373638824403788e-21,1.6796990986308401e-121,,,,,,,,,,,,,,,
1,$R_{y}$,1.066821560690552e+20,,6.091551077278777e-80,,,,,,,,,,,,,,,
2,$R_{z}$,5.953447262162146e+120,1.641618017010408e+79,,,7.574257762213684e-05,,,,,,,,,1e-160,,,,6.093483571413428e-118
3,"$R_{x,z}$",,,,,0.014089384010834335,,,,,,,,,,,,,
4,"$R_{y,z}$",,,13202.613792585476,70.97542371128705,,1.2833505417185261e-36,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,7.792103306871299e+35,,8.473204095204665e-147,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.1801910927248185e+146,,1.2614222507672674e+53,3.936973100480575e+64,7.391807278338247e-39,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,7.927559541555131e-54,,4.169057681445354e+28,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.5400224346921063e-65,2.3986235653456205e-29,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.3528491238272789e+38,,,,2.3371385346927586e+24,5.354586080204315e-31,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,4.278736519705113e-25,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.8675579867825057e+30,,,,7.0175051726510895e-12,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.259812294696759e-06,61361.28992489929,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,1e+160,,,,,,,,,142500785592.1847,234752.12775101548,,4585063.751459067,3.507791278771737e+20,,1.5434003072144678e+47
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.6296919462154564e-05,2.1809947564671882e-07,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.8507967564995852e-21,,,2271687848493.046,0.001498452456993681
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,4.4020132460688346e-13,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.6410973924527095e+117,,,,,,,,,,,6.479200472655096e-48,,667.3551738880542,,
